 	aujourd'	hui	on	va	nous	juger	</S>
a66	0.413203	0.254955	0.186991	0.0558417	0.0320398	0.0259115	0.0310589
a87	0.516318	0.200348	0.151548	0.040864	0.0189389	0.0263549	0.0456285
a97	0.259095	0.16372	0.152787	0.0958021	0.070518	0.118473	0.139605
a79	0.277619	0.178449	0.156544	0.0769928	0.0544193	0.107051	0.148924
a15	0.465972	0.243541	0.172066	0.0408423	0.0188097	0.0340893	0.0246799
a47	0.369963	0.299518	0.226101	0.0611203	0.0185696	0.0157872	0.00894026
a0	0.214552	0.26958	0.260514	0.13591	0.0681477	0.0356996	0.0155968
a85	0.133718	0.218568	0.263357	0.165306	0.129729	0.064069	0.0252521
a6	0.0770601	0.144145	0.182982	0.17828	0.225475	0.12149	0.0705683
a98	0.0569311	0.130091	0.229454	0.23289	0.212294	0.0949782	0.0433614
a92	0.0693085	0.164189	0.204226	0.185541	0.185061	0.122776	0.0688995
a56	0.0574465	0.090166	0.110802	0.138053	0.202491	0.201997	0.199045
a75	0.0204591	0.0336697	0.037841	0.0681291	0.142586	0.262683	0.434632
a6	0.00563457	0.0110234	0.0193383	0.0505616	0.106314	0.236616	0.570512
a56	0.00236568	0.00359394	0.00517439	0.0160461	0.0482628	0.212677	0.71188
a43	0.00189668	0.0026384	0.00337353	0.0115942	0.0409078	0.216302	0.723288
a11	0.00210704	0.00321469	0.00492802	0.0190015	0.0663363	0.228561	0.675851
a98	0.000496008	0.000872205	0.00170576	0.0105177	0.0536604	0.243946	0.688802
a15	0.00053077	0.00100308	0.00194167	0.011305	0.0517892	0.280235	0.653195
a7	0.000598054	0.00112632	0.00208777	0.0125063	0.0599794	0.300246	0.623456
a84	0.00420899	0.00496754	0.00712095	0.0240012	0.0681828	0.247885	0.643634
a82	0.032157	0.0222617	0.0212105	0.0366022	0.0895539	0.209478	0.588737
a97	0.145775	0.0719353	0.0547531	0.0498962	0.0767864	0.165618	0.435236
a10	0.188976	0.11326	0.0770463	0.0592096	0.0786006	0.149831	0.333077
a97	0.036007	0.0220558	0.0183841	0.0208005	0.0478822	0.18257	0.6723
</S>	0.0100222	0.0074381	0.00734686	0.011556	0.0404178	0.212762	0.710457
