 	il	l'	a	attendu	longtemps	</S>
a23	0.204674	0.0889177	0.0540391	0.0883483	0.195979	0.368041
a87	0.229317	0.160332	0.123936	0.122132	0.163417	0.200867
a23	0.351677	0.229289	0.134502	0.0945311	0.0927683	0.0972331
a79	0.235059	0.182886	0.124987	0.133821	0.162115	0.161131
a20	0.344433	0.212991	0.124785	0.0990589	0.113168	0.105563
a30	0.429283	0.278442	0.142667	0.0627292	0.0491745	0.0377047
a41	0.425775	0.323644	0.155983	0.0463475	0.0290006	0.0192504
a27	0.349815	0.304294	0.187483	0.0751769	0.0488255	0.0344063
a11	0.242224	0.265096	0.218187	0.120275	0.085446	0.0687722
a24	0.227871	0.259525	0.229617	0.123733	0.0883813	0.0708742
a41	0.244055	0.236634	0.197725	0.133144	0.106716	0.0817252
a24	0.165278	0.193753	0.206498	0.175331	0.145552	0.113587
a12	0.0675904	0.0933028	0.148105	0.218763	0.244039	0.228199
a94	0.0428617	0.0567389	0.103864	0.205395	0.274419	0.316722
a76	0.0279478	0.0339353	0.063645	0.174272	0.287771	0.412429
a56	0.0258252	0.0402213	0.0882994	0.213752	0.302403	0.329499
a24	0.0236802	0.0341805	0.0729792	0.18608	0.285873	0.397208
a9	0.010802	0.0141614	0.0294613	0.108224	0.260902	0.57645
a10	0.017169	0.0198761	0.029705	0.0842919	0.227531	0.621426
a87	0.00841489	0.00962739	0.0164888	0.0658176	0.212433	0.687218
</S>	0.00643114	0.00857841	0.0178414	0.0864434	0.25142	0.629285
