 	l'	eau	du	fleuve	est	basse	</S>
a23	0.461424	0.242236	0.116913	0.0625562	0.0440908	0.0360655	0.0367137
a13	0.568539	0.21406	0.0908387	0.0501631	0.0286352	0.0240147	0.0237496
a9	0.397204	0.221618	0.114683	0.0622809	0.046613	0.0670825	0.0905183
a54	0.388213	0.242502	0.14717	0.0699556	0.0441295	0.0533787	0.0546521
a73	0.351424	0.233412	0.161577	0.0791177	0.0533771	0.0600436	0.0610484
a26	0.296762	0.235088	0.210698	0.117703	0.0601349	0.0445517	0.035062
a41	0.212709	0.198455	0.229453	0.164867	0.085	0.0577113	0.0518045
a94	0.192072	0.209078	0.20803	0.133566	0.0913857	0.0824296	0.0834391
a12	0.169176	0.193062	0.210144	0.153938	0.108058	0.0843763	0.0812464
a94	0.092758	0.117955	0.152482	0.170772	0.176323	0.15604	0.13367
a76	0.0573349	0.0731262	0.109966	0.156241	0.203314	0.211575	0.188443
a20	0.0565081	0.0699309	0.101699	0.146687	0.183571	0.210221	0.231383
a94	0.0747753	0.0818352	0.101334	0.133663	0.18434	0.206908	0.217144
a76	0.049028	0.0499387	0.0648605	0.0944028	0.160052	0.247759	0.333959
a73	0.0259281	0.0260967	0.039523	0.0721057	0.147455	0.276676	0.412216
a84	0.018827	0.0218026	0.0336137	0.0596461	0.124301	0.272437	0.469373
a57	0.00506085	0.00456442	0.00555613	0.0108983	0.034592	0.181291	0.758037
a87	0.0244421	0.0137448	0.0101813	0.0161229	0.0417583	0.191837	0.701914
a23	0.0282943	0.0335761	0.0312939	0.0528328	0.10267	0.250219	0.501114
a87	0.0777538	0.0838705	0.0820981	0.0998956	0.141872	0.249995	0.264515
</S>	0.0450603	0.0505544	0.0494264	0.0718169	0.121901	0.264078	0.397162
