 	il	est	brave	au	combat	</S>
a85	0.215414	0.120489	0.226561	0.168538	0.146451	0.122547
a87	0.26773	0.209585	0.124769	0.103881	0.133798	0.160238
a23	0.381681	0.244193	0.112615	0.106736	0.0811229	0.0736511
a20	0.281477	0.175905	0.145151	0.119451	0.150499	0.127518
a30	0.280942	0.183677	0.273735	0.128907	0.0791049	0.053635
a26	0.455356	0.259168	0.19949	0.0565872	0.0184421	0.0109562
a35	0.364035	0.269798	0.221108	0.0794234	0.037076	0.0285605
a76	0.350369	0.273401	0.219222	0.0853333	0.0403647	0.0313103
a94	0.296717	0.292262	0.25447	0.105312	0.0312292	0.0200108
a38	0.264035	0.26674	0.253932	0.131761	0.0480718	0.0354613
a14	0.234254	0.215625	0.239515	0.160706	0.0801826	0.069717
a35	0.204945	0.205745	0.289418	0.178539	0.0719177	0.0494352
a14	0.106232	0.110866	0.272466	0.264042	0.143401	0.102994
a35	0.0924421	0.0881309	0.231433	0.271406	0.188214	0.128374
a0	0.056203	0.0534926	0.182979	0.298512	0.238408	0.170406
a75	0.0319567	0.030439	0.098817	0.244045	0.302076	0.292667
a14	0.0200368	0.0281097	0.0878487	0.230026	0.314496	0.319483
a26	0.0191415	0.0227466	0.0754555	0.172345	0.300808	0.409503
a75	0.0181141	0.0220188	0.0478845	0.112394	0.29447	0.505118
a14	0.00620829	0.0071889	0.0218529	0.0722357	0.299493	0.593022
a30	0.00316011	0.00413647	0.0137805	0.0627331	0.332874	0.583316
a2	0.0079841	0.00913738	0.0228547	0.0837375	0.29432	0.581966
a57	0.00733467	0.00794768	0.0120363	0.0490124	0.235905	0.687764
a87	0.0266771	0.0349008	0.0701998	0.116479	0.256379	0.495364
</S>	0.00938258	0.0165253	0.0565755	0.128507	0.288581	0.500429
