 	la	chaux	blanchit	les	habits	</S>
a66	0.383604	0.225146	0.185267	0.120664	0.0506047	0.0347137
a87	0.260879	0.156189	0.168623	0.233258	0.107048	0.0740029
a23	0.445617	0.236775	0.115395	0.0994962	0.056254	0.0464628
a38	0.44155	0.296938	0.118499	0.0652488	0.0355212	0.0422433
a5	0.413304	0.269039	0.0836321	0.0661169	0.0617651	0.106143
a23	0.488151	0.294175	0.0845388	0.0575166	0.037568	0.0380508
a5	0.532003	0.300689	0.0641077	0.0429127	0.0293393	0.0309491
a21	0.29244	0.359157	0.131843	0.095887	0.0605843	0.0600885
a12	0.269654	0.330242	0.14501	0.097841	0.0766043	0.0806484
a47	0.263617	0.346389	0.186368	0.0865269	0.0566151	0.0604846
a62	0.232908	0.290232	0.228768	0.117397	0.0653676	0.0653275
a88	0.183276	0.265001	0.26959	0.136352	0.072073	0.0737081
a11	0.113396	0.221677	0.313566	0.172268	0.0887953	0.0902978
a94	0.099482	0.165601	0.319331	0.185427	0.105354	0.124804
a70	0.0709367	0.117591	0.296153	0.231664	0.138232	0.145422
a93	0.042973	0.0654997	0.205068	0.24052	0.204433	0.241506
a11	0.0194741	0.0387433	0.1836	0.27528	0.229747	0.253156
a0	0.0118852	0.0183519	0.091838	0.197933	0.285385	0.394607
a88	0.00738259	0.00831054	0.0370805	0.119706	0.309195	0.518325
a75	0.00319536	0.00324164	0.0194331	0.0895631	0.30742	0.577147
a6	0.00251256	0.00422728	0.0158809	0.0767741	0.294912	0.605693
a37	0.00183751	0.00346749	0.0166047	0.0847313	0.314969	0.57839
a36	0.000751086	0.00119629	0.00694055	0.0370841	0.234954	0.719074
a27	0.00202682	0.00196598	0.00597692	0.0322287	0.238162	0.719639
a57	0.0144405	0.0108881	0.016732	0.0583814	0.252343	0.647215
a87	0.0500339	0.0337307	0.0391583	0.104169	0.280488	0.492421
</S>	0.156694	0.0911027	0.0743783	0.143159	0.254936	0.27973
