 	le	brouillard	est	tombé	après	la	pluie	</S>
a85	0.36887	0.152032	0.117763	0.135738	0.090539	0.0594983	0.0408488	0.0347107
a87	0.313176	0.259184	0.146517	0.0989799	0.0556009	0.0461794	0.0398357	0.0405273
a23	0.19814	0.222677	0.150815	0.116252	0.0694254	0.0694599	0.078625	0.0946047
a83	0.276286	0.277555	0.132017	0.0663051	0.0414296	0.0520157	0.06569	0.0887022
a24	0.558094	0.246312	0.0970451	0.0358938	0.0185789	0.015881	0.0126853	0.0155101
a18	0.454244	0.311718	0.156823	0.0387117	0.0132675	0.00963306	0.00690782	0.00869514
a66	0.261105	0.251076	0.215671	0.105561	0.053069	0.0418059	0.0334807	0.0382312
a94	0.177125	0.209988	0.225734	0.138358	0.0772483	0.0621061	0.0522234	0.0572171
a35	0.143625	0.177241	0.224204	0.160995	0.0931707	0.0729094	0.0616513	0.0662035
a26	0.163164	0.217378	0.266297	0.170309	0.0683516	0.0438763	0.0340115	0.0366121
a24	0.128801	0.178324	0.250892	0.191513	0.0854477	0.0587032	0.0483133	0.0580063
a41	0.120762	0.18782	0.224883	0.176986	0.0977864	0.0687798	0.0571799	0.0658037
a24	0.0907744	0.137833	0.211954	0.182612	0.103193	0.0796907	0.0815252	0.112418
a25	0.0721741	0.118448	0.182137	0.161285	0.120869	0.107887	0.10708	0.13012
a87	0.0544128	0.0795055	0.146016	0.204098	0.160466	0.124098	0.108414	0.122991
a23	0.0396891	0.0594633	0.0894069	0.137984	0.138313	0.139288	0.170057	0.225799
a20	0.0482357	0.0668297	0.0976818	0.145936	0.130961	0.128436	0.138313	0.243607
a94	0.0701521	0.0648689	0.0783837	0.0731454	0.0841533	0.125775	0.195063	0.308459
a20	0.0732128	0.0639287	0.083279	0.0961698	0.117154	0.156497	0.17603	0.233728
a94	0.0610651	0.0431612	0.0656262	0.0961274	0.12597	0.163676	0.187974	0.2564
a76	0.0393158	0.0298169	0.0506052	0.0783346	0.117218	0.177446	0.21989	0.287373
a14	0.0201038	0.0130722	0.0234934	0.0578221	0.111036	0.18278	0.239015	0.352678
a73	0.0257722	0.0209046	0.0369708	0.0676612	0.117645	0.181618	0.231465	0.317963
a94	0.0219545	0.0149991	0.0219996	0.0422019	0.0896747	0.168587	0.269245	0.371338
a26	0.0120057	0.00757938	0.0113744	0.0285452	0.0776081	0.159813	0.28767	0.415404
a76	0.0104455	0.0073492	0.00957496	0.0236797	0.0597829	0.131088	0.294338	0.463742
a73	0.00654214	0.00389965	0.0043278	0.0122357	0.0433589	0.120431	0.299435	0.509771
a84	0.005782	0.00417595	0.00475735	0.0112454	0.0409221	0.112652	0.299669	0.520796
a57	0.0135547	0.00996062	0.00844334	0.01198	0.0264384	0.0773913	0.3218	0.530431
a87	0.0279532	0.0152292	0.0126853	0.0224356	0.0474673	0.112349	0.32877	0.433111
</S>	0.0203507	0.0112766	0.0117683	0.0303885	0.0694021	0.15263	0.298754	0.40543
