 	cet	homme	est	un	danseur	masqué	du	kyebé-kyebé	</S>
a87	0.26215	0.208838	0.156137	0.111926	0.0909465	0.0728045	0.0443792	0.0286624	0.0241551
a23	0.399132	0.280008	0.126003	0.0479501	0.0491651	0.0448035	0.0238879	0.0147672	0.0142822
a18	0.348362	0.228472	0.126998	0.0774907	0.0666303	0.0591372	0.0418752	0.024631	0.0264038
a54	0.320517	0.172016	0.112113	0.0877002	0.0854692	0.0861122	0.0482047	0.0300661	0.057802
a7	0.283929	0.174117	0.152278	0.118625	0.109421	0.0955193	0.0391527	0.0135855	0.0133729
a44	0.192163	0.128485	0.124788	0.142973	0.143471	0.125034	0.0851511	0.0307323	0.0272042
a66	0.0976955	0.0961667	0.0973376	0.135347	0.10752	0.0927509	0.131645	0.113123	0.128414
a13	0.0950551	0.0907118	0.0802802	0.108941	0.098144	0.0794216	0.129425	0.133802	0.18422
a57	0.062356	0.0570709	0.0503861	0.0787286	0.0789617	0.07426	0.143432	0.180466	0.274339
a38	0.0337357	0.0297442	0.0284574	0.0527659	0.0709431	0.0789192	0.145291	0.201222	0.358921
a13	0.015008	0.0118471	0.0109222	0.0220649	0.0419831	0.0660239	0.16436	0.230608	0.437184
a99	0.0113054	0.00736605	0.00624166	0.0117487	0.027311	0.0601005	0.180688	0.245912	0.449326
a83	0.00499149	0.00274452	0.00243326	0.00441286	0.0154657	0.0425519	0.179846	0.274267	0.473287
a99	0.00211729	0.00113372	0.00083951	0.00137807	0.0058983	0.0177589	0.1081	0.278312	0.584462
a9	0.00228651	0.00141132	0.00104458	0.00162917	0.00463633	0.0115218	0.0840998	0.268923	0.624447
a99	0.0129278	0.00924861	0.00736195	0.00927825	0.0146214	0.0194745	0.0761998	0.255324	0.595564
a97	0.0409981	0.0279346	0.0195984	0.0142244	0.0197544	0.028719	0.0695605	0.2112	0.56801
a87	0.108356	0.0836918	0.0620848	0.0387232	0.0361089	0.0372194	0.0718539	0.180172	0.38179
a97	0.155442	0.13059	0.0983548	0.069145	0.0684683	0.0587534	0.0803791	0.129737	0.20913
a87	0.144372	0.114739	0.072872	0.0511941	0.0678689	0.0733761	0.102986	0.149297	0.223295
</S>	0.148811	0.12414	0.0848704	0.0604265	0.0796515	0.0916198	0.104446	0.123472	0.182563
