 	c'	est	toi	qui	a	battu	les	paupières	en	premier	</S>
a66	0.171829	0.18814	0.171633	0.143795	0.114094	0.0875371	0.0711962	0.0263821	0.00977602	0.00940003	0.00621776
a87	0.24605	0.208949	0.185674	0.132145	0.0902246	0.056337	0.0417083	0.0174599	0.00833824	0.00666131	0.00645242
a23	0.29932	0.235278	0.184647	0.108699	0.0665692	0.0520139	0.0353673	0.00955357	0.00353988	0.00269602	0.00231646
a79	0.289623	0.217735	0.160114	0.0886806	0.0539193	0.0398142	0.0384148	0.0268279	0.0216335	0.0251554	0.0380821
a4	0.258887	0.147185	0.104061	0.0628757	0.0440097	0.0393328	0.0465549	0.050124	0.0598687	0.0958333	0.0912683
a58	0.16083	0.184632	0.161551	0.12972	0.0941754	0.0667119	0.0708262	0.0536586	0.0343743	0.0256188	0.0179024
a15	0.0973368	0.119158	0.12107	0.123888	0.118739	0.0980888	0.0930872	0.10909	0.0685418	0.0337668	0.0172328
a79	0.0427247	0.0590112	0.0616333	0.0701864	0.0768678	0.0869954	0.105575	0.175283	0.160255	0.106426	0.0550436
a37	0.0591946	0.0756715	0.0800598	0.096583	0.108981	0.109655	0.113325	0.151429	0.0998389	0.0681112	0.0371499
a96	0.0855171	0.0982184	0.102656	0.115729	0.124352	0.103775	0.0864862	0.117129	0.0756917	0.0545894	0.0358556
a0	0.0616774	0.0649275	0.0730859	0.109385	0.147604	0.136903	0.106133	0.115146	0.0695246	0.0650361	0.0505777
a93	0.0526677	0.0508378	0.0540575	0.0775467	0.126965	0.172489	0.135974	0.122248	0.0734603	0.0775597	0.0561948
a70	0.0431077	0.0421384	0.0462549	0.0658998	0.104488	0.158086	0.140878	0.107097	0.0944571	0.125187	0.0724055
a93	0.0421914	0.0423142	0.0437865	0.0552163	0.0763528	0.113694	0.112452	0.0882109	0.104688	0.193462	0.127631
a56	0.0319322	0.031401	0.0315922	0.0376565	0.0519301	0.0828237	0.087534	0.0798861	0.119069	0.268772	0.177403
a75	0.0260405	0.026441	0.0261159	0.0290017	0.0372283	0.0537823	0.0519882	0.0478062	0.0780113	0.312206	0.311379
a34	0.00342269	0.00346275	0.00361184	0.00483203	0.00752965	0.0121232	0.0145882	0.0179324	0.0557361	0.379724	0.497037
a61	0.00572072	0.00577191	0.00551444	0.0058859	0.00733499	0.00952672	0.00932102	0.0135003	0.0428823	0.330573	0.563969
a47	0.0040358	0.00388481	0.0034774	0.00350423	0.00398804	0.00491484	0.00464897	0.00723476	0.0284088	0.250033	0.685869
a96	0.00447957	0.00435411	0.00399284	0.00411594	0.00473508	0.00616692	0.00653872	0.0121913	0.0449138	0.273038	0.635474
a94	0.00389783	0.00398229	0.00443894	0.00505023	0.00694559	0.0103832	0.0123786	0.0229394	0.0630074	0.264824	0.602152
a57	0.00707961	0.00675054	0.00674814	0.00752129	0.00943795	0.0149891	0.0182214	0.0364544	0.0960766	0.286869	0.509852
a3	0.045025	0.0368378	0.0289699	0.0249051	0.0254598	0.0517269	0.0529736	0.0507918	0.100453	0.239841	0.343015
a87	0.212645	0.144007	0.115774	0.0836027	0.0783867	0.112523	0.0861809	0.0378488	0.0333562	0.0467612	0.0489152
a23	0.233515	0.181735	0.155502	0.113004	0.089614	0.0905042	0.0741409	0.0283239	0.0130772	0.0116611	0.00892203
a87	0.206852	0.120728	0.0973586	0.056377	0.0485891	0.0652626	0.0736383	0.064006	0.0492409	0.102392	0.115556
</S>	0.0516349	0.0386125	0.0344532	0.0241033	0.0250486	0.0439161	0.0552714	0.0504795	0.0837207	0.283	0.30976
