 	il	n'	aime	pas	être	battu	au	jeu	</S>
a53	0.280784	0.162792	0.0923295	0.0642175	0.05242	0.0554274	0.0593514	0.0911094	0.141569
a15	0.20724	0.102078	0.0612554	0.0310283	0.0230649	0.0291376	0.0401511	0.0986166	0.407429
a92	0.426977	0.208762	0.0826723	0.0410463	0.0230159	0.0368454	0.0422134	0.0595697	0.0788981
a37	0.466046	0.282368	0.127134	0.0474546	0.0153154	0.0152065	0.0119463	0.0151488	0.0193802
a62	0.384265	0.314892	0.176211	0.0596903	0.0168641	0.0118525	0.00755109	0.0104688	0.0182047
a66	0.351642	0.327598	0.18867	0.0696348	0.0200557	0.0105925	0.00676459	0.00877509	0.0162672
a90	0.191632	0.247288	0.248887	0.161967	0.0658332	0.0295818	0.0139776	0.0146575	0.0261764
a56	0.205604	0.23935	0.236872	0.147791	0.050524	0.0264332	0.0185138	0.0279501	0.0469618
a75	0.177214	0.200659	0.224211	0.152541	0.0715057	0.043921	0.0284216	0.0393953	0.0621325
a92	0.0979982	0.107341	0.138245	0.113926	0.0883107	0.0869665	0.0919516	0.121369	0.153892
a98	0.0533708	0.0542078	0.0757312	0.0870061	0.0972861	0.112714	0.141403	0.178824	0.199456
a36	0.0388433	0.0389814	0.0568674	0.0824527	0.127898	0.138341	0.120305	0.168836	0.227476
a2	0.0470466	0.0457483	0.0642367	0.0872979	0.148193	0.152365	0.1055	0.14675	0.202863
a75	0.0289661	0.0246295	0.0328301	0.0373117	0.0545871	0.0653356	0.0941015	0.181013	0.481226
a21	0.0214472	0.0211524	0.0295087	0.0424709	0.0876438	0.1121	0.161547	0.241618	0.282512
a47	0.051052	0.0437435	0.0509679	0.0589118	0.106255	0.133513	0.159944	0.208079	0.187535
a96	0.019554	0.0186823	0.0252288	0.0312097	0.0716833	0.119973	0.179785	0.25592	0.277963
a75	0.0125264	0.0129908	0.020048	0.0264049	0.0555493	0.0937722	0.16452	0.250967	0.363222
a25	0.0108592	0.00962699	0.0120074	0.0148642	0.0362065	0.0762323	0.178157	0.296949	0.365097
a15	0.00381412	0.0036398	0.00471085	0.00643341	0.0184078	0.0443161	0.158399	0.357555	0.402725
a73	0.0015767	0.00154128	0.00214611	0.00304701	0.00927856	0.0232416	0.106234	0.31388	0.539055
a2	0.00241721	0.002643	0.00386701	0.00534954	0.0136497	0.0290546	0.125011	0.321537	0.49647
a75	0.00319889	0.00213899	0.00219888	0.00218703	0.00481037	0.00838267	0.0451153	0.203076	0.728892
a47	0.0021613	0.00177311	0.00268554	0.00340966	0.00807126	0.0196934	0.0959025	0.249351	0.616952
a36	0.00134559	0.00128444	0.00200658	0.00316289	0.00894633	0.0223346	0.107329	0.29147	0.562121
a2	0.00142648	0.00110333	0.0014752	0.00198738	0.00474379	0.00988348	0.0645462	0.224981	0.689853
a57	0.015965	0.00823581	0.00670713	0.00551058	0.0102859	0.0229612	0.095614	0.239942	0.594778
a87	0.0593876	0.038492	0.034316	0.0313363	0.0602282	0.105159	0.175582	0.209657	0.285841
a23	0.116484	0.0751203	0.0711119	0.058774	0.0974211	0.123371	0.149509	0.147715	0.160493
a87	0.0300965	0.0158722	0.0147309	0.0143267	0.0327853	0.06779	0.171507	0.290753	0.362138
</S>	0.00572085	0.00382403	0.00570731	0.00725322	0.0161217	0.0299509	0.090829	0.254069	0.586524
