 	si	on	commence	le	travail	c'	est	bien	lui	qui	se	fatiguera	le	premier	</S>
a66	0.0899016	0.0860088	0.0798155	0.0675573	0.0644143	0.0915624	0.0888552	0.0990323	0.0850333	0.109821	0.092295	0.0311001	0.00711955	0.0042332	0.00325043
a87	0.192871	0.157973	0.155186	0.102464	0.0868491	0.0596681	0.048845	0.0463014	0.0413679	0.0469351	0.029878	0.0135446	0.00690534	0.00590072	0.0053104
a23	0.226468	0.190675	0.165805	0.0923451	0.0592205	0.0462737	0.0491339	0.0486449	0.0393679	0.0443727	0.0248662	0.00485901	0.00215148	0.00211327	0.00370285
a87	0.190941	0.195591	0.182665	0.0973865	0.0524973	0.0452854	0.0436713	0.0481735	0.0459826	0.0474466	0.029366	0.00874227	0.00347434	0.00278757	0.00598911
a23	0.168881	0.158256	0.139104	0.0825384	0.0553108	0.0556766	0.0589609	0.0689556	0.0689955	0.0688579	0.0442628	0.0145827	0.00580981	0.00391251	0.00589478
a87	0.18676	0.165751	0.133832	0.0697287	0.0487756	0.0434524	0.043412	0.05334	0.0602637	0.0674483	0.0481897	0.018098	0.0156237	0.0187735	0.0265513
a23	0.182928	0.157282	0.130777	0.0747541	0.05075	0.0452075	0.0441925	0.0540224	0.0615288	0.0673129	0.051124	0.0218804	0.0184147	0.0173709	0.0224541
a53	0.201788	0.163334	0.124897	0.0675997	0.0445105	0.0338946	0.0330075	0.0414918	0.0491457	0.0539809	0.0440908	0.0213538	0.0278958	0.0386366	0.0543721
a20	0.276058	0.229994	0.18683	0.0902233	0.0426609	0.0241763	0.0175936	0.0199157	0.016672	0.0218767	0.0153849	0.00665993	0.0113487	0.0222992	0.0183064
a6	0.161792	0.140161	0.134077	0.0997661	0.0697683	0.0503957	0.0425961	0.0483857	0.0379139	0.0413884	0.0292442	0.0262905	0.0308845	0.0532323	0.0341042
a37	0.0847905	0.0835401	0.103069	0.109288	0.101017	0.0808313	0.0661775	0.0681462	0.0533723	0.0554806	0.0383531	0.0380099	0.0333164	0.0532616	0.0313461
a5	0.108771	0.0982894	0.103459	0.117719	0.123573	0.0930582	0.0685515	0.0661028	0.0499947	0.0521327	0.0364277	0.0310709	0.0154284	0.0186942	0.0167283
a37	0.0769685	0.070667	0.0792553	0.100985	0.114152	0.0977339	0.0784446	0.0811969	0.068232	0.0745269	0.0582673	0.0510142	0.0188088	0.0160768	0.0136707
a54	0.0407233	0.040766	0.0568409	0.0922547	0.115334	0.107526	0.0903976	0.0970081	0.0844365	0.0908799	0.0694859	0.0614471	0.0205343	0.0166558	0.01571
a6	0.0187112	0.0197384	0.0351986	0.082398	0.131735	0.118264	0.0918556	0.0935711	0.07917	0.0807002	0.0684295	0.0694575	0.030415	0.0353292	0.0450264
a37	0.0188782	0.0202529	0.0352034	0.0793842	0.112397	0.107468	0.0860947	0.0869593	0.0791369	0.0869442	0.0740007	0.0753336	0.0373112	0.0453603	0.0552744
a62	0.0128506	0.0146356	0.0247398	0.0578638	0.0880718	0.113152	0.104212	0.110919	0.101816	0.113367	0.0880241	0.0773696	0.0314176	0.0287742	0.0327868
a88	0.00701293	0.00827012	0.0141103	0.0359607	0.0630953	0.111886	0.122145	0.134137	0.123236	0.138128	0.104243	0.0765776	0.024749	0.0173938	0.0190557
a0	0.00517081	0.00583484	0.00907085	0.0224644	0.0494047	0.106953	0.138301	0.154905	0.131885	0.134037	0.0970649	0.0686428	0.0206313	0.0216875	0.0339466
a75	0.00586367	0.0067953	0.0104501	0.0212995	0.0405748	0.0897226	0.131091	0.154947	0.137584	0.136259	0.106305	0.0765066	0.0233431	0.0226741	0.0365846
a85	0.00590467	0.00691515	0.0100407	0.0211753	0.0347254	0.0636998	0.0806181	0.0926856	0.0988745	0.121345	0.105928	0.0988038	0.0743201	0.0807062	0.104258
a6	0.00591962	0.00668525	0.00886814	0.0162514	0.0283321	0.0595831	0.0798812	0.0907786	0.094493	0.108384	0.100173	0.100692	0.0799209	0.0856454	0.134393
a54	0.0024901	0.00297373	0.00475267	0.0114897	0.0237921	0.0603725	0.0996154	0.116229	0.120135	0.12057	0.121334	0.105161	0.0554222	0.0631373	0.0925259
a47	0.00270971	0.0030868	0.004415	0.00958228	0.0168799	0.0303013	0.0448567	0.0592081	0.0786676	0.0845593	0.104199	0.104452	0.093952	0.148879	0.214252
a36	0.00354515	0.00386944	0.00494938	0.00933762	0.0176712	0.0349245	0.062524	0.0812342	0.108381	0.103452	0.125521	0.093729	0.0609473	0.098311	0.191603
a2	0.00448013	0.00477684	0.00693575	0.0109621	0.0186087	0.0327103	0.0527867	0.0726776	0.104432	0.0888904	0.124303	0.115327	0.0655705	0.110946	0.186593
a57	0.0129819	0.0133344	0.0160523	0.0180976	0.0261814	0.0375395	0.0589357	0.0833755	0.121799	0.117707	0.159109	0.136264	0.0334851	0.0474538	0.117684
a87	0.0163972	0.01556	0.0176407	0.020239	0.0295152	0.0402825	0.0603506	0.0850419	0.127045	0.129314	0.158505	0.134849	0.0312387	0.0416703	0.0923506
a79	0.0331327	0.0270038	0.0267595	0.0222938	0.0335744	0.0360264	0.0568716	0.0869179	0.128698	0.115976	0.102983	0.0831617	0.0482696	0.0897317	0.108601
a69	0.0130495	0.00997859	0.00994821	0.00837643	0.0121042	0.0131436	0.0201085	0.0319282	0.0506395	0.0556021	0.0473969	0.0512056	0.099547	0.252561	0.324411
