 	hier	un	policier	a	blessé	un	voleur	par	balle	</S>
a23	0.448435	0.202044	0.0583065	0.045779	0.0480115	0.038783	0.0401394	0.0401025	0.03895	0.0394489
a54	0.30182	0.097638	0.0497925	0.0645306	0.0913148	0.073723	0.070449	0.0803908	0.0795253	0.0908165
a47	0.47166	0.198756	0.0399765	0.0359753	0.0412312	0.0409948	0.0417974	0.053707	0.0359307	0.0399709
a36	0.552053	0.226865	0.0348298	0.0339303	0.0347969	0.0274396	0.0247737	0.0253869	0.0195875	0.0203369
a7	0.388977	0.240971	0.0730643	0.0591558	0.0537957	0.0389733	0.03735	0.0394425	0.0301921	0.0380789
a90	0.267117	0.219961	0.139072	0.0869071	0.0732111	0.0519519	0.0449878	0.04159	0.0339674	0.0412352
a15	0.192149	0.205525	0.147013	0.10185	0.0869474	0.0593062	0.0496434	0.0462243	0.0462876	0.0650538
a47	0.177908	0.189836	0.123533	0.0908189	0.0796554	0.0622078	0.0551723	0.0573571	0.0641514	0.0993603
a7	0.215442	0.241826	0.129566	0.0903416	0.0690198	0.0502846	0.0425103	0.0449945	0.0437244	0.0722919
a84	0.177282	0.192961	0.146425	0.0944289	0.0861184	0.0663703	0.0569029	0.0550977	0.0537483	0.0706664
a57	0.0928603	0.157953	0.22267	0.11235	0.0886079	0.0654864	0.053402	0.0520157	0.0599376	0.0947177
a79	0.0380401	0.0771176	0.2401	0.154359	0.139285	0.091265	0.0635672	0.0557791	0.0627379	0.0777498
a44	0.0394253	0.0547744	0.122762	0.116862	0.127876	0.113444	0.0985334	0.0906489	0.0930599	0.142614
a70	0.0449304	0.07461	0.153248	0.11614	0.123933	0.116049	0.101082	0.0857365	0.0765981	0.107673
a66	0.0373258	0.054836	0.175401	0.133843	0.141767	0.122246	0.100189	0.0768645	0.068029	0.0894989
a93	0.025792	0.0467783	0.186771	0.147311	0.146555	0.116999	0.0891819	0.0680222	0.0672636	0.105325
a90	0.0295032	0.0488629	0.154889	0.123271	0.135845	0.128922	0.111974	0.0927562	0.0768409	0.0971358
a56	0.0409392	0.0612303	0.139311	0.107012	0.121392	0.122172	0.111366	0.102805	0.0864936	0.107279
a90	0.0264066	0.0427343	0.132333	0.115513	0.137122	0.138047	0.121859	0.103626	0.0840333	0.0983263
a69	0.0264372	0.0467272	0.128928	0.109692	0.130653	0.136025	0.12129	0.106349	0.088979	0.10492
a58	0.0233032	0.0420989	0.0946712	0.0839819	0.104968	0.122698	0.113312	0.114011	0.123754	0.177201
a90	0.00999128	0.0198874	0.0623905	0.0823364	0.0965171	0.115367	0.108153	0.110476	0.143685	0.251196
a92	0.0184779	0.0346488	0.070907	0.0714135	0.0930342	0.112153	0.105851	0.111139	0.142037	0.240339
a56	0.0228483	0.0377556	0.0622134	0.065093	0.0791542	0.0928016	0.0915937	0.111404	0.157156	0.27998
a43	0.00746147	0.0138134	0.0488144	0.0664642	0.0913519	0.112152	0.109195	0.115296	0.149837	0.285615
a24	0.00358245	0.00678643	0.0238031	0.0405729	0.0510857	0.074375	0.091975	0.12359	0.18478	0.399449
a88	0.00494876	0.00634171	0.0150491	0.0287311	0.0397082	0.0651729	0.0855493	0.121564	0.208407	0.424528
a70	0.00324661	0.00463371	0.0145937	0.0304738	0.0445227	0.0691276	0.0896803	0.119517	0.206494	0.417711
a83	0.00136382	0.00242153	0.00848959	0.0202064	0.0322443	0.0521597	0.0715078	0.0997066	0.216723	0.495177
a54	0.00138289	0.0022969	0.00925372	0.0212237	0.0355346	0.0567634	0.0765484	0.105199	0.223103	0.468695
a6	0.00411763	0.0073392	0.0289752	0.0434739	0.0563048	0.0704763	0.0748354	0.0950961	0.171794	0.447587
a36	0.0025324	0.00477889	0.0202077	0.0310527	0.0449489	0.0625072	0.0698326	0.0992495	0.189047	0.475843
a11	0.000729339	0.00153219	0.00738997	0.0172941	0.0242489	0.0413171	0.0592985	0.108386	0.2341	0.505703
a4	0.00108735	0.00190917	0.00638315	0.0126801	0.0178056	0.0346474	0.0638332	0.125856	0.283258	0.452541
a57	0.00163466	0.00283557	0.0073335	0.0145112	0.0218857	0.039493	0.0683216	0.112928	0.244816	0.48624
a82	0.000517271	0.00101535	0.00421939	0.00917272	0.0139732	0.0273607	0.0515413	0.111547	0.272137	0.508515
a87	0.00283329	0.00348562	0.00863616	0.0133289	0.0173919	0.0324331	0.0605184	0.131068	0.27494	0.455365
a23	0.0968079	0.0667537	0.0354531	0.0361233	0.0382445	0.0623078	0.0832522	0.138895	0.197495	0.244667
a87	0.080139	0.0464263	0.0298883	0.0508603	0.0695875	0.106057	0.120273	0.146287	0.16146	0.189022
</S>	0.0306174	0.0207207	0.0152735	0.0327	0.0459929	0.0824119	0.106191	0.178212	0.209847	0.278034
