 	la	chienne	fait	têter	ses	petits	</S>
a66	0.317043	0.219602	0.143519	0.117835	0.0907652	0.0641062	0.0471293
a87	0.218422	0.188425	0.203479	0.187355	0.115226	0.052272	0.0348211
a23	0.274246	0.383928	0.18441	0.11483	0.0202348	0.010734	0.0116179
a18	0.278008	0.414607	0.164432	0.109551	0.0151574	0.00884685	0.00939674
a38	0.278181	0.347932	0.183639	0.122196	0.0260454	0.0211495	0.020857
a44	0.305704	0.32097	0.147296	0.10953	0.0374191	0.0404088	0.0386726
a70	0.180432	0.263854	0.187883	0.143151	0.0722177	0.0834106	0.0690533
a56	0.104066	0.212292	0.236177	0.16654	0.0967293	0.102779	0.0814167
a94	0.100645	0.183919	0.254901	0.197618	0.111961	0.0890688	0.0618876
a54	0.0637362	0.142586	0.2429	0.194587	0.130585	0.12084	0.104768
a56	0.071426	0.114877	0.214064	0.22355	0.159726	0.119302	0.0970549
a96	0.0261975	0.0752736	0.183654	0.209677	0.200415	0.150534	0.154249
a44	0.0180251	0.0518199	0.15374	0.193098	0.205983	0.170036	0.207298
a69	0.0173415	0.0368862	0.135386	0.209791	0.229515	0.16313	0.207951
a58	0.0107003	0.0262687	0.119069	0.200291	0.237063	0.189887	0.216721
a54	0.0041838	0.00755847	0.0479012	0.139225	0.231659	0.218623	0.350849
a44	0.00533611	0.0110033	0.0430996	0.127239	0.179913	0.266591	0.366818
a36	0.00349063	0.0068668	0.0400955	0.129603	0.229862	0.273236	0.316846
a7	0.00103297	0.00193512	0.0108577	0.0480684	0.153271	0.32295	0.461885
a69	0.000976603	0.00155661	0.00698823	0.0317649	0.113137	0.324887	0.52069
a44	0.000788343	0.00148731	0.00435349	0.0216263	0.0817253	0.345747	0.544272
a7	0.00036983	0.000610269	0.0027849	0.01393	0.0773119	0.370607	0.534386
a36	0.000173244	0.000318127	0.00101661	0.00576243	0.0435963	0.247399	0.701735
a26	0.000437497	0.000519255	0.00119905	0.00542969	0.0337329	0.210135	0.748547
a94	0.00728739	0.0045968	0.00498781	0.0130219	0.0484781	0.204399	0.717229
a96	0.0116378	0.0086969	0.00805366	0.0158275	0.0524503	0.223906	0.679428
a18	0.00229682	0.00213048	0.00333072	0.00868663	0.0358856	0.23873	0.70894
a71	0.00349026	0.00320277	0.00364811	0.00809077	0.0358652	0.191807	0.753896
a3	0.011585	0.00981274	0.00885296	0.0150538	0.0449733	0.194844	0.714878
a82	0.0169849	0.0134094	0.015048	0.0272058	0.0680219	0.21482	0.64451
a87	0.0413775	0.0284696	0.0348775	0.0532628	0.0926249	0.232921	0.516467
a23	0.0741847	0.0495998	0.0674377	0.0921624	0.149141	0.236404	0.33107
a87	0.0757097	0.0635724	0.0668112	0.106869	0.143718	0.223446	0.319874
</S>	0.0571574	0.0644806	0.0772425	0.120806	0.120219	0.219252	0.340842
