 	les	chasseurs	ont	fait	une	battue	</S>
a47	0.40575	0.238525	0.152261	0.0838749	0.0449504	0.037235	0.0374047
a36	0.301646	0.209879	0.170924	0.0990043	0.0652206	0.0702622	0.0830637
a21	0.306031	0.147853	0.0991143	0.0592272	0.0674728	0.123446	0.196855
a12	0.526463	0.194024	0.116	0.0645649	0.0367441	0.0308561	0.031348
a96	0.68696	0.182638	0.0704055	0.0262182	0.012164	0.0106658	0.0109485
a75	0.672939	0.194612	0.0676187	0.0245167	0.0136531	0.012858	0.0138025
a85	0.517117	0.218765	0.108092	0.0589175	0.0343492	0.0304524	0.0323067
a37	0.379094	0.199981	0.124426	0.0892871	0.0654329	0.0628688	0.0789097
a66	0.395792	0.242336	0.119901	0.0761337	0.0541325	0.0503813	0.0613236
a11	0.276349	0.272936	0.174377	0.10775	0.0606839	0.0506903	0.0572139
a34	0.129218	0.189131	0.178218	0.164447	0.124015	0.102411	0.11256
a56	0.0996712	0.198017	0.204372	0.181951	0.119418	0.0935261	0.103045
a93	0.0772618	0.158607	0.189983	0.204074	0.149925	0.110573	0.109576
a13	0.0384938	0.106279	0.166609	0.212092	0.187727	0.14034	0.14846
a11	0.0205673	0.0616671	0.11439	0.192314	0.220864	0.18469	0.205506
a93	0.0100561	0.025873	0.054429	0.121582	0.224441	0.234426	0.329194
a75	0.0102872	0.0261003	0.050869	0.107436	0.203672	0.241512	0.360124
a98	0.00864373	0.0156298	0.0250417	0.0524064	0.162955	0.286466	0.448857
a47	0.00465666	0.00727537	0.0122831	0.0286207	0.128556	0.278789	0.53982
a36	0.00393698	0.00642446	0.0128079	0.0304311	0.137108	0.282647	0.526644
a2	0.00230462	0.00460547	0.0103623	0.0227346	0.0997259	0.27126	0.589007
a57	0.00454615	0.00718015	0.0166148	0.0414214	0.140418	0.297917	0.491902
a87	0.0419805	0.0344501	0.0476591	0.0858864	0.17825	0.286167	0.325607
a23	0.101337	0.0711479	0.0975845	0.141467	0.191359	0.203095	0.19401
a10	0.0295925	0.023638	0.0487955	0.0876187	0.197091	0.303485	0.30978
</S>	0.00502857	0.00736905	0.0179035	0.0386168	0.136524	0.338807	0.455751
