 	il	m'	a	demandé	où	se	trouve	l'	église	</S>
a15	0.357196	0.219966	0.171578	0.0910401	0.0483606	0.0208284	0.0177474	0.0222738	0.0242116	0.0267984
a66	0.40082	0.164926	0.106326	0.0658064	0.0529599	0.0318384	0.0273666	0.040183	0.0452069	0.0645672
a87	0.547021	0.216652	0.0928737	0.0354287	0.0170961	0.00991376	0.00860908	0.0140695	0.0189841	0.039352
a23	0.47987	0.245842	0.109116	0.0381623	0.0199112	0.0141457	0.0124145	0.0154546	0.021653	0.0434299
a30	0.408711	0.189612	0.0808671	0.0370775	0.0282067	0.0265161	0.0289515	0.0490477	0.0585432	0.0924674
a53	0.304338	0.178006	0.114274	0.0821528	0.0591596	0.0398623	0.0366079	0.0559852	0.0557938	0.0738206
a15	0.153071	0.133555	0.179341	0.195112	0.114981	0.0566113	0.0454768	0.0542601	0.0372194	0.0303709
a79	0.0658909	0.0783467	0.119873	0.199156	0.185454	0.117294	0.0804922	0.0678711	0.0447203	0.0409018
a47	0.0629056	0.0803499	0.137146	0.242339	0.214919	0.11677	0.0581793	0.0371506	0.0235097	0.0267314
a6	0.043533	0.0487903	0.0707389	0.162853	0.257238	0.157567	0.0848796	0.0602721	0.0493499	0.0647785
a0	0.0748046	0.0861746	0.120459	0.195194	0.203436	0.135721	0.0721843	0.0420943	0.0318178	0.0381144
a11	0.0655083	0.0746998	0.116016	0.229732	0.237081	0.128451	0.0543177	0.0309867	0.0288913	0.0343157
a70	0.0427664	0.0441916	0.0621409	0.151574	0.215934	0.179541	0.105066	0.062729	0.0605941	0.075462
a62	0.0310876	0.0292898	0.0357113	0.0930054	0.164299	0.183202	0.142346	0.0909998	0.103402	0.126658
a88	0.0152217	0.0137904	0.0153234	0.0469491	0.105177	0.163119	0.19137	0.146813	0.145027	0.157209
a62	0.0129525	0.0105287	0.0106744	0.0293997	0.0569216	0.101597	0.164494	0.174574	0.215769	0.223088
a47	0.013063	0.0104631	0.0102738	0.0253984	0.0424872	0.0845578	0.180734	0.194206	0.216869	0.221948
a75	0.00766785	0.00648272	0.00702948	0.0191407	0.0323863	0.057429	0.129209	0.18693	0.260475	0.29325
a85	0.00227639	0.00176778	0.00166847	0.00452401	0.0074169	0.0188149	0.0683346	0.174077	0.302482	0.418638
a21	0.00161007	0.00118892	0.0010064	0.00214161	0.00352444	0.00996416	0.042082	0.135782	0.307316	0.495384
a47	0.00219804	0.00169606	0.00139315	0.00246385	0.00485877	0.0159961	0.0630558	0.153464	0.287962	0.466912
a61	0.00135759	0.00109592	0.00122937	0.00309856	0.00586264	0.0137133	0.0434323	0.121224	0.305725	0.503262
a83	0.000802574	0.000601471	0.000677289	0.00167484	0.00338649	0.00855853	0.0275838	0.079244	0.266588	0.610883
a62	0.00103385	0.000759404	0.000934291	0.00231013	0.00535516	0.0114737	0.0303862	0.0805065	0.245418	0.621822
a21	0.000661846	0.000582192	0.000768037	0.00172281	0.00409343	0.00912647	0.0254961	0.0699603	0.239647	0.647942
a5	0.000719518	0.000551761	0.000663577	0.00154091	0.00399183	0.00989072	0.0300446	0.0730498	0.246392	0.633155
a18	0.00112248	0.000827713	0.000936044	0.00202077	0.00572609	0.0136263	0.0369516	0.0882031	0.240356	0.61023
a36	0.00339957	0.00251177	0.00306897	0.0081797	0.0136593	0.0232828	0.0536067	0.113483	0.241938	0.53687
a37	0.00971789	0.0058754	0.00715228	0.0177558	0.0282726	0.044193	0.0865155	0.137048	0.229944	0.433526
a26	0.00319634	0.00214682	0.00223833	0.0051997	0.0107726	0.0181423	0.0407285	0.0969578	0.238804	0.581813
a83	0.0554061	0.0357954	0.0416347	0.057176	0.0372168	0.039656	0.0717409	0.110898	0.191869	0.358607
a71	0.00929819	0.00575266	0.00645041	0.0146503	0.0215979	0.0292343	0.0526335	0.0996186	0.234032	0.526732
a9	0.0173293	0.0104964	0.0132489	0.0251733	0.0238267	0.0314195	0.0620966	0.108369	0.215511	0.49253
a87	0.170863	0.0845221	0.0701062	0.0671516	0.0360686	0.0347361	0.0529551	0.0829984	0.133146	0.267453
a23	0.26871	0.153084	0.0878325	0.0482039	0.0240844	0.0173624	0.0246165	0.0487836	0.0965275	0.230795
a87	0.135135	0.082199	0.043833	0.0191118	0.00714967	0.00595088	0.010576	0.0391848	0.138411	0.518449
</S>	0.00813708	0.00460421	0.00259854	0.00177862	0.00143644	0.00212612	0.00636912	0.0342959	0.170187	0.768467
