 	les	oiseaux	itsélé	se	déplacent	toujours	en	groupe	</S>
a66	0.446295	0.216708	0.0925912	0.0607695	0.0467723	0.0445017	0.0372067	0.0291662	0.0259893
a87	0.438044	0.281825	0.128464	0.0258872	0.0188757	0.0320341	0.0264398	0.0253872	0.023043
a23	0.57071	0.264043	0.0476725	0.014518	0.0117719	0.0177643	0.019611	0.024079	0.0298302
a99	0.536371	0.189688	0.03778	0.0131147	0.0168323	0.0265689	0.035309	0.0679271	0.0764091
a83	0.443461	0.205516	0.0640278	0.0235773	0.0217432	0.0347903	0.0463192	0.0748614	0.0857031
a9	0.431141	0.25348	0.0895507	0.0240612	0.0196824	0.0305408	0.0435494	0.055754	0.0522413
a0	0.445213	0.265482	0.129027	0.0405987	0.0229077	0.0242107	0.0264157	0.0238699	0.0222753
a21	0.421411	0.260479	0.125629	0.0607578	0.0326575	0.0318632	0.027361	0.0219078	0.0179334
a12	0.180805	0.227171	0.261229	0.160655	0.0701727	0.0327616	0.0251708	0.0237236	0.0183121
a47	0.126508	0.170761	0.284826	0.20304	0.0899776	0.036726	0.0307212	0.0303068	0.0271324
a75	0.102293	0.107919	0.237002	0.220079	0.127374	0.0552233	0.0477099	0.0501064	0.0522941
a92	0.0554577	0.0890771	0.202084	0.243323	0.135234	0.0826051	0.0663866	0.0699882	0.0558451
a37	0.0540219	0.0611181	0.130941	0.181929	0.128064	0.101263	0.105635	0.128352	0.108677
a98	0.0334568	0.0310377	0.0780681	0.136526	0.129957	0.110441	0.126836	0.175643	0.178035
a47	0.0185776	0.0170594	0.0466022	0.108963	0.130228	0.145296	0.173714	0.196779	0.162781
a92	0.00347009	0.00207013	0.00501526	0.0213744	0.0439999	0.086782	0.197421	0.320264	0.319603
a37	0.00261014	0.00155362	0.00362219	0.0158957	0.0339578	0.0732605	0.177253	0.327876	0.363971
a27	0.00128702	0.000589355	0.000800632	0.00457142	0.0147531	0.037183	0.112908	0.317469	0.510438
a44	0.00179539	0.00133074	0.00118576	0.00176158	0.0042053	0.0146913	0.0678876	0.234221	0.672921
a18	0.00212028	0.00183946	0.00192459	0.00343588	0.00714921	0.0218012	0.0799568	0.259327	0.622445
a26	0.00479426	0.00270363	0.00290945	0.00556241	0.011365	0.029488	0.100662	0.271524	0.570992
a57	0.156025	0.061411	0.0274514	0.0311813	0.0371775	0.0543355	0.0973101	0.186281	0.348827
a99	0.303244	0.167595	0.0587685	0.0296318	0.0306551	0.0498466	0.0742019	0.113894	0.172162
a97	0.144974	0.0906147	0.0429116	0.0205465	0.0289816	0.0561604	0.105444	0.190552	0.319816
a87	0.117036	0.0693139	0.0360229	0.0195492	0.0266033	0.0492591	0.116152	0.222394	0.34367
a23	0.114397	0.0813355	0.0531544	0.0244432	0.0305459	0.0512512	0.109506	0.20084	0.334527
a38	0.0410176	0.0398945	0.0295803	0.0236562	0.0341475	0.0680894	0.122376	0.249269	0.39197
a30	0.0839709	0.0784769	0.0385958	0.0421076	0.0445745	0.0688324	0.0975916	0.201148	0.344703
</S>	0.0889059	0.0663617	0.0353501	0.0478577	0.0546278	0.0752511	0.099849	0.195913	0.335884
