 	elle	a	un	pagne	neuf	</S>
a23	0.213806	0.208571	0.161631	0.136991	0.140691	0.138311
a53	0.281047	0.201049	0.146812	0.125403	0.114803	0.130885
a15	0.329253	0.256883	0.166645	0.113128	0.0727862	0.0613056
a98	0.404961	0.326006	0.144474	0.0685405	0.0346297	0.0213888
a41	0.350826	0.331208	0.172888	0.0805779	0.0384987	0.0260022
a44	0.297453	0.31601	0.200706	0.0949545	0.0501958	0.0406802
a26	0.26703	0.287638	0.20803	0.110901	0.0679454	0.0584559
a24	0.219921	0.246132	0.222349	0.134234	0.0933299	0.0840345
a98	0.201311	0.221605	0.225164	0.171334	0.109527	0.0710589
a71	0.177797	0.197944	0.219647	0.191199	0.129303	0.08411
a25	0.113411	0.123222	0.165145	0.203969	0.209615	0.184638
a38	0.0801778	0.0885352	0.133011	0.198602	0.258092	0.241583
a90	0.0565068	0.0661366	0.10341	0.188192	0.286454	0.2993
a25	0.0657564	0.0689818	0.0897873	0.16505	0.294773	0.315651
a38	0.0334259	0.0378929	0.0599622	0.136706	0.307825	0.424187
a75	0.022303	0.0234064	0.0341372	0.0822267	0.278634	0.559293
a41	0.023613	0.0237888	0.0378614	0.0777572	0.262095	0.574885
a98	0.0173482	0.0189856	0.0288143	0.0668889	0.257886	0.610077
a41	0.0256066	0.026705	0.0420341	0.0832635	0.253668	0.568723
a58	0.0306063	0.0302859	0.0388288	0.0679373	0.22418	0.608162
a27	0.0204883	0.0177893	0.0253007	0.0542651	0.202041	0.680116
a0	0.0137574	0.0113002	0.0161661	0.0394126	0.178483	0.740881
a11	0.0111712	0.00932446	0.0125872	0.0387367	0.187031	0.741149
a90	0.0144884	0.0129178	0.0170406	0.0535404	0.211875	0.690138
a4	0.0129325	0.0108535	0.0146781	0.0431961	0.196885	0.721455
a13	0.0148747	0.013516	0.0183765	0.0596018	0.241461	0.65217
a9	0.0245643	0.0233485	0.0310288	0.0846314	0.26763	0.568797
a87	0.0351923	0.0375781	0.0536572	0.127711	0.280938	0.464923
</S>	0.0260904	0.0285723	0.0391469	0.0919188	0.259876	0.554395
