 	ma	moto	est	encore	in	tact	</S>
a66	0.308067	0.177684	0.0884617	0.0960369	0.111098	0.129787	0.0888659
a87	0.239129	0.154059	0.155949	0.196004	0.130208	0.0811274	0.043524
a23	0.486273	0.295387	0.136188	0.0419388	0.0182322	0.0115664	0.0104141
a30	0.526579	0.279665	0.119503	0.0327757	0.0165296	0.0147567	0.0101911
a13	0.566696	0.223994	0.0852873	0.0358757	0.0240369	0.0290674	0.0350425
a71	0.349105	0.190019	0.0727641	0.0570221	0.103325	0.115593	0.112172
a75	0.248893	0.259751	0.12577	0.0894846	0.124573	0.0811075	0.0704207
a98	0.105591	0.136589	0.0883259	0.105053	0.255351	0.164195	0.144895
a73	0.0536327	0.0951148	0.102418	0.137751	0.286934	0.177253	0.146896
a79	0.0427709	0.0608222	0.0668433	0.0827519	0.209791	0.282404	0.254618
a76	0.0584845	0.063338	0.0845314	0.120209	0.130084	0.256322	0.287031
a25	0.0486565	0.0475203	0.0672099	0.149693	0.150544	0.270236	0.266139
a56	0.0400172	0.0349854	0.0399275	0.0841699	0.105867	0.294267	0.400765
a25	0.0245081	0.018244	0.0163692	0.0250475	0.0386068	0.298457	0.578767
a90	0.0138067	0.0104321	0.00933006	0.0183869	0.0452056	0.372179	0.530659
a56	0.0142876	0.0109505	0.00957601	0.0163727	0.0339908	0.276705	0.638117
a76	0.0118153	0.00765311	0.00569208	0.00994499	0.0241915	0.178436	0.762267
a98	0.00296043	0.00196213	0.00189087	0.00412124	0.0172852	0.243041	0.728739
a79	0.00210092	0.00162555	0.00147998	0.0031504	0.0144398	0.198717	0.778486
a75	0.00132828	0.000925161	0.000660605	0.00184721	0.0107326	0.185741	0.798765
a5	0.00163992	0.00111738	0.000822678	0.00227518	0.0124505	0.167041	0.814653
a18	0.00510678	0.00327072	0.00208829	0.00474638	0.0198757	0.156705	0.808207
a25	0.00991603	0.00808362	0.00748925	0.0319935	0.0703391	0.189452	0.682727
a87	0.0698091	0.0487193	0.0381142	0.0817213	0.0925525	0.195425	0.473658
a23	0.242256	0.20635	0.117167	0.115266	0.0725299	0.0954534	0.150978
a87	0.146262	0.134482	0.0844699	0.0829499	0.0653635	0.127539	0.358934
a23	0.0354007	0.0361837	0.0281339	0.0331857	0.0527848	0.239729	0.574582
a87	0.0762334	0.0816476	0.0517653	0.0545366	0.0586169	0.199296	0.477904
</S>	0.0273896	0.0266865	0.0205031	0.0245134	0.0477128	0.247519	0.605676
