 	les	guêpes	m'	ont	piqué	à	la	tête	</S>
a66	0.352171	0.349912	0.122688	0.0777726	0.0513905	0.0157088	0.0125449	0.00967642	0.00813637
a87	0.615473	0.224077	0.0576082	0.0345081	0.0257172	0.0110232	0.0117255	0.0105711	0.00929688
a23	0.48455	0.218187	0.128513	0.0736004	0.0368458	0.0130077	0.0124913	0.014103	0.0187023
a40	0.279987	0.167595	0.0860346	0.0699797	0.0599333	0.0527245	0.0658224	0.0865754	0.131348
a7	0.253732	0.254993	0.166558	0.14111	0.0773614	0.037935	0.0270601	0.0218033	0.0194468
a44	0.124522	0.449798	0.235114	0.109698	0.0442939	0.0102918	0.00865722	0.00808538	0.00953856
a56	0.0687169	0.235903	0.308735	0.213609	0.10663	0.0241648	0.0159174	0.0120844	0.014239
a75	0.0676753	0.132546	0.2786	0.244181	0.142522	0.0436166	0.03185	0.0273235	0.0316845
a85	0.0332486	0.0805812	0.249902	0.248736	0.176808	0.0657723	0.0490046	0.0421837	0.053763
a6	0.0407426	0.0898377	0.217908	0.169903	0.136823	0.0882345	0.0813663	0.0767346	0.0984509
a21	0.0681172	0.0619625	0.179014	0.197353	0.159507	0.0959422	0.0819343	0.0725319	0.0836379
a12	0.0692685	0.0376625	0.0718005	0.116078	0.152393	0.150291	0.140764	0.128753	0.132989
a75	0.0208801	0.0148535	0.026443	0.0604155	0.130832	0.190897	0.187174	0.181084	0.18742
a92	0.00539766	0.00291079	0.011662	0.0487083	0.151087	0.238362	0.209686	0.178714	0.153472
a12	0.0071234	0.0042208	0.00924618	0.0291919	0.107946	0.243639	0.221462	0.19578	0.181391
a96	0.00615866	0.0044193	0.00503477	0.00948766	0.0389209	0.196413	0.22956	0.238985	0.271021
a70	0.0051055	0.00445111	0.0058686	0.00951259	0.0249954	0.175227	0.227291	0.253807	0.293742
a4	0.0021531	0.00220514	0.00326933	0.00568507	0.00995783	0.0855571	0.170377	0.304839	0.415956
a13	0.00128773	0.00114456	0.00167327	0.00336131	0.00693111	0.0678993	0.155355	0.316865	0.445483
a9	0.000888585	0.00109675	0.00173989	0.00394126	0.00691452	0.0637457	0.165547	0.333028	0.423098
a99	0.0097463	0.0151894	0.0215451	0.0285099	0.0219822	0.0692557	0.133533	0.299533	0.400705
a87	0.0504743	0.0603127	0.0647536	0.0703569	0.0671358	0.108349	0.144398	0.21348	0.22074
a23	0.309564	0.136549	0.0853273	0.0632662	0.046874	0.0601711	0.0803003	0.109637	0.108311
a87	0.0543225	0.0223128	0.0184898	0.0169177	0.0278183	0.0811544	0.170714	0.268593	0.339678
a23	0.0117147	0.00468039	0.00426273	0.00653997	0.0150314	0.0844925	0.174245	0.279558	0.419475
a99	0.013072	0.00480516	0.00633466	0.00995876	0.0210375	0.102718	0.181919	0.266874	0.39328
a3	0.00811333	0.00323532	0.00785326	0.0126668	0.0301581	0.101432	0.165182	0.250081	0.421279
</S>	0.0226546	0.0100109	0.0115125	0.0184966	0.0481062	0.100766	0.16162	0.234247	0.392586
