 	qui	est	ce	qui	a	perdu	mon	argent	</S>
a66	0.333793	0.154088	0.0904982	0.0852088	0.100769	0.0951807	0.0684019	0.0432979	0.0287631
a38	0.208359	0.122714	0.102394	0.11591	0.115535	0.122074	0.0941625	0.0669088	0.0519426
a53	0.292123	0.176942	0.143643	0.119895	0.0862722	0.0630205	0.0461375	0.037846	0.0341207
a90	0.411876	0.230567	0.133105	0.082391	0.0483703	0.0304521	0.0221688	0.0206464	0.0204234
a75	0.315479	0.244764	0.164459	0.117089	0.0651074	0.036303	0.0221589	0.0173964	0.0172436
a21	0.174762	0.19638	0.186087	0.188677	0.119409	0.0645718	0.0303565	0.0204058	0.0193503
a61	0.185206	0.244497	0.223346	0.178145	0.0856999	0.0424549	0.017475	0.0119068	0.0112693
a43	0.114516	0.167003	0.193893	0.196279	0.132429	0.0824174	0.0443116	0.033898	0.0352529
a47	0.0762618	0.117339	0.169942	0.200728	0.15687	0.117825	0.0653068	0.0481216	0.0476052
a96	0.0777491	0.090222	0.123115	0.16024	0.158992	0.155476	0.097019	0.070006	0.0671805
a34	0.0314618	0.0340485	0.0639638	0.121333	0.168576	0.198449	0.153241	0.120803	0.108125
a25	0.0211221	0.0193579	0.0352245	0.0803132	0.150612	0.207017	0.186388	0.162865	0.137101
a75	0.00722576	0.00627078	0.0120633	0.0324245	0.0938436	0.200142	0.233957	0.218896	0.195177
a92	0.0046504	0.00418162	0.00817023	0.0231526	0.0775091	0.172397	0.23559	0.246942	0.227407
a85	0.00186781	0.00176464	0.00342965	0.00965493	0.0345295	0.105552	0.200373	0.287598	0.35523
a37	0.00285096	0.0029923	0.00478449	0.00913101	0.0261081	0.0798083	0.178229	0.290391	0.405705
a36	0.000516913	0.000429136	0.000693549	0.00216541	0.00919722	0.0467172	0.150319	0.305667	0.484295
a27	0.00213339	0.00155315	0.00158212	0.00292267	0.00822341	0.0296218	0.0999058	0.296473	0.557584
a82	0.0584665	0.0369527	0.0300466	0.0323812	0.0432171	0.0688657	0.115668	0.223388	0.391014
a97	0.160325	0.0757896	0.0516388	0.0484291	0.0582874	0.0774805	0.115345	0.180081	0.232624
a87	0.178726	0.109908	0.0662024	0.0532184	0.0522352	0.072444	0.120183	0.168123	0.17896
a97	0.108267	0.0837845	0.0675325	0.0679876	0.0732112	0.111586	0.15644	0.174813	0.156378
a99	0.0976665	0.0744791	0.0634213	0.0738545	0.0936751	0.134876	0.139652	0.15313	0.169246
a97	0.0683821	0.0508454	0.0486333	0.0607246	0.0894759	0.133627	0.148648	0.176504	0.22316
a99	0.107365	0.0712669	0.0606738	0.070534	0.0931093	0.127695	0.130933	0.147332	0.191091
a97	0.105507	0.0673014	0.0573832	0.0642867	0.0847784	0.115414	0.135491	0.163967	0.205871
</S>	0.147814	0.0828575	0.0664351	0.0704207	0.0829373	0.103917	0.118383	0.145672	0.181563
