 	les	chenilles	blanches	kuya	exigent	une	cuisson	prolongée	</S>
a66	0.268548	0.187942	0.145171	0.102937	0.0938042	0.0832596	0.0580947	0.0335833	0.0266599
a87	0.260886	0.171025	0.130217	0.127221	0.0954526	0.0733104	0.0472117	0.0421724	0.0525033
a23	0.295877	0.211234	0.144453	0.0876035	0.0576731	0.0460341	0.0390767	0.0473234	0.0707266
a87	0.392748	0.24711	0.133163	0.0725373	0.0338385	0.0187779	0.0146365	0.025759	0.0614296
a82	0.378155	0.26191	0.140659	0.0725783	0.0345248	0.0188025	0.0147031	0.0243176	0.0543501
a97	0.328644	0.252432	0.155614	0.0869283	0.0489751	0.0306602	0.0232996	0.0270235	0.0464222
a30	0.311405	0.25362	0.165501	0.0946351	0.0535025	0.0324709	0.0241784	0.0250467	0.0396399
a62	0.326384	0.26181	0.200079	0.098795	0.0438012	0.0224785	0.015163	0.0125518	0.0189374
a21	0.342718	0.260933	0.212376	0.0977553	0.0376107	0.0192547	0.0113051	0.00815121	0.00989602
a5	0.31107	0.218012	0.196518	0.118997	0.0537153	0.0363357	0.022422	0.0175547	0.0253748
a36	0.257665	0.192294	0.205116	0.152431	0.0734564	0.048708	0.0253342	0.0181998	0.0267954
a75	0.222088	0.176997	0.185013	0.160655	0.0919471	0.0663312	0.0343419	0.0252314	0.0373946
a85	0.147891	0.139357	0.163544	0.197132	0.143099	0.0972949	0.0382239	0.0288003	0.0446572
a5	0.0931102	0.0942094	0.136176	0.180034	0.15835	0.128343	0.0728514	0.0595591	0.0773671
a47	0.129606	0.12581	0.146169	0.186729	0.167114	0.109619	0.0436034	0.0355006	0.0558489
a21	0.078565	0.0910759	0.108074	0.162986	0.181086	0.14214	0.0655335	0.061082	0.109458
a47	0.0539195	0.0564641	0.0627145	0.102633	0.157118	0.158173	0.109755	0.111886	0.187337
a62	0.0352046	0.0372062	0.0416079	0.0850573	0.163163	0.206421	0.137643	0.108706	0.184991
a34	0.0129022	0.0132913	0.0150706	0.0332267	0.0885741	0.186604	0.222613	0.176573	0.251145
a75	0.00642815	0.00658221	0.0075362	0.0192676	0.0590448	0.150668	0.220533	0.204049	0.325891
a92	0.00215715	0.00239369	0.00289643	0.00763137	0.0255381	0.0748852	0.163381	0.25228	0.468837
a37	0.00130036	0.00140518	0.00178181	0.00492681	0.0174677	0.0527633	0.139805	0.277373	0.503176
a47	0.0011777	0.00128005	0.00122783	0.00259477	0.00696944	0.0245603	0.0955597	0.250393	0.616237
a21	0.000891754	0.00088256	0.00102532	0.00226558	0.00632914	0.0204925	0.0823976	0.275613	0.610103
a6	0.00102825	0.00112921	0.00134295	0.0032924	0.00974408	0.0305924	0.106244	0.287855	0.558771
a36	0.000332091	0.000374853	0.000446036	0.00150565	0.00498842	0.016611	0.0643257	0.262034	0.649382
a26	0.000521247	0.000526006	0.000660641	0.00172371	0.00471471	0.0150187	0.0589281	0.245071	0.672836
a82	0.0304305	0.0240297	0.0236708	0.0340255	0.0514257	0.0784407	0.09595	0.213055	0.448972
a3	0.10985	0.0793624	0.0566842	0.0508293	0.0602889	0.0740658	0.0988765	0.17984	0.290203
a97	0.0763237	0.0540974	0.0412381	0.0370399	0.0490715	0.0668294	0.122673	0.249147	0.30358
a3	0.0491816	0.0367952	0.0315278	0.0306303	0.0405548	0.0721586	0.150421	0.270926	0.317805
a97	0.0271666	0.0197779	0.0168946	0.0181736	0.0292037	0.0611919	0.12645	0.281716	0.419426
a99	0.022296	0.0168955	0.0139907	0.0196421	0.0342838	0.0597788	0.109702	0.271826	0.451584
a3	0.00910007	0.00729669	0.00614355	0.00997836	0.0196403	0.0419813	0.0890762	0.252671	0.564112
</S>	0.0226429	0.018498	0.014799	0.0228773	0.0319419	0.0477951	0.0831091	0.227268	0.531069
