 	mon	père	m	a	donné	un	bel	instrument	musical	à	cordes	</S>
a66	0.128683	0.136137	0.128206	0.0962166	0.0875961	0.0922083	0.0989846	0.117674	0.0573103	0.0294518	0.0170039	0.0105286
a87	0.192565	0.149039	0.118854	0.0850791	0.0618677	0.0544241	0.0518136	0.0613125	0.096321	0.0458519	0.0403767	0.0424956
a23	0.297729	0.178949	0.100631	0.0706685	0.0535339	0.0388281	0.0423482	0.0446353	0.0465571	0.040823	0.0345468	0.0507499
a87	0.316814	0.185417	0.076415	0.0735302	0.0651961	0.0524073	0.0512376	0.0534936	0.0359838	0.0274143	0.0318908	0.0301999
a23	0.287954	0.176313	0.0801878	0.0765356	0.0675752	0.0534515	0.0543203	0.0594522	0.0348997	0.0293143	0.0363824	0.0436138
a40	0.232203	0.158478	0.0869313	0.0874866	0.0802901	0.0566557	0.0576556	0.0446878	0.0381299	0.0435343	0.0556303	0.0583175
a6	0.199403	0.180388	0.164732	0.116328	0.113452	0.0701563	0.0561796	0.0400215	0.0221729	0.0138417	0.013858	0.00946707
a37	0.112451	0.112184	0.102177	0.128419	0.126356	0.092647	0.0622144	0.0942076	0.0763314	0.0367595	0.0390559	0.0171979
a85	0.117674	0.110283	0.0948798	0.177036	0.162556	0.0922052	0.0670862	0.0824318	0.0573794	0.0178172	0.0140052	0.00664652
a47	0.0659212	0.0642238	0.071801	0.127785	0.142349	0.118737	0.089631	0.140823	0.103653	0.0254034	0.0246946	0.0249779
a36	0.0518865	0.0555289	0.0676764	0.121484	0.16059	0.139282	0.0937507	0.125267	0.0867883	0.0311897	0.0334133	0.0331435
a2	0.0675519	0.0753949	0.0884074	0.149222	0.166613	0.125082	0.0823475	0.0877003	0.0653017	0.0278803	0.0314477	0.0330504
a57	0.0463675	0.0612882	0.0926283	0.167626	0.178564	0.141048	0.0953732	0.0614489	0.0469135	0.0248194	0.0311079	0.052815
a40	0.0480172	0.0648868	0.0830182	0.134634	0.142986	0.127201	0.104268	0.0720885	0.0714503	0.0393172	0.043423	0.0687088
a85	0.0261289	0.0423715	0.0667707	0.0839232	0.127507	0.131705	0.0994848	0.111814	0.104698	0.0539052	0.0610908	0.090601
a37	0.00979008	0.0193786	0.0459436	0.0602606	0.106662	0.13221	0.105064	0.115821	0.112451	0.0951576	0.0986176	0.0986444
a34	0.0131874	0.0265317	0.0594847	0.0660041	0.102956	0.177287	0.147795	0.141207	0.083171	0.052222	0.0495614	0.0805928
a96	0.0155121	0.0222184	0.0422701	0.0425529	0.0558061	0.0981283	0.0838932	0.121103	0.131143	0.13529	0.114492	0.137591
a66	0.0117492	0.0145844	0.0276381	0.0311249	0.0454991	0.103583	0.0957149	0.130813	0.118003	0.161879	0.124307	0.135105
a21	0.0119265	0.014465	0.0318753	0.0418524	0.0498938	0.0883631	0.0906593	0.0771498	0.0692995	0.134702	0.154527	0.235286
a5	0.00538551	0.00602863	0.00919437	0.00867915	0.010536	0.0189156	0.0181638	0.0310232	0.0520104	0.216926	0.288488	0.33465
a21	0.0028453	0.0034895	0.00693396	0.00696657	0.0103075	0.0227588	0.020724	0.0294436	0.0383884	0.1912	0.281053	0.385889
a85	0.00201172	0.0022486	0.00371293	0.00366276	0.00463219	0.00907654	0.00858383	0.0139924	0.0287733	0.173098	0.315226	0.434982
a5	0.00111719	0.00158812	0.00299504	0.00266445	0.00468603	0.00841976	0.00738616	0.00437886	0.00815199	0.113563	0.325137	0.519913
a21	0.00124418	0.00160187	0.00328357	0.00264296	0.00384003	0.00718502	0.00688501	0.00980819	0.0196892	0.121698	0.22809	0.594032
a12	0.000875993	0.00102925	0.00164614	0.00150193	0.00195327	0.00352105	0.00321122	0.00460624	0.0140022	0.131046	0.303874	0.532732
a62	0.000806619	0.000891165	0.0014844	0.00158982	0.00195471	0.00285534	0.00288361	0.00572506	0.0180383	0.110537	0.226141	0.627093
a61	0.00044587	0.000478129	0.000725576	0.000758468	0.00092647	0.0013634	0.00150966	0.00443311	0.016898	0.108902	0.223192	0.640367
a21	0.000436876	0.000482916	0.000821176	0.000823081	0.000962916	0.00141484	0.00170155	0.00422647	0.0138521	0.0823101	0.173895	0.719073
a47	0.000662963	0.000716145	0.00117439	0.00128294	0.00137665	0.0017014	0.00185524	0.00266724	0.0128438	0.0875807	0.178322	0.709816
a62	0.000617132	0.000707621	0.0012596	0.00139545	0.00151445	0.00202216	0.00260312	0.00567841	0.0170253	0.081524	0.142014	0.743639
a88	0.000599243	0.000689666	0.00104324	0.00111978	0.00115907	0.00147101	0.0019047	0.00403649	0.0131995	0.0746457	0.144512	0.75562
a47	0.00133697	0.00178114	0.00394164	0.00381693	0.00375973	0.00442788	0.00554718	0.00628248	0.0161565	0.0929999	0.160872	0.699078
a18	0.00645858	0.00721701	0.0152341	0.0164266	0.0151663	0.0185695	0.0219574	0.022123	0.0511787	0.134601	0.17582	0.515248
a71	0.018262	0.0191635	0.0360055	0.0306664	0.0258986	0.0295743	0.0291606	0.0259894	0.053274	0.115498	0.160666	0.455842
