 	dans	ce	village	on	va	élire	le	chef	de	village	aujourd'	hui	</S>
a23	0.319141	0.166489	0.119691	0.0936882	0.0763515	0.0829273	0.0462221	0.0332534	0.0179125	0.0120335	0.0107299	0.0103067	0.0112536
a10	0.37804	0.177755	0.0902591	0.0697266	0.072783	0.0720707	0.037443	0.0295113	0.0172235	0.0119045	0.011733	0.0131884	0.018362
a54	0.155799	0.136627	0.109063	0.0885547	0.103583	0.0955455	0.0530899	0.0525729	0.0412497	0.0365698	0.0349201	0.0380165	0.0544094
a36	0.350181	0.217359	0.107836	0.0740791	0.0624134	0.0294217	0.0368869	0.0346845	0.0236021	0.0157534	0.0129112	0.0138807	0.0209919
a2	0.321115	0.270132	0.146435	0.0866291	0.0586728	0.0344391	0.0214823	0.0157236	0.0103677	0.00862217	0.0079932	0.00755575	0.0108326
a93	0.160068	0.155351	0.122414	0.091014	0.0811455	0.117385	0.0487584	0.0440084	0.034577	0.0339565	0.0332775	0.032493	0.0455511
a70	0.0803854	0.101167	0.119076	0.114581	0.119746	0.144338	0.0606172	0.0468095	0.035501	0.0321975	0.0358129	0.0441058	0.0656633
a31	0.0774491	0.104564	0.133974	0.126608	0.125668	0.174216	0.058958	0.0430674	0.0309962	0.0261352	0.0262817	0.0297909	0.0422907
a21	0.0667594	0.0911961	0.122464	0.117722	0.120121	0.196959	0.0661374	0.0494048	0.0381007	0.0311393	0.0297725	0.030801	0.0394236
a12	0.0675259	0.0889704	0.114385	0.115066	0.118937	0.159395	0.070889	0.0626557	0.0477542	0.0356242	0.0328293	0.0380115	0.0479567
a18	0.0422438	0.0585152	0.0958669	0.105139	0.12092	0.209727	0.0902748	0.0759479	0.0529437	0.0378835	0.0333748	0.0339287	0.0432345
a82	0.0264325	0.0393459	0.10117	0.12333	0.141413	0.261765	0.0838892	0.0591128	0.038887	0.0315382	0.0300962	0.0284711	0.0345479
a87	0.0140342	0.0242837	0.0863181	0.115604	0.163996	0.261093	0.0910337	0.0703748	0.0414035	0.0325816	0.0308592	0.0312197	0.037198
a23	0.0287442	0.0411378	0.108909	0.141142	0.156065	0.177076	0.0911398	0.0738716	0.0447591	0.0317727	0.031057	0.0332302	0.0410959
a20	0.0235851	0.0391435	0.0797019	0.0923662	0.102433	0.0711846	0.0639769	0.0655799	0.0694629	0.0780536	0.0777303	0.102596	0.134186
a7	0.0366001	0.0624897	0.125045	0.133672	0.137647	0.143731	0.0687453	0.0535599	0.0447904	0.0438927	0.0406027	0.0449502	0.0642745
