 	le	feuillage	des	arbres	est	encore	couvert	de	rosée	attends	que	le	soleil	brille	pour	qu'	on	puisse	partir	</S>
a15	0.128648	0.0792829	0.0712638	0.0692147	0.0848933	0.0908911	0.0899338	0.0915468	0.0566365	0.0323714	0.0272255	0.0229719	0.0231107	0.0325959	0.0240305	0.0216959	0.0144282	0.0131716	0.0128109	0.013277
a66	0.319043	0.136264	0.0787017	0.0376667	0.0262142	0.0167779	0.011498	0.0131544	0.0117187	0.00919354	0.0129845	0.0233773	0.0312249	0.0394761	0.0352562	0.0433157	0.0394925	0.0481844	0.0350573	0.0313989
a87	0.362957	0.151033	0.118942	0.0845401	0.0527924	0.0331741	0.023413	0.0261218	0.0304547	0.019514	0.0158781	0.0128883	0.0106303	0.00911582	0.00511512	0.00460773	0.00426574	0.006747	0.0119101	0.0159002
a23	0.324117	0.202637	0.127962	0.0630234	0.0496776	0.0355271	0.0300016	0.0282158	0.0262793	0.017991	0.0178739	0.0151204	0.0122471	0.010695	0.00698648	0.00731564	0.00564309	0.00594661	0.00566093	0.00707862
a10	0.21205	0.204699	0.109293	0.0408008	0.0230089	0.0164639	0.0166729	0.0246274	0.0271542	0.0294162	0.0396396	0.0387778	0.0364121	0.0294625	0.0250309	0.0291887	0.0242647	0.0244572	0.0214238	0.0271565
a87	0.2383	0.139292	0.103284	0.0488865	0.0327572	0.0201863	0.0300701	0.0464016	0.0401261	0.0355025	0.0341036	0.0344281	0.0326857	0.0286444	0.0254024	0.027563	0.0232077	0.0213012	0.0182592	0.0195992
a10	0.227407	0.123114	0.0887333	0.0470488	0.0314377	0.022314	0.0262962	0.0421198	0.03671	0.0399998	0.0453604	0.0470334	0.0432809	0.0371094	0.0295186	0.0315421	0.0257479	0.0222505	0.0163078	0.0166677
a75	0.19168	0.111923	0.0793742	0.0355672	0.0261251	0.0232692	0.0402165	0.0647665	0.0558075	0.0434715	0.0373714	0.0409918	0.0371926	0.0319344	0.0280735	0.0315435	0.0327489	0.0328091	0.0286053	0.0265289
a73	0.121239	0.133117	0.138351	0.104715	0.0507667	0.0353177	0.02825	0.0366502	0.0530546	0.0382648	0.0330505	0.0287117	0.0205274	0.0171481	0.0132769	0.0159266	0.0230674	0.0369737	0.0385805	0.0330104
a7	0.0722842	0.077066	0.101099	0.1244	0.0881167	0.0603558	0.0384196	0.0385926	0.045606	0.035648	0.032623	0.027844	0.0207398	0.018301	0.0142364	0.01675	0.0268396	0.0466372	0.0568072	0.0576339
a54	0.0683108	0.090893	0.0971526	0.113207	0.115025	0.0773091	0.0536668	0.0443406	0.0465021	0.0232267	0.0191965	0.0205529	0.0155945	0.0162816	0.0161208	0.016895	0.021573	0.0322473	0.0499136	0.0619909
a5	0.0262928	0.0570932	0.070168	0.0941185	0.0786006	0.0643466	0.0481451	0.0493057	0.0571988	0.0315683	0.0326891	0.0347944	0.0296043	0.0338493	0.0311888	0.0301147	0.0360136	0.0450232	0.0664508	0.0834345
a56	0.0400058	0.0706257	0.0810482	0.114286	0.0914937	0.0628079	0.0510512	0.0430662	0.0558244	0.0481443	0.0609612	0.0565078	0.0473483	0.0442011	0.0273967	0.0221707	0.0179937	0.0162722	0.0208535	0.0279409
a0	0.0205002	0.0411247	0.0437028	0.0958214	0.115425	0.0886084	0.0699256	0.0533308	0.0738239	0.0643015	0.0843575	0.0595618	0.0455712	0.0397924	0.0215508	0.0162996	0.0129558	0.0127479	0.0169921	0.0236066
a75	0.00863183	0.0157601	0.0157722	0.038999	0.0699476	0.0787134	0.0755343	0.0629716	0.0866542	0.104405	0.135492	0.0898606	0.0641531	0.051651	0.0249744	0.0172093	0.0125835	0.0107956	0.0151398	0.0207511
a85	0.00832446	0.0135929	0.0133933	0.0294192	0.0472109	0.0503745	0.0488049	0.0436055	0.0539232	0.0610049	0.104297	0.100682	0.0984293	0.098088	0.0562749	0.0379669	0.0268792	0.0239832	0.0359408	0.0478043
a47	0.00288705	0.00351401	0.00394566	0.0161046	0.0290266	0.0402995	0.0385377	0.0353837	0.0619076	0.0665268	0.141724	0.148432	0.141958	0.114379	0.050025	0.0274841	0.0150726	0.0119761	0.0197206	0.0310955
a92	0.00180345	0.00271715	0.00255336	0.00920881	0.0224455	0.0446371	0.0523495	0.0550902	0.0778058	0.0781921	0.130973	0.108341	0.0955582	0.104302	0.0542623	0.0341484	0.0245862	0.020965	0.0316604	0.0484006
a37	0.00122747	0.00168173	0.00168785	0.00639265	0.0124105	0.0228802	0.0242948	0.0278802	0.0354517	0.0510484	0.10193	0.104523	0.116948	0.14379	0.100997	0.0674452	0.0430766	0.0327738	0.0464018	0.05716
a90	0.00229765	0.00283922	0.00293521	0.006784	0.0104987	0.0206985	0.0305152	0.0468028	0.0515017	0.0875012	0.160072	0.119665	0.119613	0.126319	0.0703593	0.0436001	0.0239679	0.0192149	0.0246818	0.0301325
a94	0.00115204	0.00145115	0.00161741	0.00408382	0.00628254	0.0121917	0.017955	0.0298914	0.0352786	0.0652158	0.14109	0.116506	0.129688	0.150482	0.0976076	0.065871	0.0376763	0.0253792	0.0273674	0.0332129
a4	0.00116442	0.00109476	0.00126861	0.0035178	0.00565549	0.0103254	0.0162127	0.0273312	0.0341882	0.0622819	0.159771	0.141962	0.144625	0.13453	0.0773775	0.0497157	0.0277035	0.024877	0.0326906	0.0437065
a13	0.00133751	0.0012862	0.00139141	0.00378781	0.00643207	0.011993	0.017108	0.0280307	0.0373784	0.0738273	0.160529	0.14107	0.134567	0.112247	0.0631664	0.0453173	0.0297389	0.0298907	0.0441594	0.0567432
a9	0.00272966	0.0019662	0.00230787	0.0057375	0.0106019	0.0184057	0.0342949	0.0496693	0.0583659	0.084147	0.13092	0.13648	0.142651	0.108216	0.0602691	0.0413838	0.0228917	0.0199364	0.0293508	0.0396748
a87	0.00492037	0.00373487	0.00420245	0.00766161	0.0158831	0.0346549	0.0595434	0.0773675	0.0988855	0.12664	0.168722	0.12221	0.10545	0.0682734	0.0303764	0.0191924	0.0103646	0.00924311	0.0136296	0.0190447
a23	0.0417339	0.0204748	0.0170863	0.0207122	0.025461	0.0528682	0.0742767	0.107173	0.0789274	0.078154	0.0904887	0.0801606	0.0782786	0.0653889	0.0418307	0.0334662	0.020362	0.0161093	0.0235848	0.0334628
a87	0.0406211	0.0204522	0.0181456	0.0239356	0.02757	0.043984	0.0460589	0.0603872	0.0380515	0.035549	0.0437279	0.0587261	0.0635448	0.0847766	0.0838316	0.0781092	0.0554661	0.0437381	0.0575568	0.0757677
