 	il	se	laisse	berner	par	tout	le	monde	</S>
a23	0.350231	0.15513	0.0662481	0.0442352	0.0245559	0.0257023	0.0491373	0.1154	0.169361
a85	0.414461	0.221832	0.0955254	0.053431	0.0360041	0.0265005	0.0337489	0.0512356	0.0672617
a87	0.211501	0.165316	0.0971719	0.074486	0.087239	0.0793795	0.0680393	0.0865897	0.130278
a23	0.189577	0.174595	0.128846	0.102901	0.107045	0.0592505	0.0540668	0.0737361	0.109983
a79	0.0423334	0.0315674	0.0305826	0.027136	0.0473819	0.0508933	0.0963962	0.250814	0.422895
a20	0.076301	0.0483899	0.0463707	0.0442638	0.0562429	0.062635	0.0735356	0.19716	0.395101
a44	0.1673	0.14311	0.134509	0.1225	0.120635	0.105684	0.0728818	0.062594	0.0707868
a20	0.172322	0.170982	0.172706	0.151765	0.14385	0.104255	0.0393835	0.0224245	0.0223112
a73	0.137242	0.167458	0.220394	0.180686	0.139874	0.0793848	0.0341167	0.0205722	0.020272
a26	0.119049	0.136865	0.195421	0.183758	0.171247	0.102161	0.0420629	0.0246693	0.0247678
a38	0.0901535	0.100938	0.166726	0.15541	0.202678	0.158368	0.059345	0.032686	0.0336965
a12	0.0906344	0.0975321	0.159152	0.136318	0.191217	0.161526	0.07609	0.0427941	0.0447362
a18	0.0862476	0.0810497	0.110101	0.102268	0.160158	0.185597	0.131826	0.0719402	0.0708122
a41	0.0844078	0.078756	0.102941	0.0762979	0.140074	0.190163	0.140682	0.0892321	0.0974455
a73	0.0707989	0.0675405	0.101148	0.07471	0.128438	0.17987	0.140693	0.105295	0.131507
a27	0.0305415	0.0293715	0.0471562	0.0410313	0.0928669	0.182385	0.200495	0.164273	0.211881
a84	0.0189621	0.0160127	0.0240871	0.0148787	0.0392287	0.108911	0.202041	0.248355	0.327523
a76	0.0119225	0.0102474	0.0157896	0.0107945	0.0358753	0.100377	0.194572	0.253977	0.366444
a90	0.0133059	0.010291	0.0133352	0.0143884	0.0358254	0.0795897	0.162357	0.255298	0.41561
a58	0.0106745	0.00844131	0.0113076	0.0127398	0.0359881	0.0858074	0.185104	0.28157	0.368367
a11	0.00778331	0.0058068	0.00688413	0.0064678	0.0215479	0.0537226	0.133586	0.273392	0.490809
a90	0.00577758	0.00366899	0.00370799	0.00303649	0.00833099	0.021664	0.0741545	0.254005	0.625654
a76	0.00428401	0.00322791	0.00389819	0.00457815	0.0125037	0.0280659	0.0792465	0.253097	0.611099
a90	0.00200786	0.00178436	0.0030297	0.00419891	0.0146931	0.0335713	0.0943232	0.27168	0.574712
a38	0.00422697	0.00330915	0.00452167	0.00562774	0.0192611	0.0412135	0.0977093	0.255958	0.568172
a20	0.0023819	0.00150997	0.00186561	0.00226172	0.00916312	0.0232664	0.0714537	0.247085	0.641012
a84	0.0020659	0.00145556	0.00224244	0.00312457	0.0128709	0.0327995	0.103919	0.274801	0.566721
a87	0.000546086	0.000315855	0.000478348	0.000516018	0.00198885	0.009465	0.0636067	0.2518	0.671283
</S>	0.000700775	0.000579103	0.000741974	0.00105286	0.0032571	0.012232	0.0795138	0.253022	0.648901
