 	en	ville	il	y	a	un	bruit	insupportable	</S>
a23	0.183494	0.11346	0.101586	0.133313	0.124232	0.121623	0.086153	0.0718575	0.0642822
a87	0.279837	0.19471	0.127504	0.124241	0.0832383	0.0643111	0.0410486	0.0377711	0.047339
a79	0.221619	0.192089	0.146608	0.118686	0.0863298	0.0734077	0.0554517	0.0450125	0.0607962
a76	0.345797	0.266577	0.116747	0.0725965	0.0348473	0.0272254	0.0283958	0.043328	0.0644854
a94	0.371766	0.188744	0.124684	0.0989853	0.0612302	0.0509955	0.0385239	0.0340175	0.0310538
a66	0.350029	0.21017	0.149903	0.124655	0.0634495	0.0383681	0.0241992	0.0195888	0.0196379
a24	0.265066	0.204283	0.163715	0.142548	0.0840029	0.0482316	0.0291376	0.0274068	0.0356096
a41	0.177477	0.169738	0.168857	0.174548	0.132139	0.079396	0.0395326	0.0268923	0.0314204
a35	0.142433	0.177347	0.1895	0.19856	0.137211	0.0755741	0.0323796	0.0208447	0.026151
a41	0.115557	0.159327	0.191925	0.204173	0.146454	0.0850743	0.037769	0.025919	0.0338026
a27	0.114251	0.136852	0.155046	0.162262	0.13148	0.10134	0.0649583	0.0587795	0.0750315
a30	0.0439111	0.0641624	0.094487	0.125108	0.117931	0.112701	0.0959595	0.129604	0.216137
a38	0.0530629	0.0843471	0.128529	0.167633	0.157757	0.122419	0.0758923	0.0783825	0.131976
a41	0.0291002	0.0422263	0.075794	0.122319	0.133397	0.141067	0.127972	0.124102	0.204022
a32	0.0369759	0.0478865	0.0779096	0.110247	0.113715	0.132024	0.156124	0.149735	0.175382
a26	0.03235	0.0336934	0.0528717	0.085545	0.10151	0.121768	0.162109	0.189123	0.221031
a75	0.0246611	0.0256435	0.0387231	0.0671162	0.0875647	0.131095	0.198579	0.211452	0.215166
a14	0.0228957	0.0235726	0.0338776	0.0537722	0.077789	0.108734	0.163847	0.248307	0.267205
a92	0.027051	0.0248537	0.0339277	0.0528692	0.0794058	0.1188	0.178781	0.232429	0.251882
a35	0.0131761	0.0111051	0.0137684	0.0187912	0.0334732	0.0687066	0.140574	0.321408	0.378998
a76	0.0179499	0.0139684	0.0162402	0.0216457	0.0358602	0.0710152	0.13317	0.322676	0.367474
a25	0.0184071	0.0168213	0.0200028	0.0245969	0.0391742	0.081199	0.154243	0.331882	0.313674
a94	0.0135066	0.0113548	0.012256	0.0151092	0.0214297	0.047826	0.11938	0.337821	0.421317
a38	0.0144183	0.0116746	0.0125258	0.015065	0.0209017	0.0399528	0.0930561	0.290863	0.501542
a26	0.0100642	0.00761239	0.00781935	0.010559	0.0152874	0.0334177	0.080271	0.296805	0.538164
a35	0.004906	0.00318051	0.00250552	0.00307136	0.00478405	0.0136821	0.047318	0.286892	0.63366
a14	0.00517871	0.00294651	0.00225434	0.00297199	0.00459416	0.0152184	0.0603483	0.299988	0.6065
a35	0.00726616	0.00481732	0.0042677	0.00565471	0.00884364	0.0237136	0.0757359	0.331721	0.53798
a76	0.00537367	0.00383451	0.0035237	0.00497174	0.00788422	0.0205222	0.0652758	0.304464	0.584151
a94	0.0064555	0.00536124	0.00525788	0.0071692	0.0109191	0.0284572	0.0868083	0.317162	0.532409
a58	0.00757771	0.00515748	0.00394701	0.00474972	0.00623992	0.0153863	0.0515653	0.266501	0.638875
a40	0.0043289	0.00262223	0.00195505	0.00262905	0.00390416	0.013653	0.0571173	0.272608	0.641183
a75	0.00724691	0.00585154	0.00521899	0.00681052	0.00931834	0.0206939	0.0639222	0.276135	0.604802
a14	0.00430076	0.00393434	0.00367735	0.00515395	0.00778163	0.0191797	0.0577261	0.276331	0.621915
a30	0.00684172	0.00505066	0.00467618	0.00586582	0.00784823	0.0192501	0.0663707	0.287466	0.59663
a57	0.00653566	0.00446428	0.00364	0.00427535	0.00577322	0.01628	0.0636632	0.303506	0.591862
a87	0.00841987	0.00568679	0.00412054	0.00485344	0.00613798	0.0171471	0.0596015	0.237672	0.656361
</S>	0.0125254	0.00973482	0.00901122	0.0102807	0.0198864	0.0581888	0.131786	0.292869	0.455717
