 	il	va	bien	</S>
a23	0.310799	0.266926	0.234273	0.188003
a87	0.403026	0.259121	0.184565	0.153288
a23	0.491431	0.266587	0.150607	0.0913742
a53	0.317649	0.290343	0.22125	0.170758
a20	0.405732	0.275925	0.191392	0.126951
a41	0.482629	0.265947	0.156674	0.0947498
a66	0.464762	0.268604	0.162012	0.104623
a38	0.37251	0.270842	0.205921	0.150728
a26	0.298687	0.277962	0.239412	0.183939
a94	0.151644	0.204585	0.274815	0.368956
a76	0.105324	0.171272	0.294351	0.429054
a90	0.110011	0.196841	0.30723	0.385918
a57	0.099598	0.169924	0.289121	0.441358
a40	0.0397095	0.101966	0.244705	0.61362
a14	0.0252246	0.0699921	0.213121	0.691662
a30	0.0404701	0.101627	0.256951	0.600952
a57	0.0343866	0.0976533	0.245627	0.622333
a87	0.0351891	0.07546	0.192218	0.697133
a23	0.0972472	0.141154	0.236356	0.525243
a87	0.111282	0.163525	0.259965	0.465228
</S>	0.0616513	0.138689	0.276534	0.523125
