 	j'	ai	déjà	souffert	des	hémorroïdes	</S>
a66	0.511981	0.301558	0.110782	0.0397751	0.0146334	0.0108111	0.0104586
a87	0.525089	0.276386	0.129511	0.0374915	0.0140416	0.00938879	0.00809229
a23	0.506145	0.296879	0.118479	0.0196742	0.013777	0.0225193	0.0225268
a38	0.458113	0.262026	0.0945053	0.0148486	0.0135571	0.0412375	0.115712
a54	0.256722	0.185414	0.0765404	0.0212095	0.0300764	0.126374	0.303663
a6	0.294122	0.304839	0.199066	0.056756	0.0411061	0.0528535	0.0512574
a36	0.186785	0.226909	0.244046	0.207076	0.0608093	0.0428461	0.031529
a79	0.125211	0.144503	0.208137	0.307499	0.120871	0.052339	0.0414407
a15	0.103194	0.138531	0.247565	0.30155	0.111175	0.0568517	0.0411337
a20	0.0335664	0.0378242	0.073533	0.19773	0.213911	0.205243	0.238193
a15	0.00715714	0.00595155	0.0140383	0.0773015	0.162267	0.379507	0.353777
a79	0.0010503	0.000618659	0.00174415	0.0157759	0.0870181	0.379309	0.514484
a25	0.000992612	0.000586991	0.00154737	0.0125324	0.0669334	0.335779	0.581628
a56	0.00048994	0.00028214	0.000893208	0.00890497	0.0644012	0.318014	0.607015
a32	0.000825327	0.000436531	0.00150362	0.0207354	0.0664081	0.187864	0.722227
a90	0.00259629	0.00162526	0.00463256	0.0392591	0.0950393	0.216713	0.640135
a69	0.00132416	0.00071364	0.00209803	0.019826	0.0893169	0.220455	0.666267
a4	0.0014142	0.000825036	0.00236384	0.0227942	0.107944	0.264324	0.600334
a58	0.00210691	0.00117808	0.00306923	0.0301666	0.123186	0.294161	0.546132
a82	0.00376265	0.00183086	0.00346764	0.023627	0.0932425	0.280128	0.593941
a10	0.0966401	0.0516846	0.0378878	0.0520575	0.16639	0.24982	0.345519
a87	0.285293	0.177885	0.176974	0.096099	0.0907392	0.0869442	0.0860655
a23	0.399911	0.269058	0.196059	0.0678722	0.0320504	0.0192307	0.0158185
a87	0.109491	0.0688204	0.06849	0.0797819	0.121832	0.267096	0.284488
</S>	0.00348521	0.00196138	0.00274145	0.015138	0.0623889	0.340074	0.574211
