 	la	mère	cajole	son	enfant	pour	qu'	il	se	lave	</S>
a66	0.25095	0.229684	0.121135	0.0811816	0.0919711	0.0890828	0.0605132	0.0319491	0.0173296	0.0139287	0.0122741
a87	0.283597	0.200973	0.147424	0.0970726	0.0714248	0.0398743	0.0285014	0.0219269	0.0245418	0.0357546	0.0489106
a23	0.427142	0.26316	0.110428	0.0538334	0.0280668	0.0160192	0.0147628	0.0136178	0.0140387	0.0250132	0.0339183
a99	0.390087	0.310809	0.133444	0.0475821	0.0165925	0.00784298	0.00736903	0.00855576	0.0141959	0.0251242	0.0383976
a30	0.379173	0.277666	0.127416	0.0444355	0.0208566	0.0153067	0.0135699	0.0148301	0.0246606	0.0359751	0.0461104
a93	0.297162	0.255498	0.142168	0.0684673	0.0403794	0.0320904	0.0249863	0.0226063	0.0340247	0.0415144	0.0411039
a56	0.183618	0.252927	0.268557	0.134384	0.0791514	0.0347078	0.0163347	0.00941471	0.00937549	0.00698607	0.00454375
a34	0.138171	0.200985	0.284078	0.162675	0.0995193	0.0474052	0.0242453	0.0131113	0.0111054	0.0110737	0.00763047
a75	0.0989601	0.136332	0.265661	0.180892	0.13657	0.0769632	0.0398306	0.0198743	0.0154709	0.0165546	0.0128915
a47	0.05001	0.0744904	0.173691	0.162075	0.165419	0.127299	0.0858093	0.0480565	0.0383691	0.0385147	0.0362652
a7	0.0345569	0.0465043	0.116864	0.142117	0.19967	0.179692	0.11577	0.0586175	0.0424008	0.0334579	0.0303485
a26	0.050952	0.0589971	0.104502	0.140254	0.199435	0.170839	0.100213	0.0465561	0.0397852	0.0435711	0.0448963
a53	0.032387	0.031383	0.0359159	0.0615226	0.133535	0.186906	0.139804	0.0860744	0.0771785	0.102319	0.112975
a90	0.0611325	0.0605735	0.0780901	0.112976	0.17482	0.160363	0.114066	0.0687558	0.0557571	0.0587735	0.054692
a56	0.0183189	0.0164876	0.0277504	0.0434388	0.111779	0.190891	0.193192	0.13418	0.0965482	0.0887822	0.0786322
a43	0.00881104	0.00682648	0.00921706	0.0144014	0.0402172	0.112332	0.173501	0.191574	0.153108	0.143328	0.146684
a90	0.0105469	0.00738255	0.00667445	0.00998403	0.020159	0.0622832	0.13355	0.192915	0.179722	0.173565	0.203217
a94	0.0045872	0.00312328	0.00257832	0.0042224	0.0109908	0.0370855	0.0912854	0.188154	0.225661	0.21398	0.218332
a54	0.00385881	0.00236046	0.00176539	0.00283247	0.00610221	0.0183985	0.0478609	0.134717	0.236171	0.24487	0.301063
a92	0.000878873	0.000491936	0.000398732	0.000683616	0.00216274	0.00876741	0.0270313	0.0986896	0.223295	0.284329	0.353272
a37	0.000442738	0.000265542	0.000215406	0.000427818	0.0015519	0.00649882	0.021802	0.0978629	0.218759	0.282374	0.369799
a62	0.000482749	0.000241479	0.000145355	0.000294897	0.000797879	0.00261178	0.00932763	0.0509949	0.172601	0.280474	0.482028
a61	0.000545222	0.000291938	0.0002243	0.000421205	0.00105263	0.00293719	0.00960297	0.0498521	0.158032	0.27417	0.50287
a43	0.000188379	9.94555e-05	7.67358e-05	0.00014009	0.000379075	0.00117859	0.0041106	0.0257423	0.10978	0.256078	0.602227
a70	0.000253433	0.000142325	0.000108381	0.000180133	0.000532408	0.00155917	0.00447894	0.0227012	0.0890228	0.24944	0.631582
a66	0.000410558	0.000263516	0.000224802	0.000455103	0.00172018	0.00537685	0.0131129	0.0460687	0.125799	0.286693	0.519875
a38	0.00188117	0.00126224	0.00114374	0.0019739	0.00442605	0.0109388	0.0239444	0.0692355	0.148933	0.278414	0.457848
a9	0.00378266	0.00226627	0.00221903	0.00339093	0.00697749	0.0146787	0.0286743	0.0720479	0.15406	0.256585	0.455317
a10	0.121149	0.0517424	0.0324443	0.0333897	0.033046	0.0413028	0.0579631	0.0920789	0.131159	0.158025	0.2477
a87	0.316926	0.173654	0.0792207	0.0565658	0.0403365	0.0372704	0.0430673	0.0525018	0.0554714	0.0616198	0.0833665
a23	0.269157	0.175362	0.0829525	0.0554688	0.0383063	0.030864	0.0359937	0.0504608	0.0585156	0.0816608	0.121258
a87	0.124038	0.0579062	0.0214014	0.0107999	0.0068966	0.00683632	0.0123345	0.0346321	0.0915148	0.207155	0.426485
</S>	0.00817392	0.00426618	0.00273933	0.00171446	0.00174894	0.0028396	0.00780565	0.0311351	0.103664	0.261573	0.57434
