 	il	y	a	des	nappes	de	brume	sur	le	fleuve	</S>
a23	0.288065	0.193445	0.138188	0.0969712	0.0751614	0.059946	0.0448952	0.0338533	0.0274795	0.0213226	0.020673
a87	0.225908	0.183363	0.140659	0.101165	0.0815378	0.0819448	0.0632562	0.0445694	0.0307789	0.0236518	0.0231656
a9	0.145363	0.134021	0.133755	0.111971	0.0878968	0.0983224	0.0798484	0.0611924	0.0478045	0.0462878	0.053538
a83	0.170572	0.159815	0.149378	0.10647	0.0693696	0.0751984	0.0560231	0.0559959	0.0490848	0.047541	0.0605524
a34	0.259038	0.235322	0.219399	0.13691	0.0562243	0.0318045	0.0229464	0.0129827	0.00926353	0.00828162	0.00782826
a61	0.195666	0.224303	0.268404	0.186168	0.0622469	0.0277504	0.0151676	0.00681924	0.00479841	0.00420394	0.00447188
a83	0.190635	0.221818	0.262854	0.19373	0.0647077	0.0264667	0.0153955	0.00700671	0.00551301	0.00543206	0.00644165
a34	0.145074	0.177878	0.216741	0.181612	0.0976462	0.0485759	0.0405658	0.0218784	0.0207415	0.0222508	0.0270362
a56	0.135142	0.181636	0.226894	0.190232	0.0981659	0.0509218	0.041748	0.0205651	0.0176255	0.0172843	0.0197849
a34	0.124032	0.157238	0.200221	0.178421	0.110424	0.0606272	0.0546449	0.0312007	0.0273022	0.0265262	0.0293621
a62	0.104788	0.121614	0.151169	0.159878	0.130893	0.08622	0.0900453	0.0497951	0.0372575	0.033229	0.0351114
a0	0.0648029	0.0646315	0.0743308	0.0960152	0.133277	0.121268	0.153469	0.109064	0.0746409	0.0561475	0.0523539
a75	0.0774506	0.0626913	0.0640839	0.0754459	0.110567	0.107517	0.145663	0.117929	0.0899759	0.0745127	0.0741633
a85	0.0320426	0.0297579	0.0317527	0.0388861	0.0721667	0.0842641	0.119352	0.127042	0.134215	0.155904	0.174616
a0	0.0203596	0.0193629	0.0217785	0.0269998	0.0497187	0.0716267	0.116482	0.150023	0.158611	0.173947	0.191091
a75	0.0291708	0.0183017	0.0161403	0.019363	0.0361826	0.0538361	0.104503	0.174041	0.18111	0.177121	0.190231
a85	0.0201887	0.0156221	0.0153131	0.0177532	0.0274253	0.041429	0.0762021	0.147556	0.18516	0.205324	0.248027
a61	0.00989463	0.00850533	0.00920612	0.0119345	0.0224887	0.0396402	0.0784285	0.155376	0.19356	0.215443	0.255522
a75	0.0129254	0.00847763	0.00771017	0.010311	0.0172646	0.0280506	0.058643	0.118193	0.185286	0.242124	0.311015
a85	0.00810013	0.0051931	0.00501733	0.00601276	0.00931484	0.0188018	0.0449301	0.103228	0.186563	0.271447	0.341392
a61	0.00577211	0.00397532	0.00404671	0.00478264	0.00781763	0.0180682	0.0442322	0.108041	0.189457	0.273076	0.340731
a62	0.00374453	0.00255473	0.00270731	0.00430494	0.00821605	0.0153436	0.0394297	0.0827471	0.163061	0.266296	0.411595
a83	0.0036326	0.00251743	0.00271397	0.00435006	0.00887335	0.0159957	0.0373107	0.0752545	0.152546	0.257206	0.4396
a25	0.00266747	0.00147398	0.00152131	0.00260842	0.00786271	0.0170406	0.0438651	0.0785504	0.160707	0.259979	0.423724
a10	0.00201591	0.00110973	0.00114124	0.00146618	0.00292805	0.00819995	0.0213141	0.0516266	0.144758	0.25305	0.51239
a87	0.0147735	0.00777495	0.00674011	0.00918276	0.019973	0.0577821	0.0798673	0.117007	0.180079	0.212102	0.294718
a23	0.0597183	0.0280396	0.0252573	0.0347964	0.0558118	0.125711	0.12974	0.163688	0.154932	0.11282	0.109486
a87	0.0144124	0.00659448	0.00740426	0.0103529	0.0241659	0.0717104	0.117293	0.186733	0.207744	0.185008	0.168582
</S>	0.0102243	0.00496557	0.00523477	0.00726609	0.0188878	0.0588197	0.104482	0.164878	0.201524	0.211962	0.211755
