 	le	petit	batracien	joue	dans	l'	eau	</S>
a66	0.243798	0.194886	0.233063	0.050188	0.0635008	0.0931231	0.0712907	0.0501499
a87	0.184644	0.108509	0.190574	0.17894	0.141991	0.0912055	0.0569203	0.0472158
a23	0.372068	0.303946	0.289896	0.0192882	0.00583621	0.00373456	0.00269826	0.00253247
a87	0.300714	0.316758	0.333189	0.0358359	0.00561238	0.00235586	0.00225557	0.00327924
a23	0.291613	0.372702	0.297171	0.0245404	0.00583535	0.00301237	0.00230555	0.00282
a93	0.274074	0.332451	0.322362	0.0327472	0.009545	0.00870269	0.00926673	0.0108518
a90	0.266932	0.369643	0.315794	0.0254325	0.00956358	0.00538471	0.00375225	0.00349828
a76	0.254484	0.256469	0.342359	0.10042	0.0280602	0.00870414	0.0049299	0.00457431
a69	0.160942	0.14227	0.323844	0.219838	0.0897547	0.0323823	0.0169014	0.0140663
a90	0.103744	0.0931672	0.276418	0.306642	0.141178	0.0423448	0.0200393	0.0164672
a25	0.0733928	0.0637977	0.146753	0.301844	0.255984	0.0915681	0.0401041	0.0265564
a98	0.019949	0.0195474	0.0488672	0.220751	0.34009	0.206419	0.0886435	0.0557335
a6	0.0116282	0.0121005	0.0263896	0.177841	0.31729	0.240337	0.129079	0.0853348
a85	0.0245757	0.0202504	0.0378449	0.131643	0.25098	0.247305	0.163958	0.123443
a61	0.0082071	0.00639568	0.0188773	0.126363	0.248975	0.26497	0.179243	0.146968
a21	0.014672	0.0127873	0.0147695	0.0586484	0.133854	0.222266	0.281942	0.261061
a5	0.00376061	0.00356465	0.00356381	0.0140146	0.0620275	0.171085	0.350985	0.390999
a37	0.00120501	0.000924074	0.00112483	0.00357275	0.0202422	0.124199	0.358189	0.490543
a6	0.000369018	0.000194456	0.000226899	0.00096547	0.00478926	0.0458913	0.266225	0.681339
a36	0.000113525	6.94204e-05	5.40861e-05	0.0002672	0.00147776	0.0193804	0.199827	0.77881
a2	0.00668139	0.00257067	0.00183916	0.00375439	0.00913102	0.0462635	0.192092	0.737668
a57	0.0571985	0.0350555	0.0338331	0.0398976	0.0597515	0.102636	0.190778	0.48085
a10	0.232087	0.16407	0.222535	0.0498061	0.034865	0.0584646	0.0914553	0.146717
a87	0.292509	0.146918	0.210274	0.0726911	0.0471182	0.0547032	0.0771193	0.0986669
a23	0.159782	0.0916995	0.132813	0.100438	0.0823537	0.100939	0.155698	0.176278
a87	0.0185603	0.0140246	0.0268991	0.0259128	0.0267011	0.100291	0.287437	0.500174
a23	0.00414809	0.00289037	0.00627297	0.0125133	0.030789	0.1383	0.332906	0.472181
a87	0.00425299	0.00403238	0.0123278	0.0267633	0.0421844	0.134635	0.300444	0.47536
</S>	0.00543849	0.00428568	0.00990652	0.018097	0.0416284	0.15496	0.323269	0.442415
