 	il	se	promène	dans	le	village	</S>
a87	0.391103	0.230377	0.141327	0.0778132	0.0601332	0.0539647	0.0452812
a79	0.0951716	0.0986488	0.129389	0.159307	0.17952	0.168694	0.169269
a54	0.211575	0.140212	0.100052	0.112303	0.122904	0.144162	0.168793
a92	0.183746	0.146217	0.13863	0.158144	0.141614	0.127928	0.10372
a85	0.412889	0.225049	0.124642	0.0984762	0.0615136	0.0427798	0.0346499
a47	0.374564	0.230334	0.13365	0.10059	0.0683333	0.0497444	0.0427846
a37	0.41538	0.237898	0.128062	0.0770762	0.0523702	0.0449107	0.0443033
a75	0.472311	0.243646	0.11738	0.0661789	0.0393385	0.0319478	0.0291986
a34	0.386886	0.20996	0.132115	0.0887601	0.0687699	0.0588579	0.0546509
a98	0.303034	0.242081	0.1802	0.113536	0.0678164	0.0494195	0.0439135
a85	0.180319	0.149245	0.162114	0.137652	0.124677	0.123072	0.122921
a0	0.182095	0.151209	0.162905	0.140107	0.124075	0.118205	0.121404
a11	0.111824	0.0926664	0.123458	0.152418	0.175221	0.173963	0.170449
a75	0.0558825	0.0506993	0.0828757	0.116668	0.186663	0.24712	0.260091
a79	0.034514	0.0321131	0.0527476	0.0865698	0.157116	0.268521	0.368419
a7	0.0305711	0.0326399	0.0558611	0.0881569	0.160023	0.271769	0.360978
a84	0.00987905	0.0106577	0.0232311	0.0477223	0.122408	0.283819	0.502282
a57	0.00400505	0.00337946	0.00663644	0.011049	0.0441871	0.197031	0.733712
a4	0.00415643	0.00406569	0.00897887	0.0194207	0.0584244	0.207367	0.697587
a13	0.00154332	0.00156311	0.00360319	0.011955	0.0512523	0.228212	0.701871
a3	0.00526261	0.00566602	0.0107206	0.0282863	0.08901	0.270949	0.590105
a87	0.034303	0.029971	0.052584	0.100398	0.173165	0.279681	0.329897
a10	0.070966	0.0643236	0.107466	0.155312	0.192452	0.215443	0.194039
a87	0.0465357	0.0464886	0.106486	0.158062	0.192983	0.226463	0.222981
</S>	0.037522	0.0396147	0.104374	0.159311	0.192677	0.232701	0.2338
