 	tous	les	habitants	d'	ongondza	se	sont	levés	pour	aller	accueillir	le	chef	</S>
a87	0.286975	0.146635	0.135184	0.10471	0.0741866	0.0508483	0.0478066	0.0482992	0.0208849	0.0187668	0.0175064	0.0174919	0.0160905	0.0146153
a97	0.0822591	0.0494273	0.0689212	0.0917539	0.125446	0.0956552	0.0901061	0.122488	0.0507463	0.0504221	0.0501553	0.0430259	0.0407408	0.0388529
a82	0.241668	0.122495	0.105799	0.0617699	0.056846	0.0449336	0.0435423	0.0431888	0.025519	0.0255511	0.0425409	0.0407172	0.0580283	0.0874019
a3	0.292017	0.149695	0.118386	0.0637956	0.0452797	0.0411819	0.0438626	0.0339185	0.0227669	0.0238671	0.0357408	0.0374934	0.0415695	0.0504252
a97	0.265125	0.123159	0.0748738	0.0527008	0.0444994	0.0447531	0.0496691	0.0404407	0.0256085	0.0256385	0.0477784	0.0590754	0.0697751	0.0769032
a13	0.171466	0.0893669	0.0577269	0.0503079	0.0504186	0.0579187	0.0665346	0.0566938	0.0349593	0.0336439	0.0649924	0.0805428	0.0902524	0.0951761
a99	0.158465	0.0741487	0.0402118	0.0361974	0.0283618	0.0464472	0.0601721	0.0416942	0.0313179	0.0337215	0.0753066	0.102053	0.123358	0.148545
a93	0.215149	0.0885885	0.0443077	0.0290074	0.0257415	0.0300402	0.0394439	0.0267179	0.0218394	0.0259021	0.0474267	0.0753642	0.124307	0.206164
a34	0.252671	0.125568	0.0877709	0.0497717	0.05088	0.0435507	0.0451864	0.02966	0.0246095	0.0234136	0.0315215	0.045629	0.0716438	0.118125
a93	0.189588	0.145676	0.135143	0.0706162	0.0768919	0.0541503	0.0540602	0.0399136	0.0314308	0.0271227	0.0284952	0.0354302	0.045022	0.0664598
a70	0.119879	0.129824	0.157464	0.083113	0.0965332	0.0630346	0.0629089	0.0501125	0.0360056	0.0306419	0.0294139	0.035323	0.0446593	0.0610872
a93	0.15076	0.156621	0.184734	0.0899107	0.0984745	0.0548846	0.0534003	0.0437062	0.0285869	0.0235301	0.0208763	0.0238698	0.0298573	0.040789
a70	0.120893	0.127252	0.170144	0.0867283	0.0966379	0.0579012	0.0554126	0.050049	0.0345118	0.0298453	0.0272574	0.0314689	0.044526	0.0673733
a53	0.100135	0.118427	0.168666	0.0906651	0.10117	0.0613375	0.0615146	0.0560098	0.0359137	0.0325703	0.0301024	0.0338499	0.04602	0.0636192
a15	0.0688766	0.0877025	0.115789	0.0714409	0.083216	0.0622849	0.0630215	0.0652669	0.0481716	0.0448897	0.0407835	0.0493375	0.0766056	0.122614
a79	0.0587537	0.0863204	0.104339	0.0663581	0.0771132	0.0676421	0.0674277	0.0771497	0.0639927	0.0611106	0.0498683	0.0526544	0.0689837	0.0982863
a44	0.0637376	0.0986978	0.118183	0.0729344	0.0719151	0.0641296	0.0621789	0.0760823	0.0665503	0.063389	0.048319	0.0491286	0.0593032	0.0854508
a43	0.0483056	0.0817581	0.137935	0.0828728	0.0796136	0.0644936	0.0662518	0.0685618	0.0517651	0.0488323	0.0441414	0.0493944	0.0697636	0.106311
a79	0.0387533	0.0648259	0.134947	0.0868333	0.0943348	0.0653418	0.0680743	0.0666751	0.0438612	0.0407872	0.0380611	0.0459499	0.0758902	0.135665
a44	0.0428143	0.0667315	0.122235	0.0818364	0.0824511	0.0662892	0.0632436	0.0739494	0.0681957	0.0675364	0.0524716	0.0491169	0.0636485	0.09948
a93	0.0265113	0.0458627	0.121291	0.0917762	0.103572	0.0758891	0.0826693	0.075657	0.0494089	0.0459371	0.042091	0.048621	0.0732423	0.117471
a70	0.0204327	0.0358354	0.100142	0.0798638	0.0964995	0.0742788	0.0823912	0.0780676	0.054426	0.0527912	0.0463184	0.0536542	0.0844159	0.140884
a83	0.0153393	0.0262778	0.079962	0.0742032	0.109982	0.0886035	0.104662	0.09683	0.0632709	0.0593217	0.0480358	0.0516989	0.0713603	0.110453
a11	0.017979	0.0286099	0.0805285	0.0743799	0.112717	0.089099	0.10644	0.0977006	0.0667849	0.0640043	0.0496488	0.0504765	0.0649634	0.096669
