 	il	lance	les	cailloux	sur	le	toit	de	la	maison	</S>
a66	0.22713	0.243545	0.216401	0.154429	0.0567937	0.0345138	0.0211426	0.0143413	0.0112662	0.0104534	0.00998368
a87	0.521045	0.241589	0.101309	0.0323595	0.0106804	0.00913445	0.0109975	0.0108212	0.0150914	0.0214485	0.0255243
a23	0.560681	0.192074	0.0982631	0.0357897	0.0159329	0.0100389	0.00929615	0.00958536	0.0143009	0.0215735	0.0324649
a79	0.33053	0.12448	0.0605443	0.0271834	0.0204744	0.0210626	0.0365316	0.0557579	0.0749253	0.104181	0.144329
a54	0.131963	0.0727028	0.0684758	0.0782472	0.0823374	0.0667953	0.0764304	0.0865526	0.0895934	0.113032	0.133871
a92	0.144573	0.132136	0.185292	0.164598	0.115942	0.0719131	0.0580678	0.0419445	0.0292635	0.0295645	0.026706
a85	0.100187	0.0833503	0.132724	0.139469	0.13116	0.0853636	0.0914066	0.071899	0.0530046	0.0540841	0.0573515
a47	0.0687274	0.0757053	0.158244	0.182727	0.192574	0.115859	0.0623263	0.0465031	0.0299579	0.0306089	0.0367656
a37	0.0528313	0.0562274	0.0972801	0.108708	0.195345	0.130219	0.0966699	0.0804219	0.0561644	0.0570835	0.0690495
a47	0.0882879	0.0978341	0.138761	0.149559	0.174901	0.1019	0.0595525	0.0519394	0.0422938	0.0431732	0.0517988
a36	0.0472053	0.0585574	0.0955561	0.142433	0.215622	0.125886	0.0727015	0.0632395	0.0529598	0.0554143	0.0704255
a37	0.0254186	0.0265338	0.0354872	0.0691895	0.192652	0.152964	0.109336	0.103864	0.0918132	0.0906754	0.102066
a79	0.0242413	0.0277743	0.0397955	0.0702414	0.186191	0.157275	0.103336	0.108938	0.0943625	0.0898006	0.098044
a56	0.00690522	0.00807277	0.0131193	0.0296072	0.089374	0.104884	0.123161	0.170717	0.152018	0.143635	0.158506
a54	0.015334	0.0182033	0.0291699	0.055705	0.0992464	0.119259	0.124664	0.147686	0.134046	0.123188	0.133498
a92	0.00197993	0.00254685	0.00421367	0.00980934	0.0367125	0.0666154	0.1217	0.190153	0.19565	0.179584	0.191036
a37	0.0010571	0.0013468	0.00240219	0.00620838	0.0243213	0.0533817	0.137309	0.206742	0.205799	0.177337	0.184097
a85	0.00283898	0.00385729	0.00640924	0.010889	0.0310049	0.0549737	0.125991	0.209001	0.205223	0.168947	0.180866
a37	0.000267161	0.000342291	0.000630717	0.00154267	0.00858443	0.0206805	0.083931	0.167201	0.225104	0.224365	0.267351
a47	0.000963182	0.00129457	0.00249113	0.00457151	0.0145593	0.0291816	0.0749351	0.167111	0.237231	0.222227	0.245435
a88	0.000422462	0.000563569	0.00106096	0.00210045	0.0107123	0.0230207	0.0585075	0.133133	0.222886	0.241175	0.306419
a71	0.000783588	0.000977176	0.00173812	0.0029587	0.0117491	0.0219088	0.0477399	0.0963654	0.188945	0.25575	0.371084
a9	0.00286846	0.00305469	0.00524101	0.00729064	0.0204191	0.0397795	0.0691844	0.105142	0.174021	0.231917	0.341082
a99	0.0681239	0.0468244	0.0556116	0.0665018	0.108458	0.117307	0.0929747	0.0892431	0.0997706	0.109477	0.145709
a87	0.0733129	0.0392402	0.0372205	0.0439062	0.0678582	0.0760302	0.0789252	0.0941539	0.132601	0.158559	0.198193
a23	0.18869	0.0874994	0.0563406	0.0440441	0.0390193	0.0369899	0.0453659	0.0607629	0.0953834	0.132053	0.213851
a87	0.0722464	0.0298529	0.0235807	0.0235629	0.0246843	0.0231696	0.0345751	0.0694879	0.123844	0.199486	0.375511
</S>	0.00843344	0.00345626	0.00325077	0.00392372	0.00890923	0.0131995	0.0322022	0.0791516	0.14635	0.234232	0.466891
