 	tous	les	biens	du	défunt	sont	hérités	par	son	épouse	</S>
a66	0.219815	0.2012	0.171792	0.144264	0.117842	0.0747911	0.0315087	0.0187887	0.00943051	0.00535367	0.00521481
a87	0.223954	0.199269	0.15175	0.11056	0.0848605	0.0872097	0.0790916	0.0301229	0.0147181	0.00953858	0.00892587
a23	0.326413	0.207719	0.156366	0.123498	0.0977491	0.0401006	0.0154418	0.00859873	0.00729232	0.00703447	0.00978602
a13	0.286921	0.197562	0.186842	0.103006	0.116541	0.0562229	0.025028	0.00728952	0.00509964	0.00593403	0.00955424
a57	0.197907	0.176444	0.154751	0.123757	0.16432	0.092766	0.0411037	0.0117805	0.00922868	0.0115878	0.0163547
a44	0.203397	0.22792	0.220554	0.131874	0.134639	0.0564374	0.0148802	0.00370341	0.00229762	0.00197421	0.00232276
a4	0.277616	0.244314	0.233489	0.110918	0.0732707	0.0338774	0.0136688	0.00354899	0.0026277	0.00317683	0.00349263
a13	0.150481	0.163913	0.177504	0.136811	0.147862	0.114788	0.067212	0.0168119	0.00932367	0.00795849	0.00733612
a53	0.116121	0.124091	0.160119	0.132646	0.144836	0.129188	0.104269	0.0405838	0.0199812	0.0143557	0.0138086
a56	0.100569	0.0927461	0.120268	0.111865	0.144729	0.165097	0.132222	0.0563817	0.0308705	0.0231262	0.0221256
a21	0.095371	0.0825979	0.0920615	0.102298	0.138852	0.181031	0.173296	0.0681069	0.027869	0.0192468	0.0192704
a47	0.0780751	0.0649464	0.0690623	0.0776842	0.104259	0.156214	0.214003	0.115193	0.0548961	0.0340516	0.0316152
a88	0.0608851	0.0659567	0.0723755	0.0854395	0.116869	0.149833	0.180713	0.130696	0.0648204	0.0389568	0.0334545
a31	0.0373901	0.047613	0.0425062	0.0789813	0.110231	0.151715	0.209291	0.180841	0.073729	0.0346576	0.033044
a88	0.033769	0.0412034	0.03419	0.0758422	0.12653	0.16167	0.217519	0.167854	0.0750878	0.0351266	0.0312081
a9	0.041153	0.0484896	0.0418968	0.0870806	0.164574	0.179108	0.142148	0.118968	0.0711432	0.0476086	0.0578299
a24	0.0412685	0.0490851	0.0453829	0.0723388	0.108142	0.11853	0.108836	0.140419	0.115201	0.106911	0.093886
a31	0.04892	0.0420673	0.0353888	0.0430272	0.0566901	0.0614248	0.0761932	0.15326	0.165531	0.171718	0.145779
a88	0.0270313	0.0234709	0.0199107	0.0295231	0.055735	0.0674156	0.0742103	0.138365	0.180808	0.185702	0.197827
a32	0.0318894	0.031537	0.0233202	0.0318305	0.050453	0.0538882	0.056698	0.104507	0.161361	0.222303	0.232213
a94	0.0426751	0.0426406	0.0326242	0.0424106	0.0547194	0.0554799	0.0569069	0.108759	0.156497	0.205839	0.201448
a56	0.0088324	0.00763603	0.00530722	0.00736614	0.0164657	0.0219934	0.0213781	0.0409683	0.109326	0.316667	0.444061
a25	0.00526866	0.00420969	0.00311513	0.00428345	0.00961037	0.0127804	0.013567	0.0322185	0.109529	0.325557	0.479861
a79	0.00252691	0.00279403	0.00228358	0.00381357	0.00845209	0.008989	0.0073529	0.0158886	0.0675343	0.27498	0.605384
a92	0.00222859	0.00194432	0.00154185	0.00203434	0.00478936	0.00593556	0.00568725	0.0194805	0.0651746	0.245065	0.646119
a6	0.00147311	0.00139542	0.00150119	0.00180129	0.0035143	0.00321937	0.00420833	0.0212306	0.0672688	0.243526	0.650862
a0	0.00181002	0.00162908	0.00140532	0.00192913	0.00386764	0.00367932	0.00422903	0.0158928	0.0510286	0.208694	0.705834
a11	0.00121257	0.00101615	0.000701107	0.000952582	0.00157945	0.00163338	0.00171918	0.00889718	0.0533775	0.233828	0.695083
a38	0.00929706	0.00829544	0.00578368	0.00655321	0.00687508	0.00500707	0.004328	0.020477	0.0800915	0.257255	0.596037
a10	0.0522612	0.0423216	0.0316561	0.03059	0.027178	0.0162789	0.0138525	0.0389015	0.0852772	0.22205	0.439633
a87	0.179256	0.16723	0.129821	0.0979255	0.0630237	0.0392547	0.0257318	0.0410709	0.054188	0.0864346	0.116064
a23	0.16708	0.147822	0.125346	0.108574	0.0840919	0.0603202	0.0390425	0.0574969	0.0653395	0.0742171	0.0706688
a87	0.0579357	0.0442473	0.0277408	0.0275824	0.0251955	0.0298391	0.0217	0.0425452	0.096812	0.19761	0.428792
a23	0.0119155	0.00776	0.00495641	0.00515526	0.00510199	0.00751804	0.0090919	0.0288115	0.085075	0.230401	0.604214
a87	0.0131161	0.0112954	0.0089339	0.011707	0.0136325	0.0212045	0.0207588	0.0543819	0.106867	0.216747	0.521356
a23	0.00686198	0.00494875	0.00392668	0.00452286	0.00434868	0.00624235	0.00846204	0.0334135	0.0992789	0.253483	0.574511
a87	0.01097	0.0101597	0.00876134	0.0110269	0.0122287	0.0164379	0.0153901	0.0473987	0.103297	0.223844	0.540486
a23	0.011839	0.0106582	0.00787741	0.00799891	0.00670224	0.00758055	0.00875731	0.0307105	0.0840588	0.23401	0.589807
a97	0.0125329	0.0110307	0.0086099	0.00985033	0.00978036	0.0106013	0.0100364	0.0331228	0.0879005	0.21794	0.588595
</S>	0.0287365	0.0262009	0.0218897	0.0212629	0.0189285	0.0168458	0.0160861	0.0366056	0.0734907	0.18668	0.553273
