 	ton	enfant-ci	souffre	de	la	rougeole	il	risque	de	contaminer	les	autres	</S>
a66	0.243745	0.260016	0.13282	0.104493	0.0550866	0.0411751	0.0301114	0.038256	0.0392193	0.0264606	0.0121247	0.00839878	0.00809268
a87	0.360964	0.174907	0.0577985	0.0351173	0.0329828	0.0273496	0.0340016	0.0407391	0.0416637	0.0499234	0.0544799	0.0436393	0.0464344
a23	0.388166	0.176913	0.117831	0.0754487	0.0490713	0.0416756	0.0262251	0.0214359	0.0165705	0.0134753	0.0167706	0.0237299	0.0326866
a99	0.307307	0.125949	0.103335	0.0761941	0.0727751	0.0575673	0.0357633	0.0289541	0.0276103	0.0279645	0.0391924	0.0433362	0.0540529
a54	0.246645	0.167495	0.136366	0.102307	0.0565484	0.0454334	0.0233753	0.0199243	0.0236451	0.0287256	0.0389285	0.0475148	0.0630919
a37	0.272735	0.159995	0.096901	0.0932396	0.0740717	0.0666499	0.0377206	0.0254433	0.0249272	0.0253729	0.0372627	0.0415953	0.044086
a6	0.234127	0.196125	0.122002	0.113979	0.066117	0.0446952	0.0283673	0.0191886	0.0192604	0.0242018	0.0427158	0.0416639	0.0475569
a37	0.133779	0.137031	0.119696	0.128101	0.0884082	0.0636389	0.0462273	0.0323848	0.0299483	0.0376589	0.0609553	0.0566468	0.065524
a44	0.0917586	0.104337	0.141104	0.165367	0.125266	0.0939491	0.063252	0.0466057	0.038534	0.0432071	0.0337612	0.0254269	0.0274317
a90	0.0798118	0.0903654	0.12494	0.156032	0.132413	0.108368	0.0724227	0.0586104	0.0425019	0.0439656	0.0303456	0.0273498	0.0328738
a92	0.0662863	0.0799524	0.115284	0.141702	0.130179	0.115332	0.0885227	0.0583315	0.0421686	0.0416074	0.0360476	0.0373884	0.0471995
a47	0.0389009	0.0534796	0.0881707	0.111695	0.124676	0.127389	0.121717	0.0760612	0.0594204	0.0595515	0.0453765	0.0425754	0.0509859
a7	0.0416793	0.0567712	0.0895266	0.118767	0.130062	0.127822	0.14066	0.0784822	0.0531104	0.0386729	0.0334311	0.0384974	0.052519
a44	0.0431199	0.0762054	0.125724	0.150813	0.142405	0.137479	0.117387	0.0629917	0.0435529	0.0236895	0.0184342	0.0234191	0.0347784
a56	0.0202505	0.0333014	0.0662282	0.103708	0.127779	0.157109	0.150563	0.101122	0.0734728	0.0473483	0.0290307	0.037549	0.0525378
a70	0.0137293	0.0223003	0.0490125	0.0913785	0.129659	0.165822	0.154124	0.121457	0.0901324	0.0588267	0.0321482	0.0324645	0.0389453
a62	0.00899325	0.0162371	0.039475	0.0738214	0.12392	0.17181	0.187976	0.147478	0.105242	0.0529095	0.0210361	0.0212925	0.0298092
a83	0.00897929	0.0135742	0.0296386	0.0715275	0.12124	0.163827	0.166899	0.165785	0.120244	0.0625212	0.028267	0.0221491	0.0253475
a9	0.00793419	0.0126376	0.0261004	0.0602363	0.115683	0.167619	0.172063	0.171147	0.124416	0.0683692	0.0254403	0.0209326	0.0274222
a99	0.0150311	0.0253593	0.0432815	0.0680361	0.108753	0.151209	0.154145	0.175268	0.128486	0.0708987	0.0209745	0.0163927	0.0221645
a87	0.0158395	0.0216216	0.0339717	0.0502695	0.0827177	0.132712	0.144266	0.199148	0.161304	0.0832842	0.0266272	0.0202688	0.0279703
a23	0.0272058	0.0308409	0.0435457	0.0509186	0.0614873	0.0871934	0.143261	0.145748	0.140714	0.103524	0.0631412	0.0470402	0.0553792
a83	0.0190034	0.0185981	0.0238479	0.0268501	0.0399867	0.0538292	0.0830374	0.073425	0.0762059	0.0934333	0.133041	0.145092	0.21365
a44	0.00253871	0.00467234	0.012601	0.0148959	0.0237133	0.0292113	0.0459453	0.040154	0.0568186	0.0868324	0.144694	0.221995	0.315928
a96	0.00240322	0.00401904	0.00991175	0.014752	0.0243347	0.0316781	0.0422941	0.0501643	0.0681953	0.0928489	0.131499	0.214273	0.313627
