 	quand	elle	danse	sa	poitrine	ballotte	</S>
a10	0.241193	0.155243	0.110202	0.106988	0.161638	0.121267	0.103469
a87	0.15557	0.104225	0.11143	0.103787	0.163077	0.212459	0.149452
a79	0.114122	0.0859423	0.0944548	0.0913433	0.142128	0.22746	0.24455
a41	0.206534	0.156407	0.111022	0.0991865	0.104154	0.155777	0.16692
a18	0.285945	0.24504	0.166835	0.109733	0.0667943	0.0650201	0.0606319
a62	0.271658	0.204765	0.153319	0.0908348	0.0796506	0.0974969	0.102276
a98	0.263732	0.196846	0.183908	0.117922	0.0783803	0.0812966	0.0779152
a75	0.210516	0.182861	0.201387	0.151207	0.0889691	0.086713	0.0783478
a14	0.134905	0.141968	0.181085	0.175759	0.121729	0.130892	0.113662
a73	0.108465	0.125867	0.181462	0.20263	0.137101	0.141526	0.102949
a76	0.104443	0.138484	0.144429	0.197404	0.136827	0.150295	0.128117
a20	0.0935627	0.111246	0.130323	0.186972	0.165034	0.180842	0.13202
a84	0.0618848	0.0844301	0.116941	0.213076	0.18495	0.197424	0.141294
a82	0.0491732	0.0684968	0.0773717	0.160551	0.18358	0.261629	0.199199
a87	0.0379968	0.0580858	0.0589513	0.131757	0.182349	0.281031	0.249829
a23	0.0533544	0.0643805	0.0596118	0.0950807	0.156305	0.284206	0.287062
a53	0.0633394	0.0645204	0.0616489	0.092515	0.137115	0.30187	0.278991
a90	0.0831934	0.076766	0.0692531	0.10351	0.157632	0.253312	0.256333
a96	0.0379318	0.0418137	0.051388	0.0939827	0.173343	0.296633	0.304908
a24	0.0187291	0.0195017	0.0240689	0.0458922	0.127674	0.331921	0.432212
a41	0.011276	0.0124311	0.0149573	0.0284287	0.107129	0.322772	0.503006
a12	0.0138132	0.0163658	0.0187665	0.0378073	0.127014	0.305661	0.480573
a98	0.00998899	0.0115296	0.0126898	0.0267097	0.107761	0.306932	0.524389
a71	0.0114828	0.0136152	0.0140922	0.0285057	0.110537	0.314869	0.506897
a38	0.0104195	0.0110084	0.0101389	0.0189832	0.0874229	0.285411	0.576616
a31	0.0121449	0.0102932	0.00847865	0.0154169	0.100665	0.312863	0.540139
a98	0.0113036	0.0104904	0.00988056	0.0167512	0.0928675	0.31296	0.545747
a75	0.0120684	0.00976969	0.00963577	0.0167673	0.104187	0.326269	0.521303
a14	0.00898041	0.00841139	0.00925195	0.0167377	0.101321	0.327304	0.527994
a44	0.0107102	0.0101333	0.0109578	0.0190493	0.0866234	0.295444	0.567082
a26	0.00800545	0.00788172	0.00787971	0.0151834	0.0756787	0.273702	0.611669
a82	0.011778	0.00892747	0.00948085	0.0160188	0.102761	0.339437	0.511598
a87	0.0148471	0.0132158	0.0118924	0.017186	0.10252	0.348325	0.492014
</S>	0.016101	0.0147218	0.0160136	0.0225582	0.136306	0.326964	0.467335
