 	va	jusqu'	à	la	prochaine	bifurcation	et	prends	à	gauche	</S>
a23	0.119897	0.0785718	0.0970715	0.147169	0.129534	0.229493	0.0605844	0.0490266	0.0266002	0.0207491	0.0413044
a87	0.175316	0.129712	0.119764	0.134785	0.108735	0.116109	0.0438898	0.0259018	0.0263345	0.0384644	0.0809891
a23	0.133591	0.135118	0.136545	0.135347	0.103586	0.11987	0.0714978	0.0323104	0.0335807	0.0363715	0.0621833
a99	0.206232	0.207003	0.201931	0.128977	0.0743113	0.0728875	0.0248768	0.0126468	0.0163433	0.0190979	0.0356938
a10	0.395411	0.228128	0.154327	0.0854298	0.0516746	0.0468423	0.0112232	0.00545678	0.00523251	0.00622636	0.0100483
a38	0.414975	0.218923	0.141154	0.0837268	0.0531298	0.0484849	0.0139946	0.00679851	0.00562726	0.00564365	0.00754264
a53	0.37032	0.209254	0.139576	0.0900926	0.0632794	0.0663466	0.0243427	0.012826	0.00989573	0.0073269	0.00673964
a20	0.216477	0.192996	0.15516	0.118035	0.0888971	0.0990703	0.0563891	0.0330933	0.0204587	0.0106861	0.00873695
a2	0.140882	0.157756	0.154277	0.133021	0.103181	0.118918	0.0824208	0.0529545	0.0313589	0.0142137	0.0110182
a57	0.0889496	0.0937477	0.136377	0.162728	0.140519	0.152444	0.0874022	0.050425	0.0348373	0.0252563	0.0273139
a38	0.0709575	0.0809805	0.108135	0.148321	0.147895	0.1625	0.0949201	0.0562199	0.0432376	0.0389751	0.047858
a24	0.0946589	0.105113	0.13973	0.154578	0.134191	0.161787	0.10095	0.0559286	0.0313913	0.0121079	0.0095645
a41	0.0775782	0.120505	0.158829	0.160747	0.124511	0.173489	0.0944958	0.0493446	0.0244935	0.00864737	0.00735938
a18	0.0653025	0.118773	0.179535	0.168585	0.118232	0.171127	0.0767716	0.0448025	0.0293378	0.0137078	0.0138266
a25	0.0317884	0.0564649	0.133331	0.189398	0.155289	0.201324	0.106179	0.0601499	0.0363475	0.0146387	0.0150896
a87	0.0233865	0.0382815	0.092465	0.176992	0.157214	0.213923	0.118633	0.0744908	0.0543858	0.0244887	0.0257395
a23	0.0380415	0.0416626	0.0730166	0.133548	0.153712	0.162495	0.0996549	0.0725433	0.0715955	0.0602828	0.0934487
a24	0.0521069	0.0478048	0.0719501	0.121347	0.133551	0.138058	0.100809	0.0713565	0.0782455	0.0801924	0.104579
a71	0.050061	0.0558194	0.10238	0.142873	0.14199	0.166482	0.121011	0.0787321	0.0678228	0.0377316	0.0350975
a9	0.0377429	0.0462447	0.0899603	0.139938	0.139474	0.160398	0.130104	0.0883911	0.0768372	0.0462818	0.0446279
a38	0.03105	0.030739	0.0538225	0.1105	0.12834	0.136199	0.114415	0.0911817	0.0961217	0.0928282	0.114802
a94	0.0274025	0.0282632	0.0558734	0.114632	0.132957	0.149252	0.122211	0.0849332	0.0926223	0.0892984	0.102555
a98	0.0389256	0.0468213	0.0959023	0.139638	0.132266	0.178377	0.120686	0.0764133	0.0668825	0.0485602	0.0555279
a24	0.0230018	0.0242859	0.0587975	0.126417	0.129574	0.196678	0.123888	0.0774101	0.0712672	0.0637463	0.104934
a98	0.0145895	0.0197894	0.0519321	0.105147	0.109188	0.167565	0.114197	0.0814459	0.0947056	0.0957547	0.145685
a75	0.0260101	0.027936	0.0578382	0.103502	0.110225	0.177656	0.112692	0.0767646	0.0808288	0.0833804	0.143166
