 	je	lui	ai	donné	une	poulette	</S>
a66	0.323591	0.252853	0.167891	0.137185	0.0823854	0.023364	0.0127315
a87	0.403787	0.204615	0.139127	0.102474	0.0915596	0.0386303	0.0198076
a23	0.473794	0.242583	0.136566	0.0617943	0.039502	0.0259084	0.0198524
a99	0.50084	0.224618	0.1123	0.066897	0.0369257	0.0321207	0.0262981
a88	0.462598	0.223515	0.127108	0.0792146	0.0418341	0.036188	0.0295419
a71	0.40519	0.250154	0.137715	0.100004	0.05481	0.0316755	0.0204517
a75	0.36663	0.226626	0.155741	0.122055	0.0694821	0.0366485	0.0228177
a21	0.337562	0.217302	0.162027	0.119228	0.0803557	0.047911	0.0356141
a56	0.218198	0.19799	0.222492	0.186138	0.0940396	0.0426931	0.0384492
a90	0.162092	0.189943	0.240491	0.220178	0.102979	0.0425891	0.0417268
a93	0.111092	0.162574	0.231048	0.239449	0.137539	0.059456	0.0588414
a4	0.123135	0.169921	0.222818	0.24012	0.131244	0.0540048	0.0587577
a13	0.091796	0.156221	0.209927	0.234963	0.15259	0.0719675	0.0825351
a38	0.0370864	0.0722155	0.11159	0.204123	0.198688	0.158762	0.217534
a70	0.0311935	0.0627134	0.101881	0.206491	0.226378	0.183275	0.188068
a96	0.0237856	0.0348279	0.0577429	0.125294	0.223476	0.250192	0.284681
a70	0.0118331	0.0190675	0.0340304	0.0822023	0.191527	0.307927	0.353413
a90	0.00549454	0.00912262	0.0141888	0.0462839	0.150291	0.325656	0.448963
a79	0.00499617	0.0085313	0.0149813	0.0402036	0.11656	0.310633	0.504095
a54	0.00266539	0.00437876	0.00741514	0.0230525	0.0811103	0.282798	0.59858
a79	0.000975014	0.00143279	0.00237042	0.00815639	0.0360732	0.251788	0.699204
a36	0.000748315	0.000977797	0.00148274	0.00513176	0.0228611	0.220299	0.7485
a96	0.000682813	0.00064149	0.000732254	0.00180486	0.0112212	0.197464	0.787454
a0	0.000678559	0.000686856	0.00092203	0.00240625	0.0139341	0.207284	0.774089
a66	0.00165812	0.00175427	0.00238112	0.00514855	0.0211303	0.226601	0.741327
a9	0.0227235	0.0207897	0.0199634	0.0272151	0.0608811	0.276052	0.572375
a87	0.0961373	0.0667228	0.0421773	0.0365766	0.0672112	0.238387	0.452788
a23	0.227244	0.171798	0.122133	0.089324	0.107806	0.146387	0.135308
a99	0.084471	0.0432718	0.0381109	0.0251323	0.0499586	0.267344	0.491712
a97	0.0433125	0.0249589	0.0278536	0.0284386	0.0599524	0.236708	0.578776
</S>	0.0309515	0.0236012	0.0296139	0.0286097	0.050576	0.222205	0.614442
