 	j'	ai	acheté	deux	paquets	de	morelle	</S>
a87	0.232969	0.192579	0.180057	0.222564	0.0778618	0.0474464	0.0268288	0.0196945
a10	0.225998	0.166759	0.123933	0.0938185	0.0605856	0.077426	0.134153	0.117327
a87	0.387312	0.297485	0.147592	0.0636515	0.025446	0.0284524	0.0267653	0.0232956
a23	0.355309	0.287909	0.159427	0.0771941	0.0343309	0.0348775	0.0257512	0.0252013
a83	0.260909	0.259979	0.192945	0.0869316	0.0671704	0.0686118	0.0361059	0.0273471
a62	0.395517	0.31434	0.18408	0.0533787	0.0193346	0.0165261	0.0087308	0.00809331
a47	0.415345	0.362382	0.169647	0.0308481	0.0076654	0.00746158	0.0035735	0.00307796
a0	0.330937	0.356617	0.213701	0.0610938	0.0144443	0.0108198	0.00621639	0.00617006
a75	0.290424	0.310394	0.214259	0.105172	0.0278355	0.019488	0.015903	0.0165244
a25	0.33866	0.336727	0.182376	0.062212	0.024692	0.0211927	0.0175167	0.0166239
a44	0.145714	0.211098	0.247117	0.211069	0.0646123	0.0427002	0.040411	0.037279
a98	0.0617448	0.0910477	0.179855	0.266814	0.131556	0.0853485	0.089707	0.0939273
a44	0.0730626	0.0784019	0.116985	0.15984	0.155343	0.132451	0.148002	0.135915
a58	0.0503106	0.0523312	0.0771111	0.188604	0.222782	0.129904	0.140598	0.138358
a76	0.0153594	0.0167953	0.0288235	0.113929	0.267676	0.174181	0.184519	0.198718
a20	0.0110982	0.0107073	0.0152636	0.0731266	0.185662	0.178211	0.26058	0.265351
a47	0.00731294	0.00775975	0.00959614	0.0439502	0.213644	0.167846	0.258562	0.291329
a37	0.00508381	0.00482361	0.00530804	0.021582	0.204255	0.190393	0.2837	0.284855
a66	0.00156908	0.00110591	0.00102741	0.00439192	0.0967342	0.13811	0.326278	0.430784
a61	0.00048229	0.000470226	0.00052483	0.00285153	0.0633641	0.107649	0.323513	0.501146
a47	0.000217629	0.000179378	0.000273055	0.00216339	0.0517079	0.0958333	0.330397	0.519228
a75	0.000120123	0.000106885	0.000134188	0.000926717	0.0321637	0.0744503	0.326442	0.565656
a85	0.00025377	0.000219505	0.000346531	0.00259418	0.0674874	0.1182	0.316689	0.49421
a73	0.000513618	0.000448055	0.000743497	0.0052314	0.0790641	0.124185	0.303898	0.485916
a26	0.000124352	9.50804e-05	0.000131522	0.000953713	0.0450976	0.0914688	0.328176	0.533953
a54	9.90555e-05	0.000102484	0.000139966	0.000883894	0.0280559	0.0686144	0.297996	0.604109
a36	0.00022468	0.000278615	0.000437345	0.0029554	0.0602516	0.0884538	0.26726	0.580139
a57	0.000127418	0.000130471	0.000166691	0.00101025	0.0358426	0.0826849	0.289373	0.590665
a87	0.0080134	0.00722692	0.00628186	0.0124142	0.0764026	0.144615	0.279967	0.465079
a23	0.028154	0.0270827	0.0226908	0.0491596	0.127905	0.190721	0.265914	0.288373
a87	0.019283	0.0153614	0.0102763	0.0283531	0.107732	0.145078	0.259736	0.41418
a23	0.0095965	0.0104961	0.00960446	0.0230492	0.0549707	0.0976052	0.268211	0.526467
a99	0.013392	0.0140624	0.0127071	0.0327041	0.0781794	0.0995291	0.236773	0.512653
a87	0.011384	0.0117855	0.0105467	0.0206227	0.0520477	0.0770911	0.232337	0.584185
</S>	0.00644978	0.0070666	0.0074791	0.0169894	0.0459637	0.0830317	0.261746	0.571274
