 	il	bascula	en	arrière	</S>
a23	0.746865	0.126203	0.0298345	0.0402395	0.0568585
a85	0.608049	0.14497	0.0669903	0.0718205	0.10817
a87	0.461572	0.160127	0.0824873	0.0991826	0.196631
a23	0.451008	0.1923	0.0896737	0.0963702	0.170648
a20	0.18475	0.0580537	0.0765109	0.196281	0.484404
a58	0.327661	0.256826	0.165563	0.131511	0.118439
a53	0.374605	0.336108	0.186788	0.0654711	0.037028
a76	0.312268	0.328422	0.195016	0.0909047	0.073388
a94	0.244807	0.319253	0.241893	0.108294	0.0857529
a76	0.143346	0.256728	0.311722	0.16393	0.124274
a94	0.139566	0.234186	0.297141	0.187132	0.141975
a53	0.0983309	0.151014	0.254341	0.245104	0.25121
a69	0.106673	0.169694	0.261055	0.231473	0.231106
a58	0.0561548	0.0815275	0.214449	0.281047	0.366821
a82	0.0173748	0.025641	0.118399	0.278187	0.560399
a87	0.0057892	0.00689013	0.0514567	0.220103	0.715761
</S>	0.00173123	0.00330372	0.0454411	0.231525	0.717999
