 	la	lèpre	coupe	les	doigts	</S>
a66	0.701701	0.203755	0.038562	0.0202888	0.0165223	0.0191706
a87	0.676392	0.178877	0.0468454	0.0276679	0.0389	0.031317
a23	0.551403	0.277539	0.0674074	0.0339032	0.0350265	0.0347209
a97	0.641094	0.221527	0.0276688	0.0194829	0.0335592	0.0566677
a87	0.568989	0.286465	0.0696315	0.0277338	0.025378	0.0218032
a23	0.620212	0.2437	0.0572032	0.0218651	0.0270873	0.0299327
a83	0.594102	0.175026	0.0440223	0.0396483	0.0624821	0.0847189
a71	0.557136	0.313598	0.0477703	0.0311149	0.0263966	0.0239847
a62	0.327625	0.368953	0.160419	0.0692338	0.042583	0.0311863
a21	0.264753	0.476543	0.17544	0.0447743	0.0220277	0.0164619
a12	0.0995523	0.39444	0.321457	0.0996274	0.0489267	0.035996
a47	0.0732224	0.294737	0.371927	0.134654	0.0704758	0.0549834
a88	0.108842	0.299427	0.281945	0.138457	0.0878693	0.08346
a31	0.0371519	0.184553	0.387275	0.192071	0.107061	0.0918876
a47	0.0246742	0.119092	0.286869	0.232181	0.171189	0.165995
a21	0.0143248	0.0447706	0.192028	0.264755	0.223138	0.260983
a47	0.00641586	0.0120205	0.0968474	0.280221	0.284348	0.320147
a31	0.0041253	0.0103684	0.0545741	0.225301	0.29664	0.408991
a0	0.000953046	0.00391989	0.0304808	0.177182	0.300921	0.486544
a75	0.00134366	0.00357894	0.015876	0.0907454	0.235819	0.652637
a5	0.000163015	0.000589492	0.00800723	0.0657529	0.222921	0.702567
a36	0.000294233	0.00106676	0.013329	0.0864132	0.224038	0.674859
a27	0.000710849	0.00193171	0.00650522	0.0440443	0.181327	0.765481
a84	0.028293	0.0317384	0.0379807	0.103054	0.234358	0.564576
a87	0.150566	0.0782802	0.0719377	0.127592	0.199022	0.372602
a23	0.332289	0.110372	0.0892141	0.125386	0.14441	0.198329
a97	0.0275722	0.013338	0.0127794	0.0839368	0.276386	0.585988
</S>	0.00384451	0.00287514	0.0108283	0.0810757	0.24561	0.655766
