 	garde-	toi	d'	attraper	le	silure	par	la	queue	de	peur	qu'	il	ne	te	pique	</S>
a66	0.102695	0.0686338	0.0477663	0.0403998	0.0686617	0.0898116	0.125321	0.147028	0.116707	0.058057	0.0560739	0.0350936	0.019155	0.00954232	0.0059679	0.00478763	0.00429747
a87	0.164518	0.0737059	0.0586919	0.0563585	0.0482351	0.0619226	0.0736989	0.0965675	0.101229	0.0494329	0.0518695	0.0360381	0.0278534	0.0273781	0.0286864	0.0230992	0.0207144
a23	0.260502	0.0786821	0.0787782	0.0747993	0.0612341	0.0607998	0.0652998	0.0661073	0.0473745	0.023127	0.0268828	0.0241351	0.0269162	0.0242263	0.0249542	0.0322684	0.0239131
a87	0.323913	0.144604	0.107381	0.0902402	0.0716989	0.0560438	0.0465289	0.0416055	0.0336965	0.0169972	0.0129134	0.00698096	0.00510659	0.00679011	0.00876964	0.0147372	0.0119929
a23	0.325933	0.139353	0.0998439	0.0894267	0.0830382	0.0664166	0.0514229	0.0493037	0.0364677	0.0159293	0.0124584	0.00678639	0.0046079	0.00462391	0.00432874	0.00547083	0.00458882
a79	0.213321	0.132395	0.113591	0.127169	0.0993156	0.0697586	0.0566631	0.0464816	0.0325465	0.0142243	0.0115147	0.00812085	0.00758913	0.0110991	0.0149008	0.0213559	0.0199531
a44	0.147514	0.15852	0.180697	0.125652	0.0867252	0.0634378	0.054028	0.039212	0.0249718	0.0129372	0.0112778	0.00839532	0.00931059	0.0145082	0.0238855	0.021492	0.0174353
a75	0.222247	0.230582	0.18385	0.0929926	0.0626485	0.0413505	0.0370095	0.0314426	0.0214772	0.0102401	0.00939896	0.00717359	0.00779121	0.0105766	0.0122433	0.0103444	0.00863266
a47	0.151582	0.218919	0.231223	0.107588	0.0664152	0.0451079	0.0426296	0.0362034	0.027244	0.0115251	0.00872413	0.00585903	0.00592626	0.00974816	0.0122426	0.0102736	0.00878939
a15	0.0790769	0.187373	0.208727	0.114101	0.066808	0.0486417	0.0440979	0.0375227	0.0367141	0.0234709	0.0154408	0.0110434	0.0126861	0.022359	0.031501	0.0302831	0.0301537
a79	0.0800387	0.204632	0.209311	0.112842	0.0823897	0.050722	0.036962	0.0268956	0.021399	0.0160862	0.011988	0.00987102	0.0122174	0.0207891	0.0312672	0.0368513	0.0357384
a69	0.0719883	0.152569	0.21949	0.140917	0.0847297	0.0547576	0.0403801	0.0317483	0.0289503	0.0245376	0.0216801	0.0199654	0.0221187	0.0212315	0.0189625	0.0226358	0.0233383
a58	0.0197767	0.0475503	0.132019	0.152239	0.105297	0.0837326	0.0660756	0.0489722	0.0416253	0.0394366	0.033131	0.0305635	0.0346166	0.0352123	0.0360969	0.0461651	0.0474913
a62	0.01241	0.0203183	0.0487176	0.0800419	0.0875096	0.110069	0.105621	0.0889134	0.0734864	0.0626546	0.0608413	0.0430936	0.0359645	0.0316873	0.040604	0.0487483	0.0493195
a12	0.00721622	0.0124403	0.0275998	0.0659355	0.0902957	0.114076	0.117518	0.104037	0.0938919	0.0780712	0.078599	0.0636305	0.0437322	0.0272869	0.0244663	0.0261032	0.0251004
a96	0.00451715	0.0081754	0.0160437	0.0372674	0.0600818	0.0944544	0.117836	0.11856	0.115591	0.0970817	0.104979	0.0834612	0.0543563	0.0260289	0.0203798	0.0213336	0.0198517
a90	0.0025299	0.00422065	0.00871018	0.0234204	0.0434084	0.0909869	0.125975	0.116403	0.10999	0.121509	0.117196	0.0863199	0.0494666	0.0265634	0.0236064	0.025613	0.0240816
a56	0.00214533	0.00366131	0.00814864	0.0229675	0.0362672	0.0747457	0.103695	0.0914839	0.0828397	0.116476	0.119987	0.104081	0.0809591	0.0430814	0.0370454	0.0378623	0.0345537
a25	0.00232464	0.00343179	0.00624473	0.0161568	0.0305865	0.065649	0.0997837	0.0947085	0.0936231	0.135131	0.134558	0.110895	0.0713238	0.035839	0.0301857	0.0355158	0.0340425
a56	0.0022055	0.00396562	0.00856034	0.0213293	0.0319022	0.0750858	0.100568	0.0750187	0.0706552	0.135592	0.120009	0.0835191	0.0668551	0.0419723	0.0413757	0.0583415	0.0630455
a21	0.00265912	0.0035641	0.00611296	0.0157945	0.0259384	0.0530022	0.0743899	0.0618094	0.0631992	0.131895	0.123229	0.0969782	0.0734847	0.0512563	0.0611679	0.0777882	0.0777307
a5	0.00250162	0.00333423	0.00501747	0.0106464	0.0218536	0.0481439	0.0698989	0.0591119	0.0610786	0.132891	0.119849	0.0957839	0.0701187	0.0502819	0.0622164	0.0971453	0.0901275
a43	0.0019951	0.00216841	0.00278673	0.00690393	0.0138671	0.0288491	0.0458971	0.0420447	0.0480554	0.117444	0.115839	0.0950417	0.088254	0.0728777	0.0794051	0.124685	0.113886
a75	0.00258249	0.00355611	0.00560889	0.013072	0.0221355	0.0441613	0.0558187	0.0422331	0.042346	0.100528	0.0839362	0.0693628	0.0685066	0.0656272	0.0895705	0.149999	0.140955
a85	0.00243132	0.00354588	0.00473771	0.0132261	0.0186476	0.0312317	0.0373719	0.0287726	0.0332743	0.0933759	0.070458	0.0519495	0.0565375	0.0620282	0.0935256	0.19085	0.208036
a6	0.00132071	0.00163678	0.00226356	0.00798816	0.0103607	0.0149809	0.0222162	0.0176533	0.020535	0.0647944	0.0686139	0.0648837	0.085913	0.0826172	0.091594	0.19441	0.248218
a37	0.00190996	0.00307969	0.00412918	0.0114853	0.0145946	0.0220598	0.0261293	0.0215519	0.0242981	0.0724652	0.0612663	0.0490799	0.0593805	0.0644457	0.092969	0.22567	0.245486
a85	0.00658284	0.0107771	0.0135452	0.0246398	0.0273711	0.0431593	0.0392526	0.0253152	0.0237266	0.0548264	0.0293763	0.0189436	0.0222835	0.0326473	0.0679754	0.270181	0.289397
a47	0.00341474	0.0056847	0.00714826	0.0153487	0.0156285	0.0246171	0.0237604	0.0155645	0.0158663	0.0427496	0.0254093	0.0182926	0.0235343	0.0347607	0.07668	0.290638	0.360903
a36	0.012469	0.0193236	0.0188566	0.0305602	0.0263439	0.0344559	0.0287311	0.0167133	0.0140253	0.0349593	0.0178804	0.0127688	0.0196371	0.0297026	0.0683196	0.299663	0.31559
a2	0.0486662	0.0430135	0.0400351	0.0599625	0.0496818	0.0424044	0.0316849	0.0216974	0.0146242	0.0222624	0.0170276	0.0142701	0.017449	0.0223855	0.0579045	0.234844	0.262087
a57	0.0745723	0.0541586	0.0498539	0.0586474	0.0459744	0.0438534	0.0365177	0.030535	0.0254541	0.0291879	0.0279429	0.0271173	0.0288467	0.0359254	0.0700956	0.165834	0.195483
a87	0.0765211	0.0382073	0.0307907	0.0284317	0.027195	0.0336354	0.0324483	0.0314352	0.0249029	0.0314464	0.031054	0.0323282	0.04996	0.0697307	0.0923895	0.17915	0.190374
a23	0.0961882	0.0407728	0.020307	0.0120314	0.00951736	0.0128514	0.0153573	0.0185254	0.0179031	0.0230559	0.0264172	0.0319377	0.0701339	0.100757	0.121732	0.185932	0.196581
a50	0.0265378	0.0118932	0.0112322	0.0140409	0.0107058	0.0151979	0.0194265	0.0222969	0.0212489	0.0324861	0.0364337	0.0427807	0.0806914	0.107432	0.114607	0.186214	0.246775
a83	0.004067	0.00272248	0.0039594	0.00356215	0.00262294	0.00544462	0.00840346	0.00977418	0.0117582	0.0194781	0.0199498	0.0262484	0.0528814	0.12495	0.217152	0.265211	0.221816
a75	0.00157631	0.00177049	0.00287052	0.00235818	0.00205284	0.0041509	0.00665807	0.0073562	0.00772655	0.0127617	0.0156486	0.0214245	0.0500564	0.117757	0.249655	0.283794	0.212383
a79	0.000319656	0.000291977	0.000438385	0.000841665	0.0011257	0.00254529	0.00456252	0.00519705	0.00705171	0.010785	0.0109258	0.0118972	0.0242033	0.0882001	0.227622	0.338028	0.265965
a98	0.00027534	0.000361053	0.000631256	0.0015762	0.00203252	0.00425687	0.00681054	0.00713353	0.00911518	0.0147178	0.013228	0.0126024	0.0184221	0.0509774	0.155856	0.351856	0.350148
a6	0.000346039	0.000514418	0.00085942	0.00229872	0.00290696	0.00574323	0.00818986	0.00821706	0.0100068	0.016221	0.0134702	0.011573	0.0139717	0.030434	0.103203	0.329954	0.442091
a36	0.000686911	0.000750167	0.000927633	0.00180757	0.00249501	0.00508403	0.00788701	0.00829589	0.0097765	0.0174169	0.0131131	0.0107662	0.0140846	0.028678	0.093925	0.339036	0.44527
a21	0.000799552	0.00110352	0.00134259	0.00160337	0.00164767	0.00275178	0.00355589	0.00346498	0.00332738	0.00658429	0.00544291	0.00483471	0.00773396	0.018802	0.0888519	0.362587	0.485566
a12	0.000358002	0.000285863	0.000284529	0.000397333	0.000532179	0.000976222	0.00166724	0.00197254	0.00231659	0.00532405	0.00544866	0.00532506	0.011083	0.0262804	0.0944627	0.359375	0.483911
a18	0.000312581	0.000260088	0.000335994	0.000545841	0.000855504	0.001706	0.00271606	0.00292962	0.00292738	0.00619332	0.00595428	0.00518974	0.00965301	0.0272857	0.107639	0.352131	0.473365
