 	pardonne	ton	ami	pour	tout	le	mal	qu'	il	t'	a	fait	</S>
a66	0.309013	0.185499	0.129748	0.0913039	0.0574392	0.0432532	0.0336289	0.038751	0.0326542	0.0295759	0.0207719	0.0156143	0.0127482
a87	0.437461	0.193172	0.131332	0.0654084	0.0382437	0.0223569	0.0187262	0.0246707	0.0170987	0.0150669	0.012321	0.0117187	0.0124241
a99	0.522604	0.162414	0.0944629	0.0576717	0.0355754	0.0194242	0.0154809	0.0199318	0.0153096	0.0163166	0.0143407	0.0126037	0.0138637
a87	0.631355	0.184541	0.0741553	0.0278502	0.0144514	0.0102786	0.0086167	0.0110258	0.00726853	0.00609667	0.00616911	0.00715613	0.0110348
a23	0.629119	0.173374	0.0705807	0.0281716	0.0158515	0.0115958	0.010109	0.0144521	0.0098448	0.00909617	0.00838203	0.0084016	0.0110217
a99	0.621136	0.0909316	0.0440886	0.0281359	0.0212526	0.0209694	0.0218057	0.0242801	0.0214718	0.0197708	0.0213797	0.025953	0.0388248
a87	0.631147	0.0786209	0.0425753	0.0345964	0.0262197	0.0236268	0.0219594	0.0208942	0.0194418	0.0195611	0.0215394	0.0256192	0.0341989
a23	0.708018	0.071991	0.0353625	0.023674	0.0195038	0.0209831	0.0199234	0.0215367	0.0174722	0.0161526	0.0146597	0.0140621	0.0166603
a99	0.599924	0.0712282	0.0339476	0.0275346	0.0247693	0.0267197	0.0268886	0.0260954	0.0268102	0.0268795	0.0300553	0.0340193	0.0451284
a87	0.476467	0.118664	0.06189	0.0547441	0.042942	0.0364941	0.0302002	0.0243496	0.0240738	0.0287116	0.0330613	0.0330479	0.0353534
a23	0.573399	0.0833914	0.0437461	0.0344233	0.0299302	0.0316121	0.028272	0.0280402	0.0249557	0.0264925	0.0287866	0.0305443	0.0364071
a30	0.483021	0.076984	0.039988	0.0342871	0.0318774	0.0334054	0.0320786	0.0297336	0.0322814	0.0364634	0.0461671	0.05456	0.0691536
a93	0.354924	0.138682	0.0805496	0.0727926	0.0583583	0.049619	0.0376181	0.0293161	0.0265657	0.032353	0.038504	0.039262	0.0414557
a4	0.152893	0.136367	0.164248	0.159068	0.120743	0.0727357	0.0380513	0.0244736	0.0171959	0.0254872	0.0290606	0.0301949	0.0294815
a50	0.0621065	0.103681	0.168422	0.188388	0.154999	0.0966403	0.0500003	0.0347864	0.0228533	0.0286619	0.0294192	0.0306035	0.0294387
a62	0.0677229	0.0817339	0.141284	0.172579	0.151743	0.110461	0.0610251	0.0477989	0.0312516	0.033143	0.0310578	0.0338617	0.0363384
a88	0.0504648	0.0633909	0.116287	0.166431	0.172157	0.13593	0.0721316	0.0573124	0.0355703	0.0348125	0.0302089	0.0319563	0.0333477
a83	0.0345801	0.055797	0.109452	0.161584	0.177328	0.146601	0.0783363	0.0649494	0.0378636	0.033646	0.03039	0.0335307	0.0359413
a11	0.0365711	0.0543537	0.101014	0.145816	0.161681	0.140364	0.0842879	0.075315	0.0479554	0.0382877	0.0342631	0.0383039	0.0417872
a94	0.0323075	0.0528173	0.094563	0.139027	0.156187	0.14387	0.0957392	0.0918423	0.0553882	0.0390033	0.03114	0.0331916	0.0349237
a13	0.0262473	0.041126	0.0769691	0.123814	0.14682	0.145678	0.106345	0.101123	0.0632271	0.0460022	0.0367399	0.0412683	0.0446404
a99	0.0394944	0.0462837	0.0645081	0.105799	0.14882	0.175146	0.134327	0.118569	0.0587837	0.0364153	0.0233212	0.0236132	0.0249188
a83	0.0457309	0.0359245	0.0419006	0.0639266	0.0924219	0.138958	0.142191	0.155454	0.104699	0.0614684	0.0386448	0.0382469	0.0404323
a96	0.0270893	0.0243156	0.0336434	0.0574759	0.0881877	0.120396	0.120061	0.129473	0.102479	0.0842614	0.0655069	0.0697239	0.0773856
a90	0.0186945	0.0169142	0.0224382	0.0386206	0.0699457	0.121779	0.13496	0.15162	0.115024	0.0954498	0.0693356	0.0694971	0.0757205
a56	0.00504846	0.00733497	0.0109519	0.0227773	0.0406382	0.0781176	0.100749	0.107803	0.108342	0.117403	0.117068	0.134426	0.149341
a25	0.00513711	0.00792252	0.0116867	0.0232832	0.040146	0.0736068	0.104584	0.113514	0.123373	0.131685	0.117512	0.120489	0.127062
a21	0.00181478	0.00396585	0.00600486	0.013182	0.026314	0.0567797	0.0905926	0.100959	0.131571	0.13308	0.125504	0.138886	0.171346
a85	0.0029231	0.00554924	0.00787113	0.0144245	0.0221347	0.0463299	0.083488	0.094742	0.134947	0.139788	0.139448	0.1392	0.169154
a6	0.000863868	0.00172973	0.00243409	0.00503103	0.0102531	0.0259496	0.058966	0.0765023	0.131002	0.125435	0.14055	0.175057	0.246226
a36	0.000737257	0.00120261	0.00167885	0.00325882	0.00688116	0.0195026	0.0492171	0.0671746	0.125688	0.129151	0.16146	0.18805	0.245998
a12	0.00221626	0.00205074	0.00202127	0.00282699	0.00406551	0.00900925	0.0261339	0.0384251	0.078741	0.0969332	0.160429	0.224214	0.352933
a96	0.000686335	0.00063482	0.00079335	0.00125716	0.00197771	0.00507343	0.0178966	0.0302284	0.0787404	0.0972563	0.1826	0.244035	0.338821
a18	0.000627627	0.000648449	0.000879191	0.00148452	0.00204543	0.00406047	0.0119372	0.0187033	0.0451704	0.0734983	0.176466	0.270078	0.394401
a62	0.00857568	0.00497659	0.0062037	0.00917896	0.0104836	0.0133207	0.0208394	0.0260643	0.0525487	0.0692006	0.144644	0.253335	0.380628
a47	0.00206378	0.00147185	0.00221815	0.00392259	0.00523468	0.00780707	0.0146881	0.0195215	0.0389103	0.0680604	0.166577	0.290355	0.37917
a88	0.00407691	0.00263295	0.00350169	0.00562334	0.00709864	0.0101165	0.0173103	0.0225204	0.0442298	0.0746651	0.177055	0.287239	0.34393
a62	0.00225147	0.00124462	0.00174631	0.00293492	0.00380393	0.00556955	0.0104734	0.0139463	0.0320087	0.058615	0.152388	0.290936	0.424082
a93	0.00158933	0.00121938	0.00205896	0.00381212	0.0049901	0.00741182	0.0132654	0.0162728	0.0290936	0.056169	0.139212	0.282796	0.44211
a98	0.000173896	0.000180927	0.000278868	0.000435822	0.000618877	0.00126174	0.00368663	0.00627988	0.0165457	0.0342886	0.117401	0.291375	0.527474
a92	2.11074e-05	3.87505e-05	6.69101e-05	0.000129377	0.000234197	0.000593604	0.00209637	0.00359283	0.0111004	0.0253763	0.0964077	0.281746	0.578596
a85	4.01926e-05	6.51882e-05	0.000107543	0.000195115	0.000304699	0.000661349	0.00215822	0.0038955	0.0134463	0.0292063	0.106954	0.286073	0.556893
a6	1.99778e-05	4.56403e-05	6.78549e-05	0.000127444	0.000218847	0.000540327	0.00194667	0.003124	0.0110771	0.0205321	0.0850992	0.263697	0.613504
a36	2.89522e-05	5.4974e-05	8.89111e-05	0.000161127	0.000249662	0.000528852	0.00181454	0.00316339	0.0118989	0.0244087	0.0905538	0.264093	0.602955
a37	6.65241e-05	0.000104228	0.000183813	0.000351708	0.000536516	0.000846172	0.00227675	0.0031523	0.00803062	0.0188918	0.0823903	0.272011	0.611158
a26	0.000450854	0.000549485	0.00102733	0.00190002	0.00272782	0.00332437	0.00582427	0.00639713	0.0127532	0.0263216	0.0916	0.265274	0.58185
a82	0.0180955	0.0119783	0.0199755	0.0322797	0.0351037	0.0301827	0.0374559	0.0321403	0.0470307	0.0599628	0.11236	0.211195	0.352241
a87	0.108369	0.0408612	0.0351682	0.0399381	0.0414624	0.0340925	0.0414774	0.0412835	0.0595768	0.0674466	0.109038	0.163196	0.218089
a23	0.17428	0.120642	0.0646052	0.0488431	0.0419464	0.0307241	0.0332466	0.0336761	0.0475545	0.0557345	0.0885042	0.119186	0.141058
a99	0.0276047	0.0313468	0.0201285	0.0157726	0.0146472	0.0120745	0.0174748	0.0208268	0.0485765	0.0817764	0.177027	0.248141	0.284603
a87	0.0194242	0.0244024	0.0197848	0.0195044	0.0206449	0.0206586	0.0311549	0.0356872	0.0586772	0.073156	0.143286	0.226992	0.306627
a23	0.00540194	0.00922419	0.00855489	0.00804198	0.00895766	0.00962342	0.0184802	0.0227518	0.0410337	0.0634552	0.143285	0.262554	0.398636
a87	0.00645641	0.0142057	0.0141983	0.014209	0.0186917	0.0196582	0.030193	0.0357145	0.0590315	0.080883	0.155918	0.234485	0.316355
a97	0.00496774	0.0105926	0.00983554	0.0106844	0.0161778	0.0186415	0.0308403	0.035331	0.056603	0.0807536	0.158336	0.242182	0.325055
a82	0.0152251	0.0308459	0.0283708	0.0281555	0.0322996	0.0271339	0.032792	0.0375934	0.0603578	0.077994	0.137469	0.200412	0.291351
</S>	0.0272339	0.0398245	0.0343507	0.0340048	0.0353888	0.0286233	0.0343798	0.0405171	0.0620214	0.0744749	0.124746	0.187379	0.277056
