 	cet	homme	a	eu	un	choc	à	la	rotule	</S>
a66	0.15679	0.11112	0.101809	0.158333	0.171446	0.148103	0.0742229	0.0433711	0.0179692	0.0168351
a87	0.325256	0.17419	0.138669	0.100026	0.0779035	0.0684547	0.0550133	0.0284629	0.0183555	0.0136685
a23	0.304057	0.187887	0.207974	0.10599	0.0884584	0.0555968	0.0227733	0.0131558	0.00784484	0.00626328
a83	0.332446	0.192395	0.19011	0.081315	0.0674645	0.047104	0.025149	0.0189654	0.0187644	0.0262867
a70	0.253542	0.145658	0.138863	0.0959327	0.0837298	0.0656455	0.0418286	0.040111	0.0602068	0.074482
a93	0.321711	0.250779	0.211087	0.0886804	0.0570655	0.0285612	0.0160727	0.010873	0.00836632	0.00680376
a56	0.262985	0.205775	0.219527	0.105227	0.0787912	0.0601625	0.0256154	0.0163847	0.0132125	0.0123202
a75	0.220289	0.180525	0.203958	0.114161	0.0966448	0.0917154	0.0317226	0.0218279	0.0201667	0.0189895
a92	0.12506	0.102153	0.133137	0.100172	0.109929	0.146119	0.0952621	0.0744777	0.0565943	0.0570968
a37	0.141627	0.113032	0.132174	0.0952902	0.095068	0.132005	0.10422	0.0807063	0.0460054	0.059873
a98	0.105197	0.113173	0.154473	0.14079	0.137278	0.149534	0.075386	0.0539173	0.0290373	0.0412136
a47	0.0596852	0.0621493	0.0822404	0.0939636	0.0998919	0.152517	0.129929	0.138784	0.0813734	0.0994665
a92	0.0490951	0.0630413	0.0903507	0.1203	0.126013	0.157029	0.118696	0.115843	0.0583245	0.101306
a85	0.0381574	0.0504464	0.0879081	0.13208	0.149954	0.193257	0.115083	0.107652	0.0555354	0.0699267
a5	0.0237297	0.0364945	0.0558805	0.0890127	0.105746	0.155225	0.113929	0.140678	0.109316	0.169989
a12	0.0190899	0.0267063	0.0564086	0.128175	0.163814	0.210432	0.118275	0.117803	0.0742854	0.0850108
a96	0.0167369	0.0237025	0.0473596	0.132235	0.195397	0.229473	0.11221	0.0996449	0.0587241	0.084516
a90	0.0195195	0.0283118	0.0470598	0.101987	0.155994	0.186525	0.101613	0.105481	0.0881573	0.165351
a25	0.0060254	0.00895246	0.0170303	0.0507463	0.0866502	0.128764	0.111216	0.159772	0.181964	0.24888
a92	0.00481657	0.00761608	0.0154081	0.05844	0.101406	0.116643	0.0810386	0.156651	0.190495	0.267487
a12	0.0029827	0.00393411	0.00757605	0.0263354	0.0485131	0.0812321	0.0829464	0.151939	0.229685	0.364856
a96	0.00432204	0.00633899	0.0115463	0.0322735	0.0505199	0.0682489	0.0482907	0.106019	0.198627	0.473814
a62	0.00550462	0.00882303	0.0164643	0.0428141	0.059781	0.0691941	0.0425013	0.0994103	0.180644	0.474863
a96	0.0142842	0.0221791	0.0411419	0.0808606	0.100427	0.102863	0.0490153	0.0902437	0.134833	0.364152
a34	0.00917068	0.0148334	0.029391	0.0643007	0.081245	0.080736	0.0435847	0.0925259	0.16189	0.422323
a93	0.0051925	0.00699538	0.0125755	0.0246959	0.0309322	0.0298512	0.0223658	0.05476	0.176802	0.635829
a70	0.0058197	0.00863934	0.0166864	0.0335984	0.0412007	0.0383156	0.0258892	0.059965	0.163696	0.60619
a93	0.00489442	0.00665839	0.0125417	0.0241642	0.0301444	0.0285692	0.0182148	0.0421313	0.138382	0.694299
a90	0.00162511	0.00214231	0.00386117	0.00854928	0.0115961	0.0130699	0.0150654	0.0452202	0.160297	0.738574
a15	0.00176533	0.00206391	0.00321617	0.00697139	0.00960577	0.012168	0.0144171	0.039262	0.156165	0.754365
a79	0.000790424	0.00110029	0.0018837	0.00587103	0.00950763	0.0148177	0.0129462	0.0390862	0.136644	0.777353
a90	0.000604484	0.000859817	0.00138702	0.00468729	0.0075878	0.0102434	0.00929346	0.0302773	0.153305	0.781754
a15	0.000487996	0.00067135	0.00107527	0.00357374	0.00588729	0.00854531	0.00835008	0.0289802	0.175404	0.767025
a7	0.00010953	0.000142706	0.000242657	0.00105873	0.00237307	0.00574319	0.00528125	0.0200076	0.152172	0.812869
a84	0.00169168	0.00204863	0.00288155	0.00627863	0.00964988	0.0161001	0.015696	0.0447062	0.225568	0.67538
a87	0.0632378	0.0608643	0.0669441	0.0655512	0.0621948	0.0514825	0.066832	0.112795	0.200989	0.24911
a23	0.130847	0.096525	0.103973	0.0927768	0.103933	0.0889628	0.087916	0.0977281	0.11498	0.0823592
a87	0.0160781	0.00956324	0.00906573	0.0111258	0.0145573	0.027984	0.0676214	0.133384	0.32402	0.386601
</S>	0.00545615	0.00318791	0.00332483	0.00463976	0.00714159	0.0138954	0.0327768	0.0860893	0.236324	0.607164
