 	ces	femmes	travaillent	avec	persévérance	</S>
a66	0.371374	0.216179	0.21145	0.123138	0.045412	0.0324468
a87	0.277966	0.133667	0.147754	0.127446	0.194723	0.118444
a97	0.330991	0.160166	0.103204	0.0760923	0.206976	0.122571
a40	0.3387	0.206425	0.142366	0.0814411	0.127554	0.103514
a6	0.526344	0.169394	0.0936698	0.0631507	0.0698503	0.0775908
a37	0.484287	0.273387	0.118572	0.0540936	0.0405209	0.0291396
a61	0.491998	0.299043	0.110297	0.0379514	0.0374867	0.0232238
a34	0.482569	0.342095	0.112476	0.0295811	0.0216235	0.0116546
a96	0.472543	0.358944	0.116116	0.0276234	0.015203	0.00957031
a70	0.413224	0.373164	0.144584	0.03562	0.0201922	0.0132155
a98	0.326556	0.351861	0.184494	0.0649565	0.0427517	0.0293805
a85	0.248414	0.303439	0.2316	0.101735	0.0658854	0.0489257
a6	0.16709	0.229239	0.222535	0.174487	0.116867	0.0897811
a37	0.132554	0.197436	0.226312	0.192275	0.135925	0.115497
a21	0.0795889	0.176018	0.259927	0.222156	0.124192	0.13812
a5	0.056555	0.126752	0.184683	0.228015	0.184742	0.219252
a23	0.0314039	0.0937475	0.186884	0.262542	0.195607	0.229815
a61	0.0136929	0.03733	0.0872756	0.217605	0.300112	0.343984
a62	0.0101424	0.0242291	0.053967	0.146824	0.277037	0.4878
a96	0.00508827	0.0132722	0.0314759	0.0976935	0.284257	0.568213
a62	0.00249019	0.00519078	0.0132478	0.0472543	0.227114	0.704703
a24	0.00245431	0.00530833	0.0130451	0.0406956	0.202748	0.735749
a0	0.00243317	0.0037666	0.00918521	0.033019	0.19441	0.757186
a24	0.00569948	0.0046597	0.00881827	0.0405654	0.215765	0.724492
a0	0.0024496	0.00245003	0.00535422	0.027956	0.181683	0.780107
a75	0.00504602	0.00475225	0.0105351	0.0489339	0.24165	0.689083
a6	0.00114395	0.00181502	0.00673538	0.0351023	0.214593	0.74061
a36	0.000305755	0.000531986	0.00213744	0.0165543	0.172836	0.807635
a27	0.0026097	0.00246236	0.00604922	0.0308262	0.230509	0.727544
a82	0.0684114	0.0686561	0.0853937	0.157714	0.228295	0.39153
a97	0.11416	0.0697631	0.0772717	0.123522	0.284578	0.330706
a27	0.124783	0.0671394	0.0778946	0.120663	0.291044	0.318476
</S>	0.0526487	0.0283446	0.0350785	0.0708601	0.366747	0.446321
