 	il	fut	traité	avec	bonté	</S>
a23	0.280607	0.213865	0.150506	0.100306	0.101709	0.153006
a40	0.337802	0.181809	0.0769407	0.0836302	0.123387	0.196431
a44	0.299718	0.237964	0.143751	0.100142	0.10207	0.116354
a26	0.542463	0.244567	0.0836399	0.0463292	0.0415214	0.0414792
a57	0.577578	0.251133	0.0724375	0.0356327	0.0321567	0.0310615
a53	0.297854	0.245588	0.180084	0.100829	0.0915844	0.0840606
a4	0.283338	0.197461	0.165721	0.128511	0.121423	0.103546
a57	0.222291	0.202103	0.189729	0.145326	0.130832	0.109718
a90	0.214393	0.196628	0.191814	0.146591	0.136193	0.114381
a56	0.0972855	0.111991	0.177013	0.191192	0.219523	0.202996
a34	0.0753217	0.105652	0.19051	0.218462	0.223063	0.186992
a79	0.0574693	0.0767217	0.160334	0.228118	0.241803	0.235553
a69	0.0326376	0.0450262	0.113411	0.207503	0.292551	0.308871
a53	0.0333545	0.0433712	0.104486	0.184701	0.276901	0.357187
a44	0.0290338	0.0357608	0.0892746	0.187639	0.291562	0.366729
a84	0.0137081	0.0161666	0.045844	0.140792	0.294488	0.489001
a57	0.00877417	0.00849235	0.0189235	0.0870988	0.251957	0.624754
a87	0.0600177	0.0635535	0.0811258	0.132799	0.245316	0.417188
a23	0.17474	0.138628	0.124044	0.141293	0.203352	0.217943
a97	0.110447	0.106259	0.131242	0.19111	0.238495	0.222446
a87	0.0226111	0.027715	0.0605392	0.182383	0.338996	0.367756
</S>	0.0267218	0.0320953	0.0654533	0.184969	0.346863	0.343898
