 	elle	aime	beaucoup	les	bijoux	</S>
a23	0.271874	0.240488	0.211967	0.149341	0.0785109	0.0478184
a87	0.369543	0.281778	0.175273	0.0903449	0.0427442	0.0403169
a23	0.261406	0.254364	0.21224	0.11307	0.0748259	0.0840942
a13	0.291562	0.241973	0.142751	0.0806415	0.080735	0.162338
a20	0.399802	0.338446	0.159502	0.0508372	0.0220889	0.0293242
a73	0.370987	0.285799	0.181694	0.0984986	0.0405552	0.0224665
a84	0.30994	0.296283	0.234856	0.117453	0.0297113	0.0117574
a75	0.258684	0.255476	0.226319	0.161796	0.0652089	0.0325166
a41	0.24066	0.2674	0.234392	0.156878	0.0633835	0.0372861
a32	0.265444	0.268826	0.237445	0.146055	0.0496842	0.0325465
a88	0.216654	0.252019	0.265927	0.179142	0.0560816	0.0301759
a26	0.178668	0.224163	0.277483	0.231542	0.0572168	0.0309265
a88	0.167687	0.213917	0.271973	0.252246	0.0604705	0.033706
a71	0.156381	0.203289	0.264154	0.27899	0.0691642	0.0280219
a25	0.130818	0.185415	0.258362	0.308144	0.0840429	0.0332181
a38	0.118139	0.191144	0.277749	0.299022	0.0794931	0.0344535
a76	0.104121	0.163285	0.251513	0.30598	0.107496	0.0676047
a56	0.11041	0.131436	0.177358	0.199142	0.17475	0.206905
a32	0.102688	0.114494	0.173174	0.254879	0.204123	0.150641
a24	0.0971188	0.111324	0.143095	0.245296	0.239319	0.163848
a31	0.075648	0.0913071	0.122725	0.229726	0.265453	0.215141
a88	0.0879587	0.087912	0.119289	0.224453	0.289884	0.190503
a71	0.0869125	0.0884359	0.0965711	0.169386	0.321606	0.237088
a98	0.0985997	0.102964	0.116473	0.186267	0.305236	0.190461
a41	0.0698827	0.0692461	0.0765748	0.140971	0.309884	0.333442
a94	0.0250726	0.0279962	0.0391324	0.0930007	0.291755	0.523043
a75	0.0348102	0.0367326	0.0433379	0.0814952	0.275509	0.528115
a73	0.0422276	0.042392	0.0477576	0.085024	0.257996	0.524603
a54	0.0243189	0.0288557	0.039177	0.0830522	0.283079	0.541517
a73	0.0360282	0.0370163	0.0439279	0.0796853	0.239005	0.564337
a44	0.0322893	0.0386394	0.048242	0.0848774	0.253127	0.542825
a84	0.02504	0.0303033	0.0426196	0.0886573	0.272881	0.540499
a75	0.0065309	0.00693455	0.0115236	0.0298997	0.214203	0.730908
a41	0.0310915	0.0274202	0.0304674	0.0511291	0.164073	0.695818
a56	0.0151292	0.0140798	0.0158417	0.0311859	0.12722	0.796543
a47	0.025388	0.0255385	0.029479	0.0431572	0.12981	0.746627
a24	0.0141031	0.0131967	0.0139939	0.0247705	0.101786	0.83215
a98	0.0213498	0.0174044	0.0181133	0.030296	0.121033	0.791803
a71	0.0206613	0.0178939	0.0192272	0.03476	0.127648	0.779809
a25	0.0122713	0.0111177	0.0144947	0.031895	0.177504	0.752717
a3	0.00944349	0.00750576	0.00840647	0.0168894	0.100314	0.857441
a87	0.00536688	0.00470654	0.00551237	0.0122873	0.127473	0.844654
a23	0.0117586	0.00962969	0.0113378	0.0213282	0.128187	0.817759
a53	0.0506275	0.0341378	0.0323962	0.0414551	0.19785	0.643533
a4	0.0344606	0.0278634	0.0381237	0.0747589	0.212818	0.611975
a24	0.0121905	0.0109078	0.019837	0.0644725	0.254162	0.63843
a88	0.012028	0.0107582	0.0169089	0.0441719	0.184316	0.731817
a24	0.00628277	0.00631626	0.0107437	0.0342093	0.179374	0.763074
a9	0.00481005	0.00498357	0.00816905	0.0265427	0.165301	0.790194
a87	0.00152579	0.00151376	0.00247929	0.00875493	0.114999	0.870727
</S>	0.00323582	0.00266577	0.00413995	0.0127223	0.130026	0.84721
