 	c'	est	un	homme	avide	de	richesse	</S>
a23	0.250138	0.200215	0.124552	0.0934422	0.0875192	0.085746	0.0897595	0.0686277
a30	0.317592	0.188856	0.140667	0.118921	0.102142	0.0533134	0.0419452	0.0365632
a53	0.233093	0.213103	0.17178	0.133831	0.100307	0.0491369	0.0432535	0.0554963
a20	0.356372	0.278026	0.152971	0.0781117	0.044975	0.0315054	0.0286976	0.0293419
a73	0.310791	0.2819	0.193003	0.111274	0.0505292	0.0230526	0.0152483	0.0142015
a44	0.281077	0.2622	0.204857	0.12825	0.0625125	0.0268636	0.0177551	0.0164849
a26	0.24096	0.22673	0.205294	0.145907	0.0841321	0.0413796	0.028279	0.0273176
a24	0.193908	0.164727	0.160853	0.138883	0.117305	0.0838594	0.0694465	0.0710169
a35	0.195225	0.16765	0.158254	0.129367	0.108544	0.0911182	0.0757575	0.0740852
a14	0.15297	0.14789	0.16491	0.153792	0.139006	0.103283	0.0759389	0.0622107
a73	0.14122	0.126863	0.128782	0.119336	0.128091	0.131552	0.121275	0.10288
a84	0.0872081	0.0792374	0.088814	0.0925816	0.124172	0.148367	0.185672	0.193947
a82	0.0403917	0.0405852	0.0524159	0.0688795	0.112664	0.154248	0.23426	0.296556
a53	0.0450779	0.0467275	0.0631303	0.0804934	0.110611	0.140575	0.203925	0.30946
a76	0.046258	0.0400245	0.0428695	0.0500092	0.0839742	0.145288	0.263991	0.327585
a94	0.0397694	0.0348222	0.0355553	0.0394163	0.0713173	0.15764	0.298773	0.322706
a32	0.0212292	0.0178349	0.0177591	0.0204723	0.0395766	0.104193	0.283113	0.495822
a75	0.0183998	0.012862	0.0122605	0.0145919	0.0303187	0.0852069	0.271302	0.555058
a73	0.0142197	0.0107475	0.00994325	0.0110582	0.0229812	0.0738447	0.274951	0.582254
a26	0.0107159	0.00844529	0.0087233	0.0109379	0.0246441	0.0791142	0.272389	0.58503
a62	0.0090995	0.00705514	0.00679356	0.00747086	0.0155106	0.0526667	0.227531	0.673872
a21	0.0135059	0.00979621	0.00839672	0.00883098	0.0176397	0.0555872	0.226439	0.659804
a41	0.0145715	0.0105007	0.00901991	0.00931215	0.0195434	0.0609031	0.249488	0.626661
a73	0.0183696	0.0134724	0.0115255	0.012797	0.0274432	0.0829189	0.266081	0.567393
a57	0.0106775	0.00891391	0.00841493	0.0102904	0.0217174	0.0755129	0.272211	0.592262
a87	0.0249344	0.0183279	0.0154126	0.0159432	0.0280687	0.0659427	0.245361	0.586009
</S>	0.0253394	0.0196929	0.0164063	0.0157947	0.0307549	0.0790838	0.268872	0.544056
