 	cette	femme-là	est	l'	amante	de	mon	père	</S>
a66	0.207279	0.124912	0.160367	0.190062	0.159646	0.090358	0.042587	0.0148926	0.00989718
a87	0.174979	0.10497	0.1123	0.16571	0.21148	0.143897	0.0577823	0.0166818	0.0121995
a23	0.277786	0.189442	0.196489	0.16573	0.0828249	0.0370399	0.024524	0.0129746	0.0131904
a30	0.361324	0.23031	0.205745	0.11566	0.0489776	0.0154935	0.00847312	0.00584334	0.00817307
a93	0.428649	0.249698	0.175598	0.0835175	0.033231	0.0116449	0.00664775	0.00478745	0.00622594
a12	0.354797	0.280176	0.183637	0.110477	0.0429987	0.0141481	0.00690835	0.00385478	0.00300362
a93	0.263462	0.248725	0.201749	0.137443	0.0759784	0.0359259	0.018625	0.00989395	0.00819768
a90	0.219667	0.244421	0.215816	0.154346	0.0809526	0.0385599	0.0217378	0.0134041	0.0110957
a98	0.151409	0.220399	0.186343	0.140788	0.0918808	0.081516	0.0591571	0.0379518	0.0305552
a92	0.109287	0.145411	0.129419	0.122955	0.106937	0.127445	0.111556	0.0830465	0.0639432
a94	0.130115	0.126611	0.109657	0.1022	0.111773	0.131085	0.116029	0.0960951	0.0764361
a90	0.144315	0.150628	0.129519	0.103744	0.10507	0.100064	0.0909788	0.0863047	0.0893764
a92	0.0822988	0.0751983	0.0734071	0.0771301	0.108672	0.139283	0.144656	0.151693	0.147662
a85	0.0378842	0.0323599	0.038536	0.0566938	0.0940388	0.149646	0.178332	0.204145	0.208364
a6	0.0184711	0.0172781	0.0186107	0.0325013	0.0706522	0.133534	0.180818	0.244889	0.283245
a75	0.0174205	0.0176419	0.0202646	0.0398499	0.0742258	0.136718	0.182484	0.235047	0.276348
a85	0.0112277	0.0109327	0.0105479	0.0216887	0.037674	0.0815909	0.138518	0.252747	0.435074
a92	0.00601556	0.00648153	0.00592793	0.0119888	0.0235178	0.0625646	0.136607	0.2861	0.460796
a6	0.00296835	0.00281976	0.00222206	0.00469186	0.010144	0.0397249	0.109336	0.28948	0.538613
a36	0.00169261	0.00154415	0.00100187	0.00175445	0.00345336	0.0151678	0.0624884	0.269484	0.643414
a2	0.0044976	0.00438689	0.00193454	0.00251877	0.00392651	0.0101303	0.0377223	0.187135	0.747748
a57	0.0787023	0.0373629	0.0311433	0.0350957	0.0351005	0.0498926	0.0918625	0.206147	0.434693
a87	0.270892	0.177487	0.131535	0.0984068	0.0563092	0.0399496	0.0462294	0.0664785	0.112712
a23	0.23935	0.195295	0.155524	0.145051	0.0820645	0.0512568	0.0473364	0.0423306	0.0417914
a87	0.0800301	0.0431596	0.0444913	0.0538755	0.0554248	0.0579944	0.115775	0.205498	0.343751
a97	0.0155827	0.00914768	0.0091574	0.0143086	0.0185581	0.045159	0.128177	0.267845	0.492065
</S>	0.074141	0.084162	0.069112	0.0807854	0.0623056	0.0664956	0.107634	0.170278	0.285086
