 	le	chef	traditionnel	se	promène	avec	son	sceptre	à	la	main	</S>
a87	0.0760928	0.0490685	0.0526847	0.0760397	0.115738	0.152294	0.254377	0.139247	0.0479343	0.0190246	0.00904813	0.00845137
a23	0.169981	0.0855686	0.0522609	0.0385491	0.0409379	0.0519402	0.0856958	0.191034	0.111016	0.075461	0.0488225	0.0487333
a83	0.178004	0.147385	0.11638	0.0825194	0.0640964	0.0639676	0.0806326	0.0834097	0.0652833	0.0427807	0.0330899	0.0424519
a75	0.218677	0.153061	0.104854	0.0905264	0.0830223	0.0802735	0.0973404	0.0609276	0.0325253	0.0269251	0.0233501	0.0285172
a5	0.220833	0.199188	0.140969	0.112546	0.0717921	0.0850794	0.080277	0.0301299	0.0194023	0.0147484	0.012495	0.0125396
a85	0.156132	0.203677	0.169648	0.139396	0.07691	0.096281	0.0863435	0.0234058	0.017022	0.0125381	0.00988887	0.0087577
a47	0.160984	0.196323	0.152408	0.131301	0.0710782	0.0810554	0.0910016	0.0464048	0.0314978	0.0168635	0.01064	0.0104423
a37	0.129366	0.179191	0.188632	0.178691	0.0892671	0.0918666	0.0874071	0.0210652	0.0141399	0.00840021	0.00597789	0.00599644
a75	0.150622	0.175636	0.188642	0.182588	0.106333	0.086688	0.0735733	0.0141193	0.00903347	0.00540606	0.00382641	0.00353158
a37	0.13102	0.13777	0.175539	0.191188	0.121167	0.102696	0.0749318	0.0242169	0.0159617	0.0101757	0.00784354	0.00749202
a66	0.0976979	0.104185	0.155362	0.19772	0.156167	0.123795	0.104239	0.0274279	0.014381	0.00791652	0.00584885	0.00526032
a98	0.0444379	0.0515804	0.115668	0.182885	0.216288	0.176965	0.123569	0.0351961	0.021456	0.0120347	0.0097391	0.0101794
a47	0.0394447	0.0448475	0.0960561	0.16862	0.177168	0.175611	0.137424	0.047634	0.0347396	0.0281296	0.0254537	0.0248708
a5	0.0218665	0.0254786	0.0560341	0.107574	0.215702	0.236838	0.167059	0.0599885	0.0363636	0.0222909	0.0236972	0.0271084
a61	0.0620894	0.0577554	0.0782127	0.119156	0.16361	0.20729	0.166431	0.0598183	0.030525	0.0212732	0.0178517	0.0159877
a47	0.0455595	0.0429211	0.0615692	0.0942683	0.156372	0.204083	0.154737	0.0868067	0.056577	0.0401636	0.0310497	0.0258926
a66	0.0416024	0.039439	0.0493109	0.0689854	0.132591	0.172642	0.138581	0.136801	0.0898298	0.0543907	0.0401303	0.0356968
a71	0.0155407	0.0161056	0.0267005	0.0403378	0.135781	0.177517	0.118253	0.113207	0.0998753	0.0769725	0.0823934	0.0973154
a11	0.0180141	0.0163809	0.0247124	0.0269464	0.0736025	0.123794	0.0591983	0.0617924	0.0982223	0.136095	0.169596	0.191645
a66	0.0155365	0.0143212	0.0204745	0.0218896	0.0533884	0.0883051	0.0414453	0.0518634	0.0918149	0.150743	0.208019	0.242199
a18	0.00612703	0.00521691	0.00744202	0.00796314	0.0183769	0.0366621	0.0197579	0.0353861	0.100831	0.215406	0.269467	0.277364
a83	0.00566784	0.00405474	0.00513337	0.00537353	0.00977467	0.0187032	0.010792	0.0258621	0.0838507	0.197156	0.300005	0.333627
a0	0.00280296	0.00196943	0.00275922	0.00312564	0.00747339	0.0139558	0.00753786	0.016751	0.0632369	0.187796	0.322262	0.37033
a75	0.000941031	0.000654601	0.00103817	0.00132588	0.00399346	0.00737541	0.00458201	0.0113889	0.0462597	0.163443	0.338455	0.420544
a47	0.00235738	0.0019072	0.00314744	0.00418567	0.0122997	0.0172188	0.00948988	0.0257364	0.0815956	0.165102	0.274057	0.402903
a44	0.00242343	0.00208795	0.00385561	0.00618964	0.0193476	0.0214372	0.012651	0.0286323	0.0918647	0.20854	0.29261	0.310361
a53	0.00127629	0.000927448	0.00160845	0.00224982	0.00728995	0.00946177	0.00562788	0.0187985	0.0678506	0.173877	0.294077	0.416955
a69	0.000606599	0.000495508	0.00104797	0.00146118	0.00506542	0.00599329	0.00318832	0.0118434	0.0429062	0.130211	0.301799	0.495382
a4	0.000530082	0.000409578	0.000783851	0.000932679	0.0026373	0.00300273	0.00170854	0.00825805	0.0358207	0.134646	0.293849	0.517421
a57	0.000587121	0.000435322	0.000705814	0.000779103	0.00186945	0.00226889	0.00151668	0.00758237	0.0343815	0.136131	0.297577	0.516166
a3	0.000903295	0.00047779	0.000579544	0.000525296	0.00120055	0.00166495	0.000899535	0.00415319	0.0231568	0.13042	0.31971	0.516309
a97	0.00403196	0.0021883	0.00225278	0.00167102	0.00242997	0.00288188	0.00184958	0.0110655	0.0408103	0.1284	0.284757	0.517662
a87	0.047953	0.0308333	0.0312597	0.0293657	0.0428777	0.0433814	0.0316861	0.0818013	0.114331	0.162311	0.177815	0.206384
a23	0.0592891	0.0369147	0.0324566	0.0299464	0.0527805	0.061189	0.0430799	0.0924666	0.103637	0.141383	0.161735	0.185122
a10	0.0548054	0.0407148	0.0389586	0.033203	0.0571866	0.050801	0.0377017	0.0659987	0.0851644	0.126043	0.181013	0.228409
a87	0.026808	0.022799	0.0252421	0.0255243	0.0453477	0.0485238	0.0457617	0.0961486	0.115492	0.132217	0.182613	0.233522
</S>	0.0263466	0.0217851	0.020559	0.0203113	0.0335238	0.0421499	0.0386657	0.0667692	0.0794127	0.116458	0.207466	0.326553
