 	il	a	brisé	l'	aile	de	l'	oiseau	d'	un	coup	d'	arc	</S>
a23	0.295448	0.143522	0.0941876	0.0631286	0.0579723	0.0535958	0.0594519	0.0516282	0.0403741	0.0322818	0.0307451	0.0234821	0.0262056	0.0279771
a53	0.323866	0.142094	0.100757	0.0962489	0.0657257	0.0516673	0.050392	0.0412981	0.027716	0.0212408	0.0162947	0.0142603	0.0187162	0.0297234
a20	0.310294	0.181716	0.140621	0.0940459	0.0417705	0.0374343	0.0354402	0.0269654	0.0278011	0.0255701	0.0209822	0.0185608	0.0192572	0.0195414
a44	0.262144	0.228736	0.208652	0.137465	0.0552602	0.0312522	0.0195476	0.0152076	0.0115218	0.00931	0.00736223	0.00493245	0.00467397	0.00393536
a57	0.230628	0.230269	0.236526	0.136943	0.0579409	0.030276	0.0186866	0.0137051	0.00955204	0.00785633	0.00616249	0.00560051	0.00774472	0.00811024
a38	0.15145	0.186956	0.242493	0.155757	0.0855927	0.0414702	0.0292593	0.0241245	0.0175494	0.0154385	0.0127601	0.0110826	0.0133816	0.0126851
a94	0.115136	0.166247	0.218046	0.163045	0.0952065	0.0463187	0.0348143	0.0301515	0.0226388	0.0208931	0.0203147	0.0182926	0.0250969	0.0237986
a35	0.107729	0.138023	0.186941	0.160823	0.105851	0.0587006	0.0461478	0.0401025	0.0288746	0.0251137	0.0232574	0.0208236	0.0284372	0.0291743
a98	0.100014	0.111465	0.1432	0.154605	0.119298	0.0784521	0.065179	0.0597001	0.0407676	0.0326516	0.0254869	0.0193256	0.0238915	0.0259634
a24	0.0741403	0.0773307	0.094177	0.117038	0.110204	0.0866853	0.0814707	0.0803682	0.0631707	0.0539704	0.0450803	0.0326598	0.0384954	0.0452085
a76	0.0384719	0.0395838	0.0483885	0.0771919	0.102949	0.107258	0.11194	0.115826	0.0927811	0.0746693	0.0594796	0.0385541	0.0424592	0.0504467
a35	0.0510331	0.0542916	0.0558256	0.076103	0.109074	0.115401	0.119261	0.116769	0.092981	0.0714941	0.053812	0.027234	0.0257831	0.0309378
a32	0.042076	0.0400817	0.0378437	0.0528023	0.0829115	0.112018	0.137501	0.129954	0.113399	0.0840001	0.0610759	0.0318569	0.030196	0.0442844
a26	0.027225	0.0262133	0.0274995	0.0416675	0.0665596	0.100727	0.144818	0.135064	0.132019	0.10245	0.0746268	0.0365711	0.0331975	0.0513625
a24	0.0139869	0.0136481	0.0178737	0.0319167	0.0660595	0.103141	0.146147	0.137239	0.144768	0.11876	0.0858968	0.0390463	0.0308771	0.0506395
a98	0.0125551	0.0133746	0.016634	0.0260952	0.0408674	0.0661229	0.101649	0.0960044	0.124427	0.127937	0.123358	0.0882378	0.0726541	0.0900839
a25	0.0189404	0.0184159	0.0227308	0.0314182	0.045978	0.0730363	0.110685	0.103378	0.125992	0.118767	0.104786	0.0708304	0.0615762	0.0934654
a38	0.01002	0.0108176	0.0155231	0.0242188	0.0454697	0.0808349	0.118884	0.110356	0.140483	0.128484	0.0943399	0.0595816	0.0584899	0.102497
a98	0.00758631	0.00849595	0.0117243	0.0194651	0.0384925	0.0735847	0.110235	0.0964902	0.129358	0.122741	0.094814	0.0742701	0.0773838	0.135359
a25	0.00782456	0.00716881	0.00720668	0.0117149	0.0260283	0.058141	0.0941205	0.0855092	0.117967	0.115151	0.100739	0.0911606	0.107315	0.169952
a44	0.00918089	0.00927855	0.00964353	0.0150871	0.0294147	0.0604875	0.099176	0.0859156	0.118816	0.113749	0.0914957	0.0797019	0.0976871	0.180366
a94	0.00821768	0.00714828	0.00758504	0.0132203	0.0252271	0.0538043	0.0893613	0.0774107	0.114334	0.11441	0.0991116	0.0975524	0.108832	0.183785
a26	0.0072001	0.00609467	0.0072613	0.014252	0.0237873	0.0429672	0.0636473	0.0569292	0.0860775	0.0949953	0.0999287	0.12143	0.146771	0.228658
a24	0.00584558	0.00460063	0.00515445	0.0103674	0.0171926	0.0301444	0.0450324	0.0391279	0.061614	0.0735187	0.0894483	0.119961	0.187248	0.310745
a25	0.00399917	0.00352115	0.00405644	0.00704831	0.0102648	0.0187667	0.0298768	0.0281801	0.044908	0.0558134	0.071319	0.111882	0.202705	0.407659
a87	0.00641006	0.0043243	0.00415098	0.00783628	0.0139387	0.0258573	0.0366872	0.0330196	0.0521885	0.0662357	0.0862872	0.127591	0.201206	0.334267
a23	0.00637972	0.00377563	0.00274488	0.00353413	0.00549139	0.00994255	0.0137727	0.0129566	0.0238827	0.0322491	0.0427545	0.0969863	0.222442	0.523087
a83	0.0131411	0.0067575	0.0050231	0.00870525	0.0105795	0.0196665	0.0245759	0.0214255	0.0339549	0.0411727	0.0486516	0.105359	0.222738	0.438249
a24	0.00614809	0.00402912	0.00486209	0.00955019	0.0157951	0.033325	0.0494641	0.041443	0.057492	0.0550792	0.0508995	0.0697128	0.171768	0.430432
a41	0.00519196	0.00417434	0.00487855	0.00832372	0.0104396	0.0196472	0.0301221	0.0282002	0.0425442	0.0469179	0.0528737	0.0800445	0.199666	0.466976
a35	0.00377977	0.00288591	0.00326021	0.0068188	0.010567	0.0214678	0.0308611	0.0272788	0.0437907	0.0491777	0.0558736	0.0915116	0.215239	0.437488
a34	0.00324494	0.00253344	0.00296921	0.00684534	0.0116797	0.024066	0.0348093	0.0306469	0.0497332	0.056515	0.0609265	0.0910807	0.197725	0.427225
a12	0.00324365	0.00266897	0.00295954	0.00583246	0.00948376	0.01788	0.0252377	0.0222614	0.0348852	0.0406373	0.048455	0.0809351	0.194795	0.510725
a35	0.00370785	0.0029955	0.00310302	0.00516794	0.00776222	0.0140077	0.0183358	0.0166657	0.0261096	0.0304098	0.0373639	0.0752626	0.201342	0.557766
a30	0.00444512	0.00351386	0.0035408	0.00697536	0.0115745	0.0220859	0.0277984	0.0240795	0.0367887	0.0414874	0.0484823	0.0909837	0.212569	0.465676
a57	0.00311518	0.00233042	0.00264951	0.00513572	0.0091776	0.0193179	0.0265282	0.0237371	0.0385881	0.0471451	0.0549083	0.0973981	0.229254	0.440715
a87	0.00657928	0.0040702	0.00315864	0.00413643	0.00528108	0.00907024	0.0128094	0.0139534	0.0231942	0.0307858	0.0430849	0.104645	0.249672	0.48956
</S>	0.00618343	0.00326247	0.00221907	0.00288413	0.00348494	0.00629653	0.00960086	0.0110181	0.0215334	0.0329338	0.0518871	0.118147	0.238024	0.492526
