 	le	maçon	fabrique	les	tuiles	</S>
a66	0.298401	0.385401	0.164934	0.0964125	0.037385	0.0174666
a87	0.388048	0.242012	0.143895	0.108875	0.0601588	0.0570104
a97	0.210608	0.21837	0.196725	0.232561	0.101648	0.0400873
a87	0.237821	0.312771	0.173073	0.162688	0.0733038	0.0403425
a97	0.238695	0.308171	0.166471	0.159147	0.0778838	0.0496328
a30	0.231027	0.324164	0.158546	0.159961	0.0786205	0.0476817
a4	0.273854	0.357844	0.151601	0.134817	0.0521449	0.0297388
a13	0.409377	0.314061	0.107719	0.0898149	0.0446668	0.0343615
a90	0.435054	0.260279	0.11593	0.104245	0.0526423	0.0318502
a56	0.400875	0.208431	0.145455	0.136465	0.0624851	0.0462901
a96	0.427705	0.226037	0.150894	0.113099	0.0474471	0.0348184
a21	0.320467	0.207309	0.184443	0.166386	0.073842	0.0475524
a85	0.279715	0.21888	0.221393	0.162698	0.072394	0.0449199
a6	0.176006	0.203521	0.225462	0.152231	0.105232	0.137548
a36	0.193181	0.247539	0.231997	0.166337	0.0856968	0.0752492
a93	0.151672	0.209031	0.222858	0.180999	0.128395	0.107045
a90	0.172787	0.202899	0.206788	0.179258	0.13823	0.100038
a98	0.0897225	0.155065	0.204236	0.197624	0.190625	0.162727
a47	0.0732329	0.151714	0.224127	0.198638	0.188918	0.16337
a36	0.0299862	0.070531	0.119585	0.124835	0.21222	0.442843
a5	0.0223218	0.0577293	0.088363	0.0832108	0.213401	0.534974
a18	0.0265871	0.0647892	0.106151	0.106437	0.240992	0.455044
a0	0.00433445	0.0128779	0.0353236	0.0455739	0.197928	0.703962
a31	0.00545608	0.00949495	0.0336784	0.0507991	0.226475	0.674097
a18	0.00150627	0.00366441	0.0155745	0.0277185	0.177263	0.774273
a25	0.00330112	0.00503788	0.014496	0.0236689	0.168706	0.784791
a82	0.0183933	0.0180218	0.0292191	0.044377	0.188306	0.701683
a97	0.0652767	0.0592284	0.0861455	0.0841735	0.211041	0.494135
a99	0.0688505	0.0712317	0.117018	0.103277	0.22796	0.411663
a97	0.0308999	0.0320179	0.0518071	0.0540601	0.21164	0.619575
</S>	0.0156766	0.0244648	0.0430474	0.0509413	0.215697	0.650173
