 	l'	homme	partit	le	fusil	en	bandoulière	</S>
a85	0.406474	0.20593	0.0880341	0.100512	0.0934729	0.0524596	0.0288289	0.0242875
a87	0.415923	0.152456	0.0903161	0.123745	0.0806759	0.0547088	0.04355	0.0386247
a23	0.249669	0.172038	0.124714	0.10991	0.0827682	0.0868217	0.0905127	0.0835664
a79	0.368018	0.200235	0.115452	0.0845371	0.0464721	0.0389823	0.0577701	0.0885342
a58	0.530771	0.255346	0.0770494	0.0444515	0.0258884	0.019574	0.0223698	0.024549
a20	0.360111	0.264761	0.176101	0.119694	0.0482281	0.0147928	0.00955888	0.00675311
a73	0.220004	0.192557	0.220866	0.194278	0.0973437	0.0385354	0.0218822	0.0145347
a7	0.211989	0.200385	0.215615	0.202704	0.102235	0.036528	0.0182313	0.0123122
a26	0.17522	0.167422	0.227205	0.227785	0.119755	0.0441199	0.0209291	0.0175639
a11	0.147589	0.135683	0.21081	0.234039	0.145358	0.0639019	0.0322449	0.0303731
a75	0.114575	0.107731	0.198566	0.241527	0.175606	0.0842671	0.0426206	0.035107
a92	0.122817	0.110469	0.175054	0.203699	0.154524	0.0975214	0.0686809	0.0672356
a96	0.0811007	0.0865908	0.151866	0.180582	0.173001	0.142296	0.0946024	0.0899607
a76	0.071121	0.0623552	0.110655	0.154895	0.188812	0.18314	0.128142	0.100879
a94	0.0637647	0.0524927	0.0705694	0.115235	0.162069	0.175682	0.17032	0.189868
a58	0.0555054	0.0439898	0.0644488	0.0963847	0.152999	0.209379	0.202162	0.175131
a82	0.046965	0.0296311	0.0465751	0.0755372	0.129166	0.22031	0.213542	0.238274
a38	0.0193648	0.0108876	0.0151905	0.0264341	0.0651907	0.210695	0.267567	0.38467
a41	0.0232152	0.0102754	0.0117329	0.0194978	0.0458427	0.163159	0.234955	0.491321
a5	0.0257362	0.0104747	0.0134149	0.0278253	0.0683995	0.188099	0.263009	0.403042
a18	0.0191279	0.010299	0.0134479	0.0253417	0.0603374	0.176726	0.244901	0.44982
a25	0.0153458	0.00581095	0.00555327	0.009463	0.0260643	0.110176	0.242241	0.585346
a38	0.0128616	0.00422981	0.0038629	0.00713707	0.0220828	0.0994839	0.212666	0.637676
a90	0.00892586	0.00238836	0.00170281	0.00389398	0.0153463	0.0863049	0.18993	0.691508
a32	0.0151718	0.00420686	0.00397863	0.00953063	0.030117	0.119435	0.201839	0.615721
a38	0.0103817	0.00238589	0.00194501	0.00486443	0.0172598	0.0853567	0.191657	0.686149
a9	0.0106458	0.00216399	0.00175189	0.00489107	0.0186814	0.0949703	0.200909	0.665987
a87	0.0100823	0.00275278	0.00253565	0.00923918	0.037426	0.129272	0.211737	0.596955
</S>	0.00628307	0.00227541	0.00212145	0.00656839	0.0244002	0.0923131	0.236777	0.629262
