 	on	arrache	les	arachides	</S>
a23	0.530879	0.30361	0.0544112	0.0562057	0.0548949
a87	0.565783	0.271926	0.0546077	0.0536869	0.0539958
a23	0.419607	0.23334	0.107545	0.110351	0.129156
a38	0.525425	0.23158	0.0700739	0.0833134	0.0896083
a94	0.557031	0.236498	0.0757374	0.0739442	0.0567897
a41	0.516414	0.26234	0.0931188	0.0740144	0.0541134
a18	0.426643	0.330872	0.114393	0.0747392	0.0533531
a26	0.289716	0.316178	0.169135	0.125155	0.0998157
a35	0.222522	0.261968	0.198806	0.168522	0.148182
a20	0.25014	0.312263	0.173618	0.138484	0.125496
a73	0.190266	0.222003	0.187513	0.197607	0.20261
a94	0.0954223	0.118618	0.187812	0.272685	0.325462
a38	0.0401589	0.0447522	0.0974002	0.265181	0.552508
a90	0.0278777	0.0279905	0.0923954	0.275122	0.576614
a57	0.0216657	0.0294479	0.100768	0.272218	0.5759
a3	0.0156148	0.0124047	0.051546	0.223014	0.69742
a87	0.0235628	0.020335	0.0654448	0.208959	0.681698
</S>	0.0609573	0.0422845	0.123447	0.256997	0.516314
