 	ngala	n'	est	plus	triste	</S>
a87	0.256001	0.202868	0.20962	0.158465	0.111546	0.0614997
a23	0.241818	0.185908	0.17736	0.15185	0.15785	0.0852131
a97	0.356472	0.22614	0.160347	0.092061	0.0983084	0.0666708
a9	0.357228	0.231124	0.17091	0.0984363	0.0880369	0.0542646
a97	0.407498	0.235964	0.146975	0.0796921	0.0745634	0.0553075
a87	0.393433	0.249229	0.164291	0.0885569	0.0646971	0.0397936
a97	0.320598	0.236011	0.189659	0.114976	0.0861011	0.0526542
a87	0.351272	0.247816	0.180731	0.0998724	0.0716654	0.0486433
a83	0.347802	0.244357	0.183649	0.10453	0.0717278	0.047935
a99	0.433816	0.205448	0.121537	0.0794322	0.0816649	0.0781029
a75	0.476801	0.239286	0.125795	0.0677102	0.0521034	0.0383049
a5	0.491959	0.236642	0.107136	0.06044	0.0560502	0.0477726
a37	0.469955	0.263804	0.127512	0.0620723	0.0454742	0.0311831
a75	0.390545	0.264108	0.159234	0.0769924	0.0609131	0.0482071
a90	0.362947	0.264366	0.165117	0.0861421	0.0671846	0.0542432
a13	0.241237	0.262004	0.213896	0.113366	0.0909574	0.0785389
a11	0.142005	0.202776	0.215756	0.140347	0.139374	0.159742
a75	0.138327	0.190999	0.20714	0.140481	0.147768	0.175284
a61	0.0956226	0.118428	0.151549	0.153234	0.219504	0.261662
a21	0.0984312	0.124283	0.180164	0.194228	0.215791	0.187103
a61	0.142615	0.155312	0.193371	0.196737	0.181307	0.130658
a75	0.0670702	0.0830516	0.120548	0.198556	0.270339	0.260436
a85	0.0749373	0.0739335	0.0914773	0.142731	0.212189	0.404732
a61	0.0955803	0.082799	0.0961735	0.152004	0.225622	0.347821
a62	0.035739	0.0403685	0.055725	0.122918	0.27573	0.46952
a61	0.032954	0.0380723	0.0517697	0.110838	0.248517	0.517848
a75	0.0138489	0.0172488	0.0284525	0.0876548	0.249793	0.603002
a85	0.0200814	0.0235586	0.0335404	0.0915177	0.241352	0.589949
a37	0.018417	0.0190364	0.0252535	0.0753187	0.233209	0.628765
a26	0.00796358	0.0101415	0.0181155	0.0744957	0.24297	0.646314
a75	0.0207782	0.0159438	0.0202488	0.0611396	0.19293	0.688959
a85	0.0081744	0.00909528	0.0155752	0.0647984	0.219837	0.682519
a47	0.00436776	0.00677992	0.0139351	0.0711608	0.239757	0.663999
a36	0.00265977	0.00515694	0.0126646	0.0711583	0.262417	0.645944
a2	0.00411891	0.00745967	0.0144051	0.0556816	0.19059	0.727744
a57	0.0274252	0.027075	0.0356037	0.0885397	0.233316	0.58804
a10	0.0790973	0.0766534	0.0941153	0.149735	0.26388	0.336519
a87	0.0596597	0.0671247	0.0887154	0.167923	0.330463	0.286114
a10	0.0644406	0.0870809	0.117715	0.174059	0.301824	0.254881
a87	0.0672932	0.0887798	0.105108	0.146205	0.291468	0.301146
a23	0.070283	0.095739	0.114545	0.155688	0.285364	0.27838
a87	0.0464341	0.0590986	0.080635	0.140083	0.280978	0.392771
a23	0.0392431	0.0523434	0.0659009	0.119394	0.266032	0.457086
a87	0.0289657	0.0428753	0.0606287	0.122668	0.265778	0.479084
</S>	0.0205035	0.0354939	0.0502324	0.117073	0.25485	0.521846
