 	sa	blessure	le	laissa	borgne	</S>
a23	0.421614	0.279446	0.166333	0.0588877	0.0329353	0.040784
a53	0.55411	0.219884	0.0894908	0.0291705	0.0419613	0.0653828
a44	0.336341	0.366387	0.188858	0.0487679	0.0232848	0.0363606
a75	0.407172	0.373832	0.147451	0.0346497	0.0260284	0.0108672
a47	0.366685	0.373927	0.152752	0.0364779	0.0481545	0.0220041
a43	0.30138	0.418891	0.186632	0.0266619	0.0513904	0.0150442
a31	0.220062	0.335251	0.250617	0.0771598	0.0844933	0.0324169
a75	0.248823	0.310505	0.261841	0.0691604	0.0700938	0.0395775
a37	0.236096	0.279496	0.118204	0.0512079	0.125117	0.189879
a31	0.183281	0.316992	0.237581	0.0667455	0.0841713	0.111229
a0	0.137174	0.186811	0.206022	0.188825	0.121855	0.159313
a24	0.0702076	0.104504	0.127378	0.201922	0.231704	0.264285
a62	0.0987497	0.124775	0.111392	0.126727	0.20635	0.332006
a70	0.0253238	0.03663	0.0488994	0.123546	0.280335	0.485266
a90	0.00601683	0.0098953	0.016408	0.0589938	0.195091	0.713595
a69	0.00246536	0.00365804	0.00664048	0.0580611	0.166811	0.762364
a58	0.00184538	0.00277175	0.00563253	0.024862	0.116454	0.848434
a84	0.00135502	0.00102518	0.00180647	0.0195976	0.171281	0.804935
a82	0.0241791	0.00917066	0.0103559	0.0441175	0.234545	0.677632
a87	0.367006	0.227215	0.195688	0.0879752	0.0564434	0.0656718
a23	0.42732	0.233195	0.174446	0.0817293	0.046582	0.0367273
a87	0.0654635	0.0745071	0.113389	0.274625	0.210981	0.261035
</S>	0.0162372	0.0171491	0.0397072	0.15311	0.341525	0.432272
