 	les	eaux	ont	commencé	à	baisser	</S>
a23	0.43296	0.193392	0.0982757	0.0505975	0.0569529	0.0844549	0.0833671
a44	0.491993	0.221517	0.119351	0.0478472	0.0280747	0.0420843	0.0491328
a98	0.507572	0.201704	0.088514	0.0473159	0.042194	0.0486025	0.0640979
a73	0.47385	0.222539	0.140135	0.0646487	0.0382585	0.0327909	0.0277771
a2	0.388465	0.261125	0.168245	0.0642777	0.0416337	0.0411333	0.0351201
a57	0.194483	0.201538	0.179778	0.0916698	0.0861475	0.124397	0.121986
a40	0.120995	0.141201	0.15101	0.122685	0.101601	0.135441	0.227066
a73	0.106901	0.143071	0.133145	0.133154	0.151685	0.162409	0.169636
a94	0.18961	0.190483	0.151711	0.11749	0.120724	0.119302	0.110681
a98	0.125579	0.181953	0.171649	0.136857	0.125278	0.131574	0.12711
a71	0.0997418	0.146482	0.147879	0.141912	0.136	0.16306	0.164925
a38	0.0732448	0.129945	0.151869	0.166586	0.13814	0.165207	0.175009
a73	0.0570702	0.0912511	0.111245	0.177761	0.157402	0.190207	0.215063
a94	0.0531625	0.0885945	0.101096	0.169889	0.162533	0.199409	0.225317
a38	0.0523657	0.0653713	0.0676632	0.142076	0.169047	0.224879	0.278598
a24	0.0453299	0.0499274	0.0511801	0.119333	0.170142	0.240051	0.324036
a32	0.0219655	0.0229806	0.0228608	0.0679589	0.145883	0.273863	0.444488
a93	0.0267164	0.0253873	0.0225156	0.0562702	0.124838	0.263759	0.480514
a4	0.0254352	0.0241541	0.0198627	0.0441642	0.0945526	0.254667	0.537164
a98	0.015329	0.0152701	0.0128462	0.0303405	0.061523	0.224643	0.640049
a13	0.0123551	0.0105247	0.00979581	0.0272882	0.0614962	0.236287	0.642253
a90	0.0140073	0.0119342	0.0102536	0.0255506	0.0598713	0.223908	0.654475
a20	0.0165023	0.0132145	0.0126423	0.0315776	0.0629724	0.225947	0.637144
a84	0.0138789	0.0120407	0.0118243	0.0267711	0.0581798	0.235317	0.641988
a57	0.0153071	0.0111399	0.00815613	0.0172543	0.0455922	0.200308	0.702243
a87	0.0194157	0.0140744	0.00897627	0.0151006	0.0451749	0.194432	0.702826
</S>	0.0337599	0.0226855	0.0140113	0.0199903	0.0512023	0.251633	0.606718
