 	qui	va	me	faire	goûter	les	beignets	</S>
a66	0.303577	0.224653	0.173479	0.0884051	0.0550179	0.0590072	0.059248	0.0366128
a87	0.304226	0.175406	0.125157	0.103243	0.100936	0.100737	0.0608573	0.0294386
a23	0.304477	0.277773	0.212674	0.0958494	0.039792	0.0285229	0.0257298	0.0151821
a79	0.182017	0.162746	0.122791	0.078478	0.0944395	0.100665	0.139425	0.119439
a90	0.29894	0.269118	0.187751	0.0817502	0.0496402	0.0433956	0.0355378	0.0338672
a94	0.333919	0.318739	0.208265	0.0829894	0.0238268	0.0152851	0.00981746	0.00715847
a79	0.205454	0.263516	0.28218	0.165866	0.0443337	0.0185293	0.0119876	0.00813347
a37	0.190595	0.240594	0.260057	0.173037	0.0672906	0.0342981	0.0212202	0.0129095
a56	0.065813	0.105208	0.173115	0.206372	0.198357	0.137038	0.0762646	0.0378325
a43	0.0522968	0.0682974	0.113494	0.162154	0.236985	0.205336	0.105527	0.0559088
a31	0.0293332	0.0363247	0.0700073	0.122677	0.245582	0.241831	0.154133	0.100112
a47	0.0104068	0.0129784	0.0339008	0.0854537	0.20485	0.25066	0.234038	0.167711
a88	0.0131971	0.0119971	0.0168074	0.0329135	0.104975	0.229302	0.295621	0.295187
a75	0.00169261	0.00185576	0.00365145	0.0109069	0.0505643	0.121983	0.337826	0.47152
a85	0.000969175	0.00163566	0.00420777	0.0128192	0.0544522	0.104267	0.353475	0.468174
a6	0.000802498	0.00140226	0.00284775	0.0078248	0.0258469	0.0595491	0.319075	0.582651
a0	0.000442641	0.000590566	0.00119613	0.00328519	0.0141041	0.0330305	0.249928	0.697423
a61	0.000611315	0.000832804	0.00145929	0.00455551	0.0277947	0.0835623	0.311121	0.570063
a36	0.000706727	0.00103684	0.00190954	0.0049334	0.0175225	0.0571096	0.260383	0.656398
a27	0.0108869	0.0125622	0.0164445	0.0264189	0.0580193	0.120676	0.287715	0.467277
a82	0.195716	0.126454	0.0818167	0.0702706	0.0726878	0.0933842	0.146664	0.213006
a87	0.325883	0.220281	0.152678	0.094988	0.0479104	0.0348522	0.0598213	0.0635865
</S>	0.248734	0.207434	0.174069	0.112735	0.0569036	0.0384669	0.076425	0.0852326
