 	qu'	il	reste	ainsi	</S>
a23	0.406108	0.211223	0.210645	0.112663	0.0593621
a10	0.382878	0.174409	0.163248	0.126117	0.153348
a57	0.352305	0.177648	0.161944	0.123085	0.185019
a87	0.39071	0.176721	0.165493	0.136049	0.131026
a40	0.327199	0.196779	0.188213	0.152571	0.135237
a30	0.366866	0.183307	0.222947	0.161596	0.065284
a35	0.497427	0.258599	0.153024	0.0599772	0.0309733
a26	0.473672	0.262693	0.157202	0.0692206	0.0372122
a38	0.349317	0.248044	0.172329	0.129714	0.100596
a14	0.351924	0.257225	0.165293	0.129317	0.0962404
a44	0.262324	0.214251	0.188679	0.192416	0.14233
a57	0.117494	0.136202	0.176085	0.303555	0.266663
a38	0.0427848	0.0609245	0.124095	0.386042	0.386153
a94	0.0290016	0.0546787	0.140359	0.392386	0.383575
a13	0.0332173	0.0585427	0.161563	0.403987	0.34269
a9	0.0082926	0.0153481	0.0725488	0.378749	0.525062
a87	0.00441945	0.0121544	0.0594257	0.297476	0.626525
</S>	0.00692319	0.0174164	0.0434887	0.199186	0.732985
