 	j'	ai	appris	à	construire	une	maison	dans	ma	jeunesse	</S>
a66	0.266731	0.236031	0.216045	0.100506	0.0485867	0.0358461	0.035209	0.0209134	0.0185302	0.012757	0.00884388
a87	0.388546	0.319496	0.142238	0.0585935	0.0351501	0.018649	0.0120872	0.00787126	0.00550961	0.00590246	0.00595744
a23	0.416086	0.316854	0.131465	0.0555263	0.0350031	0.0145083	0.00827045	0.00589616	0.00339113	0.00395854	0.00904134
a13	0.414571	0.263782	0.0766123	0.0530846	0.0466367	0.023392	0.0208842	0.0213249	0.0190079	0.0277426	0.0329618
a38	0.338574	0.201083	0.0713629	0.0598917	0.0667669	0.0503123	0.0472822	0.0433714	0.0392961	0.0452038	0.0368553
a5	0.186617	0.147163	0.0904112	0.0906783	0.104221	0.0925438	0.0740458	0.0668598	0.0577283	0.0489749	0.0407569
a12	0.127199	0.182195	0.163185	0.206274	0.138635	0.0714869	0.0435566	0.0278285	0.0196401	0.0115514	0.00844898
a88	0.0833614	0.126995	0.134714	0.196253	0.205826	0.110282	0.0567684	0.0370819	0.0276993	0.0117495	0.00927024
a71	0.0677908	0.112604	0.108629	0.155353	0.201235	0.12895	0.078114	0.0567204	0.0491641	0.0233338	0.0181066
a38	0.0525722	0.0716574	0.0710567	0.0849664	0.161611	0.152474	0.109399	0.0948258	0.086994	0.0587335	0.0557099
a56	0.0571013	0.0697092	0.0680257	0.0679912	0.121632	0.144671	0.108693	0.104446	0.0974841	0.0739812	0.0862661
a94	0.0420158	0.0493588	0.0557311	0.0553666	0.0849931	0.130123	0.124121	0.131768	0.136144	0.0937693	0.0966099
a15	0.034735	0.0329649	0.0374363	0.0361972	0.0614181	0.108773	0.130438	0.153023	0.171941	0.122876	0.110198
a92	0.0142325	0.0133603	0.0169028	0.0280585	0.0545912	0.0802191	0.101149	0.156479	0.197574	0.149111	0.188324
a5	0.0100715	0.010196	0.0156848	0.0257531	0.0439973	0.0735456	0.108086	0.160132	0.220866	0.164048	0.16762
a37	0.0173401	0.0127427	0.01921	0.0241831	0.043948	0.0808622	0.11241	0.152385	0.208568	0.179144	0.149206
a12	0.0170012	0.0120035	0.017758	0.0196972	0.0335593	0.0767311	0.120219	0.158718	0.209386	0.186842	0.148085
a47	0.00615751	0.00481168	0.00718099	0.00803153	0.0141967	0.0410616	0.0895852	0.154363	0.239927	0.262803	0.171882
a31	0.0153279	0.0121789	0.0188137	0.0201221	0.0278731	0.0564706	0.101346	0.149373	0.210728	0.236885	0.150881
a0	0.00295144	0.00233817	0.00380693	0.00442236	0.00812011	0.0230204	0.0557832	0.135728	0.24339	0.311499	0.208941
a25	0.00545104	0.00466221	0.00721655	0.00906148	0.0182799	0.0327329	0.0579353	0.131673	0.226597	0.284602	0.221789
a79	0.00648666	0.00479632	0.00655549	0.00873701	0.0185703	0.0290102	0.0410961	0.0985473	0.182128	0.27157	0.332503
a37	0.0014091	0.000849925	0.00136098	0.00202204	0.00441984	0.0120386	0.0237394	0.069491	0.166755	0.297415	0.420499
a12	0.00167901	0.00112529	0.00224896	0.00343965	0.00619981	0.0153666	0.0281907	0.0759152	0.159766	0.268167	0.437902
a96	0.000827559	0.000716967	0.00141203	0.0021601	0.00374847	0.00911399	0.0181023	0.0548651	0.137179	0.285311	0.486563
a66	0.000648285	0.000568605	0.00109337	0.00179894	0.003558	0.00893209	0.0162562	0.0467534	0.118437	0.277467	0.524487
a18	0.00449602	0.00341777	0.00667794	0.010766	0.0192704	0.033269	0.0366192	0.0763304	0.12199	0.219772	0.467392
a25	0.0218018	0.0151651	0.0226822	0.0266367	0.0336774	0.0486812	0.0498754	0.0957852	0.124665	0.190298	0.370732
a87	0.0709339	0.0454742	0.0498817	0.0466168	0.0510029	0.057761	0.0575921	0.0857993	0.0911739	0.146349	0.297415
a23	0.369998	0.231184	0.14077	0.0642727	0.0449953	0.0298059	0.023216	0.0237978	0.021789	0.0183199	0.0318514
a87	0.337253	0.18608	0.102008	0.0547986	0.0404517	0.0310833	0.0267769	0.0357029	0.0414864	0.0411846	0.103174
a23	0.117963	0.0690022	0.0533268	0.0342721	0.0402855	0.0494339	0.0570514	0.118596	0.125754	0.0959746	0.23834
a87	0.211607	0.130157	0.0910993	0.0474089	0.0408864	0.0373641	0.0442837	0.0787	0.0920876	0.0730162	0.15339
</S>	0.144347	0.0926601	0.0663496	0.0452114	0.0426678	0.0642586	0.0774824	0.107583	0.102632	0.0879971	0.168811
