 	il	est	brûlant	de	fièvre	</S>
a53	0.379495	0.22169	0.129858	0.0919738	0.0993375	0.0776469
a98	0.119579	0.0895913	0.115228	0.153973	0.221524	0.300105
a92	0.315175	0.184757	0.131853	0.108743	0.152793	0.10668
a37	0.470481	0.267959	0.119243	0.053895	0.052877	0.0355451
a75	0.446969	0.297777	0.135203	0.0485751	0.0417668	0.029709
a61	0.328564	0.27818	0.193588	0.0856503	0.0664649	0.0475522
a75	0.295227	0.240216	0.205578	0.109194	0.0880753	0.0617104
a85	0.168484	0.161466	0.213381	0.170357	0.163635	0.122676
a37	0.0982137	0.101207	0.154276	0.19938	0.24632	0.200604
a34	0.0673316	0.0638115	0.102349	0.170578	0.30748	0.28845
a75	0.0367475	0.039486	0.0787762	0.163131	0.318009	0.363851
a47	0.0273744	0.0275665	0.054007	0.127582	0.312968	0.450502
a2	0.0280045	0.0300701	0.0608225	0.128323	0.296755	0.456025
a57	0.00752915	0.00938352	0.0223798	0.071374	0.226428	0.662906
a87	0.0207083	0.021814	0.0399595	0.0917264	0.23108	0.594712
a23	0.092347	0.0615992	0.073511	0.118653	0.223154	0.430735
a87	0.033763	0.0298355	0.056231	0.136544	0.313401	0.430226
</S>	0.00860916	0.00902029	0.0235218	0.0896728	0.299359	0.569817
