 	le	chauffeur	tourne	le	volant	pour	garer	sa	voiture	</S>
a66	0.21967	0.129411	0.121919	0.0977379	0.104163	0.0942754	0.0999967	0.0590258	0.0423224	0.0314786
a82	0.115625	0.100736	0.124311	0.124462	0.187148	0.145471	0.103703	0.0458113	0.0303002	0.0224327
a97	0.424584	0.19954	0.111414	0.0639022	0.08496	0.0573361	0.0274738	0.0126849	0.00912033	0.00898558
a3	0.382114	0.308182	0.131423	0.053308	0.0541694	0.0339982	0.0155344	0.00845146	0.00690426	0.00591517
a97	0.411694	0.297196	0.12086	0.0458733	0.0410039	0.0306084	0.0163065	0.0130279	0.0120312	0.0113989
a3	0.417335	0.242928	0.115189	0.0499591	0.0466295	0.0386845	0.0257652	0.0219074	0.0211283	0.0204735
a9	0.415269	0.222444	0.116236	0.0503229	0.0416618	0.0364615	0.0272992	0.0272042	0.0303026	0.0327989
a3	0.393558	0.187373	0.108906	0.05445	0.0445774	0.0411806	0.035276	0.0404557	0.0446682	0.0495551
a30	0.305774	0.175641	0.119664	0.0659249	0.066864	0.061733	0.0566512	0.0466795	0.0478118	0.0532564
a13	0.28953	0.194461	0.123415	0.0802578	0.0614122	0.0554443	0.0470971	0.0466849	0.0476827	0.0540148
a53	0.227501	0.175706	0.118448	0.0819282	0.0605561	0.0556695	0.0496999	0.0655788	0.073065	0.0918473
a90	0.268912	0.209105	0.167738	0.118194	0.0755317	0.0562553	0.032992	0.0186536	0.0212708	0.0313485
a56	0.211354	0.210976	0.19161	0.135374	0.0827715	0.059814	0.0352563	0.023433	0.0228172	0.0265954
a93	0.135138	0.180714	0.175326	0.135351	0.102865	0.0772782	0.0565583	0.040384	0.0422628	0.0541231
a70	0.101234	0.159572	0.160516	0.120987	0.106905	0.0817197	0.0694552	0.0544786	0.0591814	0.0859508
a62	0.0800649	0.134974	0.149283	0.118009	0.115825	0.0882392	0.0838177	0.0635352	0.067583	0.0986685
a31	0.0506637	0.0969783	0.108075	0.105038	0.13174	0.106868	0.111171	0.0740193	0.0833762	0.13207
a90	0.0501728	0.0960225	0.114398	0.113758	0.143316	0.109822	0.10606	0.0663613	0.0757188	0.124371
a25	0.0509518	0.0936635	0.124177	0.124547	0.126579	0.106907	0.104391	0.0712973	0.0786117	0.118876
a44	0.0485971	0.0836554	0.118471	0.134864	0.132721	0.10944	0.0996366	0.070181	0.0776089	0.124826
a90	0.0153012	0.0353852	0.0637767	0.0967454	0.137242	0.128392	0.13173	0.098605	0.108788	0.184034
a93	0.0221809	0.0495996	0.07927	0.116746	0.137198	0.131552	0.13895	0.100861	0.0930073	0.130635
a70	0.0149761	0.0328128	0.0562992	0.0954059	0.126283	0.120129	0.123513	0.111514	0.120336	0.198731
a98	0.0112384	0.0242234	0.0417954	0.0846334	0.133431	0.12907	0.137283	0.115288	0.119458	0.203579
a50	0.0137898	0.0279296	0.0474473	0.0982532	0.143933	0.126856	0.130732	0.106965	0.108709	0.195385
a75	0.00675793	0.0151476	0.0243196	0.0615383	0.116919	0.102621	0.119433	0.124491	0.124943	0.303828
a41	0.0152582	0.028435	0.0498031	0.110522	0.144152	0.148484	0.154882	0.118225	0.098039	0.1322
a96	0.0182549	0.0294956	0.0467242	0.11548	0.14466	0.143138	0.152384	0.117436	0.0931817	0.139244
a94	0.00496087	0.0116434	0.0180019	0.0544895	0.0999151	0.108474	0.163334	0.164855	0.147197	0.227129
a70	0.00459275	0.00882191	0.0126217	0.0394014	0.0757108	0.0858979	0.139367	0.175915	0.164736	0.292936
a62	0.00172729	0.00374152	0.0054192	0.0166453	0.0426193	0.0515573	0.106086	0.195255	0.206029	0.37092
a12	0.000972056	0.00223656	0.0031076	0.0106622	0.0284012	0.0344904	0.0769483	0.184568	0.218128	0.440485
a94	0.00230991	0.00452935	0.00588927	0.0162206	0.0346798	0.0448077	0.0954585	0.18821	0.201926	0.405968
a96	0.001174	0.00225138	0.00301194	0.00867074	0.0194544	0.0265653	0.0664478	0.179364	0.210854	0.482206
a88	0.000876285	0.00157926	0.00205943	0.00566618	0.012798	0.0181218	0.0518031	0.167926	0.216826	0.522344
a50	0.000507605	0.000798105	0.00108309	0.00296623	0.00782794	0.0109592	0.037952	0.152181	0.223019	0.562705
a99	0.000541006	0.000700499	0.00106382	0.00277281	0.00940005	0.0134585	0.0467416	0.175997	0.253652	0.495672
a94	0.000347512	0.000365987	0.000604706	0.00179709	0.0070994	0.00958969	0.0341127	0.144303	0.23727	0.56451
a70	0.00046388	0.000435888	0.000676892	0.00213642	0.00657648	0.0091047	0.0356138	0.160029	0.257741	0.527222
a50	0.000313184	0.000343301	0.000563314	0.00179585	0.00546779	0.00814421	0.0314771	0.143517	0.241569	0.566809
a83	0.000865472	0.000793124	0.00113576	0.00297888	0.00738947	0.00993873	0.0388214	0.153248	0.254206	0.530623
a38	0.00115754	0.000953097	0.00126727	0.00330681	0.00862938	0.0106466	0.0365666	0.139162	0.248155	0.550156
a56	0.00154325	0.00111135	0.00145139	0.00344629	0.00829693	0.010165	0.0341414	0.14264	0.252739	0.544465
a96	0.000663337	0.000628201	0.000935173	0.00271331	0.00683749	0.0102751	0.0384433	0.165307	0.242772	0.531425
a0	0.000390558	0.000355715	0.000529332	0.00155919	0.00428263	0.00637916	0.025495	0.134685	0.230383	0.595941
a54	0.000666777	0.000596156	0.000811006	0.00195173	0.00494337	0.00621365	0.0238244	0.128348	0.23453	0.598114
a44	0.000489652	0.000544475	0.000824746	0.00187009	0.00463594	0.00530046	0.0189747	0.121499	0.211796	0.634065
a15	0.000376982	0.000385792	0.000625274	0.00166507	0.00451692	0.00552126	0.0185678	0.128513	0.225603	0.614225
a79	0.000404712	0.000392729	0.000666744	0.0013722	0.00370923	0.00445685	0.0153171	0.118109	0.22317	0.632402
a44	0.000387077	0.000502379	0.000719757	0.00162648	0.00406205	0.00550055	0.0195397	0.138103	0.225321	0.604237
a58	0.00018665	0.000190333	0.000325782	0.000851981	0.00251715	0.00356718	0.0149649	0.120506	0.236912	0.619978
a90	0.00163786	0.00125794	0.00187195	0.00322312	0.00572002	0.00657772	0.0203541	0.117133	0.246332	0.595892
a44	0.000339248	0.000412901	0.000612439	0.00145442	0.00424524	0.00605893	0.0238352	0.147912	0.236668	0.578462
a70	0.000231028	0.000253923	0.000415656	0.00114049	0.00332912	0.00472261	0.0191976	0.127119	0.225364	0.618226
a99	0.000322691	0.000302844	0.000469376	0.00136821	0.00344572	0.00465908	0.0190697	0.123321	0.221747	0.625295
a50	0.000289037	0.000285872	0.000422395	0.0011085	0.00317144	0.00407023	0.0159703	0.112569	0.226125	0.635988
a83	0.00120294	0.000962464	0.00121109	0.00310178	0.0062563	0.00679736	0.022212	0.119333	0.230508	0.608416
a9	0.00105275	0.000932843	0.00114739	0.00277212	0.00630112	0.0072033	0.0254724	0.125852	0.239956	0.58931
a3	0.0114194	0.00515677	0.00529691	0.00785882	0.0108497	0.0119046	0.035622	0.121757	0.230618	0.559517
a97	0.0854962	0.0348372	0.0301937	0.0345443	0.0434546	0.0558216	0.0813114	0.158278	0.18903	0.287032
a87	0.0916431	0.049036	0.0434842	0.0636789	0.0921532	0.101001	0.0932884	0.137915	0.143423	0.184377
a10	0.0842278	0.0592017	0.0585209	0.0945745	0.125052	0.122696	0.0973514	0.115406	0.109107	0.133862
a87	0.101062	0.0774324	0.0798074	0.113457	0.136382	0.117368	0.083157	0.10236	0.09203	0.0969441
a23	0.0767392	0.0711453	0.0743166	0.104753	0.11889	0.0994552	0.0738709	0.121994	0.117011	0.141825
a87	0.0699631	0.0610738	0.0622278	0.0953781	0.0873685	0.0956137	0.0782947	0.149948	0.141223	0.158909
a23	0.0799928	0.082512	0.0910643	0.117787	0.0845484	0.0747796	0.0501672	0.119195	0.133752	0.166202
a87	0.0652521	0.0686174	0.075377	0.108118	0.0974128	0.0991032	0.0787829	0.138484	0.130799	0.138054
</S>	0.065432	0.073809	0.0798226	0.109456	0.0952052	0.0884701	0.0644088	0.12916	0.139038	0.155198
