 	je	veux	manger	un	gros	silure	</S>
a87	0.365496	0.203306	0.185626	0.127728	0.0637527	0.0320736	0.0220164
a23	0.398652	0.176104	0.122715	0.076067	0.0641899	0.0771699	0.0851018
a18	0.257642	0.199696	0.163434	0.116652	0.0810174	0.0809853	0.100574
a50	0.435735	0.264928	0.141848	0.0844514	0.0362077	0.0187185	0.0181116
a62	0.51861	0.329226	0.1019	0.0298809	0.00931497	0.00498755	0.00608028
a47	0.510353	0.324275	0.10836	0.0313215	0.0106373	0.00687208	0.00818116
a88	0.300152	0.272534	0.178406	0.100616	0.0551774	0.045297	0.0478161
a61	0.217781	0.22939	0.179535	0.116936	0.0801588	0.0829525	0.0932467
a75	0.240392	0.233014	0.19426	0.121273	0.0702222	0.0640754	0.0767634
a41	0.192464	0.169799	0.167631	0.134278	0.105059	0.105321	0.125447
a44	0.187532	0.170941	0.194692	0.146184	0.10055	0.094445	0.105656
a58	0.110718	0.089844	0.136304	0.168104	0.133983	0.158491	0.202555
a90	0.0257355	0.0225781	0.0504578	0.135163	0.182055	0.259324	0.324687
a56	0.0364173	0.0262384	0.0537785	0.144664	0.196479	0.241447	0.300976
a0	0.0550465	0.038813	0.0672198	0.166208	0.22286	0.220162	0.229691
a75	0.0177901	0.0113521	0.0213504	0.0760786	0.189636	0.312887	0.370905
a66	0.0146606	0.0104371	0.0165099	0.0427745	0.119423	0.320425	0.47577
a61	0.00506078	0.00296083	0.00594175	0.0252733	0.107652	0.337903	0.515209
a21	0.00409442	0.00258423	0.00479886	0.0184284	0.0867216	0.313962	0.56941
a56	0.00717322	0.00537859	0.00806517	0.0193945	0.0680481	0.307965	0.583975
a93	0.00253978	0.00189171	0.00371701	0.0123597	0.0542975	0.279484	0.64571
a70	0.00152088	0.00124182	0.00271284	0.010201	0.0524555	0.282455	0.649413
a24	0.00135229	0.00118953	0.0026903	0.0100822	0.0557806	0.299409	0.629496
a9	0.003304	0.00264752	0.00509493	0.0153644	0.0639385	0.311011	0.59864
a99	0.021601	0.0124315	0.0184743	0.0448642	0.122325	0.322536	0.457768
a97	0.0341211	0.0201705	0.0265991	0.0484728	0.130684	0.322488	0.417464
a87	0.054804	0.0300966	0.0327263	0.0604706	0.144939	0.303753	0.373211
a23	0.0746825	0.0479141	0.0572618	0.0881622	0.140224	0.257867	0.333889
a87	0.0490764	0.0243029	0.0288647	0.0595415	0.127306	0.27229	0.438618
a30	0.0300738	0.0164562	0.0215872	0.0440114	0.10531	0.279387	0.503174
</S>	0.0788405	0.0488135	0.050584	0.06946	0.114545	0.23609	0.401667
