 	tes	cheveux	ont	beaucoup	poussé	</S>
a66	0.416776	0.187284	0.142977	0.117057	0.0775005	0.0584046
a87	0.255757	0.225431	0.191124	0.128202	0.0985593	0.100926
a23	0.437731	0.261652	0.146773	0.0670948	0.0434559	0.0432935
a83	0.441982	0.245299	0.135891	0.0686788	0.0467254	0.0614238
a54	0.42531	0.210055	0.123869	0.0900264	0.0693583	0.0813807
a79	0.329203	0.22729	0.158876	0.125585	0.0774486	0.0815963
a6	0.240616	0.20734	0.183084	0.154426	0.110414	0.10412
a56	0.177888	0.178924	0.183836	0.172342	0.144878	0.142132
a61	0.176657	0.171932	0.170761	0.148709	0.145258	0.186683
a47	0.110318	0.12723	0.150381	0.163286	0.185827	0.262959
a61	0.0856675	0.111294	0.152412	0.167601	0.194243	0.288782
a21	0.0424762	0.0663824	0.121916	0.196864	0.23663	0.335731
a12	0.0253495	0.04858	0.0965198	0.196904	0.264067	0.36858
a62	0.0137233	0.0267653	0.0598477	0.17358	0.298321	0.427762
a61	0.00975963	0.0173439	0.0407187	0.149383	0.336068	0.446727
a43	0.00737524	0.0122284	0.0285491	0.111322	0.325536	0.514989
a90	0.00399145	0.00518813	0.0123443	0.0514275	0.260552	0.666497
a20	0.00386538	0.00672684	0.0174562	0.0712692	0.280192	0.62049
a7	0.00114139	0.00237271	0.00752932	0.0395965	0.236675	0.712685
a84	0.001249	0.00201074	0.00504576	0.0242279	0.209644	0.757823
a87	0.0716275	0.0709935	0.0873361	0.117365	0.234279	0.418399
a97	0.214881	0.164086	0.149748	0.123998	0.159302	0.187985
a99	0.135948	0.127289	0.121166	0.142617	0.215995	0.256985
a97	0.073522	0.0782301	0.103675	0.145157	0.24689	0.352526
a57	0.0879534	0.0857579	0.104772	0.140995	0.225809	0.354713
</S>	0.0778367	0.0880399	0.120895	0.162526	0.220595	0.330108
